Name,Address,Location,Category,Additional Info,page
Premiata Officina Fabbrile Meccanica con Torneria Camilli Giovanni,"Via Terre Belfredo, N. 13",Mestre,Ferramenta in Genere,"Tettoie - Ponti - Padiglioni - Carrelli - Trafiled - Cabine ferroviarie - Lavori in ferro battuto - Chiusure in lamiera ondulata - Cancellate in qualsiasi tipo - Porte - Finestre e con profilati speciali,  IMPIANTI TRASMISSIONI E MOTORI - RIPARAZIONI MACCHINE IN GENERE,  CANTIERE PER COSTRUZIONI IN FERRO; SALDATURA AUTOGENA ELETTRICA,  IMPIANTI IDRAULICI E TERMO - LAVORAZIONE CON LEGHE IN ALLUMINIO",257
Brunelo Bortolo,Cann. 2100,Marghera,Ferramenta in Genere,Category: Navigazione lagunare,257
Cadel Umberto,Cannaregio 539,Marghera,Ferramenta in Genere,Category: Navigazione lagunare,257
Camilli Giovanni,"Mestre, Via Terre Belfredo, 13",Marghera,Premiata officina fabbrile meccanica con torneria," Cantiere per costruzioni in ferro e saldatura autogena,  elettrica,  Impianti idraulici e termo,  Lavorazione con leghe in alluminio,  Costruzione Armadietti per spogliatoi operai,  Telefono: 50-176",257
Campeis Federico,Lido Via Malamocco 43,Marghera,Ferramenta in Genere,Category: Navigazione lagunare,257
Campi Ottorino,Castello 4250,Marghera,Ferramenta in Genere,Category: Navigazione lagunare,257
Campitelli Orlando,Castello 4250,Marghera,Ferramenta in Genere,Category: Navigazione lagunare,257
Cantieri Navali e Officine Meccaniche di Venezia,S. Marco 4023,Marghera,Ferramenta in Genere,Category: Navigazione lagunare,257
Cinti Berardo,Giudecca 10,Marghera,Ferramenta in Genere,Category: Navigazione lagunare,257
Ciscutti Galliano,Dorsoduro 241,Marghera,Ferramenta in Genere,Category: Navigazione lagunare,257
De Rossi Mario,Castello Quintavalle 25,Marghera,Ferramenta in Genere,Category: Navigazione lagunare,257
Esercizio Officine di Naletto Giuseppe,Castello Quintavalle 25,Marghera,Ferramenta in Genere,P. Le Roma,257
F.lli Berengo fu Pietro,"Mestre, Via A. Felisati 70",Marghera,Costruzioni Meccaniche e Fonderie,"Macchine per Armamenti Ferroviari,  Gruppi Elettrogeni,  Motori a Scoppio,  Fonderia Ghisa e Metalli,  Tel: 5071",257
Grandis Giovanni,"P. Marghera, Via dell’Industria",Marghera,Ferramenta in Genere,Category: Navigazione lagunare,257
Giachetti Enrico di Patero Carlo,"Dorsoduro, 1174-75",Marghera,Ferramenta in Genere,Category: Navigazione lagunare,257
Lucchese Giovanni e F.lli,Giudecca Corte Grandi,Marghera,Ferramenta in Genere,Category: Navigazione lagunare,257
Magliaretto Ruggiero,S. Croce 151,Marghera,Ferramenta in Genere,Category: Navigazione lagunare,257
Meccanica Veneziana,S. Marina 6108,Marghera,Costruzioni M.E.V. E.C.C.O.,Category: Navigazione lagunare,257
Morasso Attilio,Mestre Via Felisatti 17,Marghera,Ferramenta in Genere,Category: Navigazione lagunare,257
Novello Carlo,"Mestre, Via Miranese 61",Marghera,Ferramenta in Genere,Category: Navigazione lagunare,257
Oemio - di E. Simioni,Cannaregio 1036,Marghera,Ferramenta in Genere,Category: Navigazione lagunare,257
Officine Meccaniche e Fonderie A. Bosco,P. Barghera C. P. 58,Marghera,Ferramenta in Genere,Category: Navigazione lagunare,257
Pagan e Manente,S. Giobbe 724,Marghera,Ferramenta in Genere,Category: Navigazione lagunare,257
Pandiani Fratelli,S. Lorenzo 5073,Marghera,Ferramenta in Genere,Category: Navigazione lagunare,257
Rallo Pietro,"Via Ospedale, Mestre",Marghera,Ferramenta in Genere,Category: Navigazione lagunare,257
Ribatti Cipriano,"Mestre, Via Mestrina",Marghera,Ferramenta in Genere,Category: Navigazione lagunare,257
Righetto Ettore,"Mestre, Via Paolo Sarpi",Marghera,Ferramenta in Genere,Category: Navigazione lagunare,257
Rocco Luciano,Mestre Via Pogdaro 40,Marghera,Ferramenta in Genere,Category: Navigazione lagunare,257
S. A. Esercizio Officine,Piazzale Roma,Marghera,Ferramenta in Genere,Category: Navigazione lagunare,257
Sopra Giuseppe,"Cannaregio, Calle del Pignater, 1938",Marghera,Officina Meccanica e Fabbrile con Torneria,"Saldatura Autogena ed Elettrica,  Fonderia in Bronzo e Lenge Leggere,  Tel: 24-285",257
Soe. It. del Piombo e dello Zinco,Marghera Via dell’Industria,Marghera,Ferramenta in Genere,Category: Navigazione lagunare,257
Soranio Pavano e C.,Marghera Via dell’Industria,P. Marghera Quartiere Urbano,Ferramenta in Genere,Category: Navigazione lagunare,257
Spolar A.,"Mestre, Porto Marghera, Via A. Volta, 7",Marghera,Officine Meccaniche e. r. l.,"Costruzioni per Edilizia e Speciali,  Impianti industriali,  Tel: 51-387",257
Toffolon Carlo,Rialto 69,Marghera,Ferramenta in Genere,Category: Navigazione lagunare,257
Toffolo G.,Giudecca 820,Marghera,Ferramenta in Genere,Category: Navigazione lagunare,257
Vedovato Federico,Giudecca 820,P. Marghera,Ferramenta in Genere,Category: Navigazione lagunare,257
