Name,Address,Location,Role,Profession,page
P. Leonzio dr. Dayan,Isola San Lazzaro,Campo S. Fantin,Bibliotecario,BIBLIOTECA RR. PP. ARMENI MECHITARISTI,81
Don Silvio Tramontin,Santa Maria della Salute,Campo S. Fantin,Direttore,BIBLIOTECA DEL SEMINARIO PATRIARCALE,81
Zamponi prof. Santo Francesco Saverio,S. Maria della Salute,Campo S. Fantin,Direttore,Istituto Cavanis,81
N. X.,S. Maria della Salute,S. Rocco dietro la chiesa dei Frari,Guardiano Grande,SCUOLA GRANDE DI SAN ROCCO,81
Biasero Palozzi ing. Giacomo,S. Maria della Salute,S. Rocco dietro la chiesa dei Frari,Guardiano da Mattin,SCUOLA GRANDE DI SAN ROCCO,81
Bianchini avv. Angelo,S. Maria della Salute,S. Rocco dietro la chiesa dei Frari,Reggente la Cancelleria,SCUOLA GRANDE DI SAN ROCCO,81
Facchi Mons. Attilio,S. Maria della Salute,S. Rocco dietro la chiesa dei Frari,Cappellano,SCUOLA GRANDE DI SAN ROCCO,81
Bianchini avv. Angelo,Santa Maria Formosa,S. Rocco dietro la chiesa dei Frari,Presidente,SCUOLA ARCICONFRATERNITA DI SAN CRISTOFORO E COMPAGNIA DELLA MISERICORDIA,81
Prof. Rodolfo Pallucchini,Piazza S. Marco,Procuratie Novissima,Direttore,", DIREZIONE BELLE ARTI DEL COMUNE",81
Avv. Mario Vianello Chiodo,Piazza S. Marco,Procuratie Novissima,Segretario amministrativo,", DIREZIONE BELLE ARTI DEL COMUNE",81
dr. Guido Perocco,Piazza S. Marco,Procuratie Novissima,Assistente alla direzione,", DIREZIONE BELLE ARTI DEL COMUNE",81
Prof. Giulio Lorenzetti,Piazza San Marco,,Direttore,", CIVICI MUSEI VENEZIANI D'ARTE E DI STORIA",81
dr. Mario Brunetti,Piazza San Marco,,Vice direttore,", CIVICI MUSEI VENEZIANI D'ARTE E DI STORIA",81
dr. Giovanni Mariacher,Piazza San Marco,,Assistente alla direzione,", CIVICI MUSEI VENEZIANI D'ARTE E DI STORIA",81
dr. Sergio Pignatti,Piazza San Marco,,Assistente alla direzione biblioteca,", CIVICI MUSEI VENEZIANI D'ARTE E DI STORIA",81
Ponti On. prof. Giovanni,S. Stefano Palazzo Morosini numero 2802,Campo S. Fantin,Presidente Onorario,CIRCOLO FILOLOGICO,81
Bassino avv. Achille,S. Stefano Palazzo Morosini numero 2802,Campo S. Fantin,Presidente,CIRCOLO FILOLOGICO,81
Henry prof. Gambier,S. Stefano Palazzo Morosini numero 2802,Campo S. Fantin,Vice Presidente,CIRCOLO FILOLOGICO,81
Di Sabato Dr. Fulvio,S. Stefano Palazzo Morosini numero 2802,Campo S. Fantin,Tesoriere,CIRCOLO FILOLOGICO,81
Sabadini dr. Lino,S. Stefano Palazzo Morosini numero 2802,Campo S. Fantin,Consigliere,CIRCOLO FILOLOGICO,81
Dazzi prof. Manlio,S. Stefano Palazzo Morosini numero 2802,Campo S. Fantin,Consigliere,CIRCOLO FILOLOGICO,81
Rocca rag. Giuliano,S. Stefano Palazzo Morosini numero 2802,Campo S. Fantin,Consigliere,CIRCOLO FILOLOGICO,81
Zanetti Valeria,S. Stefano Palazzo Morosini numero 2802,Campo S. Fantin,Consigliere,CIRCOLO FILOLOGICO,81
Di Sabato dr. Fulvio,S. Stefano Palazzo Morosini numero 2802,Campo S. Fantin,Consigliere,CIRCOLO FILOLOGICO,81
Conci prof. Francesco,S. Stefano Palazzo Morosini numero 2802,Campo S. Fantin,Consigliere,CIRCOLO FILOLOGICO,81
Cartago Maria,S. Stefano Palazzo Morosini numero 2802,Campo S. Fantin,Consigliere,CIRCOLO FILOLOGICO,81
