Provincia,Section,Role_or_Profession,Name,Address,page
CONA,UFFICI PUBBLICI,Ufficio Postale,Pegolotte,,517
CONA,UFFICI PUBBLICI,Ufficio Telegrafico,Pegolotte,,517
CONA,UFFICI PUBBLICI,Telefono pubblico,Cona e Pegolotte,,517
CONA,UFFICI PUBBLICI,Parroci,Giolo don Guido,,517
CONA,UFFICI PUBBLICI,Parroci,Don Antonio Polo,,517
CONA,UFFICI PUBBLICI,Parroci,Don Leonildo Berto,,517
CONA,UFFICI PUBBLICI,Parroci,Zorzo don Giovanni,,517
CONA,ISTITUZIONI,Ufficio Collocamento dei Sindac. Agricoli,,,517
CONA,ISTITUZIONI,Fiduciario,Frezzato Bruno,,517
CONA,ISTITUZIONI DI BENEFICENZA,E. C. A.,,,517
CONA,ISTITUZIONI SANITARIE,Laboratori antimalarico,Penzo dr. Guido,,517
CONA,PROFESSIONISTI,Farmacisti,Penzo dr. Guido,,517
CONA,PROFESSIONISTI,Ostetriche,Pinzauro Maria,,517
CONA,PROFESSIONISTI,Ostetriche,Valente Elena,,517
CONA,PROFESSIONISTI,Medici,Miraglia dr. Giuseppe,,517
CONA,PROFESSIONISTI,Veterinari,Ravaglia dott. Spartaco,,517
CONA,COMMERCIO E INDUSTRIA,Alberghi e pensioni,Nonnato Bruna,,517
CONA,COMMERCIO E INDUSTRIA,Articoli casalinghi,Trentin Umberto,,517
CONA,COMMERCIO E INDUSTRIA,Automobili (Garage e Noleggio),Ditta Zanin e Manfrin,,517
CONA,COMMERCIO E INDUSTRIA,Autotrasporti,Giolo Virgilio,,517
CONA,COMMERCIO E INDUSTRIA,Bandaai e ottonai,Tordin Adele,,517
CONA,COMMERCIO E INDUSTRIA,Barbieri,Ceccolin Antonio,,517
CONA,COMMERCIO E INDUSTRIA,Barbieri,Travagin Ernesto,,517
CONA,COMMERCIO E INDUSTRIA,Barbieri,Bertapiglia Napoleone,,517
CONA,COMMERCIO E INDUSTRIA,Bestiame (Commercio),Falaguasta Settimo,,517
CONA,COMMERCIO E INDUSTRIA,Bidae, coloniali ed affini,Meneghini Fulvio,,517
CONA,COMMERCIO E INDUSTRIA,Bidae, coloniali ed affini,Singialingo Angelo,,517
CONA,COMMERCIO E INDUSTRIA,Bidae, coloniali ed affini,Ghizzolo Romilda,,517
CONA,COMMERCIO E INDUSTRIA,Bidae, coloniali ed affini,Pinton Gelindo,,517
CONA,COMMERCIO E INDUSTRIA,Bidae, coloniali ed affini,Ruzza Romolo,,517
CONA,COMMERCIO E INDUSTRIA,Bidae, coloniali ed affini,Novo Uldreco,,517
CONA,COMMERCIO E INDUSTRIA,Bidae, coloniali ed affini,Vecchio Raimondo,,517
CONA,COMMERCIO E INDUSTRIA,Bidae, coloniali ed affini,Pasqualin Nello,,517
CONA,COMMERCIO E INDUSTRIA,Bidae, coloniali ed affini,Moscatello Maria,,517
