Name,Address,Location,Role,Profession,page
Bassi dr. Pietro,San Angelo - Ponte dei Frati n. 3553,,Intendente,"INTENDENZA DI FINANZA,",57
Marcato dr. Antonio,San Angelo - Ponte dei Frati n. 3553,,Vice Intendente,"INTENDENZA DI FINANZA,",57
Loiacono avv. Gaetano,San Angelo - Ponte dei Frati n. 3553,,Vice Intendente,"INTENDENZA DI FINANZA,",57
Fiori rag. Guido,San Angelo - Ponte dei Frati n. 3553,,Vice Intendente,"INTENDENZA DI FINANZA,",57
Alberti rag. Giovanni,San Angelo - Ponte dei Frati n. 3553,,Direttore di Ragioneria,"INTENDENZA DI FINANZA,",57
Squarzini rag. Alessandro,Piscina S. Zulian N. 548,,Direttore,"UFFICIO PROVINCIALE DEL TESORO,",57
Malaspina Bindo,"Palazzo Papadopoli, S. Silvestro n. 1364",,Ispettore Compartimentale,"ISPETTORATO COMPARTIMENTALE DELLE IMPOSTE DIRETTE,",57
Tordo dr. Antonio,"Palazzo Papadopoli, S. Silvestro n. 1364",,Ispettore Compartimentale,"ISPETTORATO COMPARTIMENTALE DELLE TASSE E DELLE IMPOSTE INDIRETTE SUGLI AFFARI,",57
Mammana dr. Giuseppe,"Ponte dei Frati, S. Angelo N. 3553",,,"Direttore, ",57
Azzatiello dr. Antonio,S. Angelo N. 3553,,Direttore,"UFFICIO DEL REGISTRO ATTI CIVILI,",57
Palumberi Gaetano,S. Angelo N. 3553,,1.o Procuratore titolare,"UFFICIO REGISTRO ATTI GIUDIZIARI E CONCESSIONI GOVERNATIVE,",57
Crofti dr. Carlo,S. Angelo N. 3553,,Direttore,"UFFICIO DEL REGISTRO SUCCESSIONI E DEMANIO,",57
Cingano dr. Iginio,S. Angelo N. 3553,,I. Procuratore Titolare,"UFFICIO IMPOSTA IN SURROGAZIONE,",57
Righetti rag. Roberto,Campo Manin,,I. Procuratore Titolare,"UFFICIO IMPOSTA GENERALE SULL'ENTRATA,",57
Lobetti Bodoni dr. Mario,Campo Manin, S. Marco,,"Conservatore, ",57
Pappalardo dr. ing. Rosario,Campo Manin 4022,S. Marco,Ingegnere Capo,"UFFICIO TECNICO ERARIALE,",57
Frati dr. ing. Aldo,S. Stae - Calle del Meggio N. 1789,S. Marco,Ingegnere Capo,"UFFICIO TECNICO IMPOSTE DI FABBRICAZIONE,",57
Monaco rag. Angelo,Campo della Salute,S. Marco,Direttore Superiore,"DIREZIONE SUPERIORE DI DOGANA,",57
Facecone Francesco,Calle Contarini Corfù N. 1057,S. Marco,Ispettore Superiore,"ISPETTORATO COMPARTIMENTALE DELLE DOGANE,",57
Guasti dr. Giovanni,Calle Contarini Corfù N. 1057, S. Marta,,"Direttore chimico, ",57
Fiali cav. uff. Guido,S. Angelo 3553,S. Marta,Direttore vice intendente,"DIREZIONE LOTTO,",57
Crescenti Placido,S. Angelo 3553,S. Marta,Titolare I. Procuratore,"DIREZIONE LOTTO,",57
Papa Roberto,S. Angelo 3553,S. Marta,Titolare ufficiale,"DOGANA,",57
Casati Edgardo,S. Angelo 3553,S. Marta,Ufficio del Registro," Titolare Procuratore, ",57
Console dr. Vincenzo,S. Angelo 3553,S. Marta,Ufficio distrettuale II. DD.," 1. Procuratore, ",57
Malusa dr. Gino,S. Angelo 3553,S. Marta,Ufficio del Registro," Titolare Procuratore, ",57
Guida dr. Edgardo,S. Angelo 3553,S. Marta,Ufficio Distrettuale delle II. DD.," Procuratore Capo, ",57
Bonia Giuseppe,S. Angelo 3553,S. Marta,Ufficio del Registro, Titolare Procuratore,57
