Name,Address,Location,Category,Additional Info,page,location_cleaned
S. A. Officina e Cantieri di Venezia,S. Cro. c/o 1924,Lido,Cantieri Navali,",",172,False
Soc. Ital. Ernesto Breda,S. Cro. c/o 1924,Lido,Cantieri Navali,"Direzione Venezia S. Samuele (palazzo Stucky), Telef. 26.329; 26.335 | Cantieri Navali, Porto Industriale Marghera",172,False
Tagliapietra Marco,S. Cro. c/o 1924,Lido,Cantieri Navali,S. Eufemia,172,False
Toffolo Giovanni,Giudecca 920,Lido,Cantieri Navali,",",172,False
Trame Luigi,"Cannaregio, calle Turloni, 2866",,Cantieri Navali,",",172,True
Tramontin Domenico e figli,Dorsoduro 1542 e Giudecca,,Cantieri Navali,",",172,True
Tramontin Mario,Dorsoduro 937,,Cantieri Navali,",",172,True
Trevisan Emilio,"Giudecca, Fondamenta Convertite 755",Lido,Cantieri Navali,",",172,False
Cantine Tezze di Piave,S. Io 5450,Lido,Cantine,",",172,False
Lombardini Giuseppina,Castello 6249,,Cantine,",",172,True
S. A. Tenute Valburana,Castello 6249,Castello,Cantine,"Vini, Tel. 23-871",172,False
Bampa G. Succ. Frari,S. Marco 787,,Cappellerie,",",172,True
Battaglia Linda,"S. Marco, 1165",,Cappellerie,",",172,True
Bignotto Romolo,"S. Marco, 732",,Cappellerie,",",172,True
Bonincento Clementino,Castello 4700,,Cappellerie,",",172,True
Bovo Albino,Castello 5851,,Cappellerie,",",172,True
Bovo Romano,S. Marco 716,,Cappellerie,",",172,True
Campagna Pietro,"Castello, 5618",,Cappellerie,",",172,True
Cò di Gallo Ferraro e C.,S. Marco 295,,Cappellerie,",",172,True
Colpo Giuseppe,"S. Marco, 910",Lido,Cappellerie,",",172,False
Ferro Angelo,S. Marco 4833-34,,Cappellerie,",",172,True
Pellarin Carlo,"S. Marco, 5542",,Cappellerie,",",172,True
Santini Maffeo,Salizzada S. Lio 5475,,Cappellerie,",",172,True
Settimi C. T. di Colpo Antonio,San Marco 4957,,Cappellerie,",",172,True
Toffani Antonio,Ponte di Rialto,Lido,Cappellerie,",",172,False
Mazzucco Cav. Giuseppe,"Fond. Cannaregio, 970",Lido,Capsule di stagnole e di elastite,"Premiato Sugherifício Veneto, Stab. Amm. Palazzo Surial, Tel. 23-016",172,False
Anglo Italiana Carboni,Marghera 50-582,Lido,Carbone,"Società per Azioni, Tel. Ufficio 20-429, Intercomun. 20-428, Marghera 50-582",172,False
Bellenio Michele,"S. Stefano, 3474 A",,Carbone,",",172,True
Benetti Dante,"Dorsoduro, 1186",,Carbone,",",172,True
Cerato e Salmini,S. Maria del Giglio 2479,,Carbone,",",172,True
Gatti Francesco e Marchesi Guglielmo,"San Marco, 235",,Carbone,",",172,True
Penzo A. & Da Villa G.,SS. Apostoli 4778,,telefono 24-562,",",172,True
S. A. Commercio Carboni e Affini,San Fantin - Calle Minelli 1880,Lido,Tel. 23-911,",",172,False
S.A.D.E. Molinari,S. Moisè 2152,Lido,Carbone,",",172,False
Unione Importatori Carboni,Riva del Vin 1099,Lido,Carbone,",",172,False
S. A. Giavi T· C·,S. Luca 4557,,Carbone,",",172,True
S. A. Industria Nazionale agglomerazione ca:boni,"Mestre, Via G Pepe",Lido,Carbone,",",172,False
Venuti Giov. (ditta),"Via 22 Marzo, calle Pedrochi 2288",Lido,Carbone,",",172,False
Vetroceke S. A.,"Via 22 Marzo, calle Pedrochi 2288",Marghera,Carbone,",",172,False
Consorzio Veneto consumatori carbone fossile,"Via 22 Marzo, calle Pedrochi 2288","Porto Marghera, presso I.N.A.",Carbone (consorzio consumatori),",",172,False
Adriatica Carboni Bressan Alberto,"San Marco, 3927",,Carbone e Legna,",",172,True
Anonima Carboni S. A.,S. Polo 1957,,Carbone e Legna,",",172,True
Baracchini Gino,S. Marco 3824,,Carbone e Legna,",",172,True
Bernardi Ernesto (Ditta),"Castello, 5748",Marghera,"Grossisti e Dettaglianti Carboni e Legna, Negozio di vendita, Tel. 23-758, Ufficio, Castello, 5750, Tel. 23-758",",",172,False
Bertoli Luigi,Cannaregio 2988,Marghera,Carbone e Legna,",",172,False
Boccalena Osvaldo succ.,"Via Bragadin, 3",,Carbone e Legna,",",172,True
Bucanieri Umberto,Dorsoduro 1316,,Carbone e Legna,",",172,True
