Name,Address,Location,Role,Profession,Additional Info,page
Soprintendente Maestro Trentinaglia Erardo,Campo S. Fantin,MUSEO ARCHEOLOGICO,,ENTE AUTONOMO DEL TEATRO,,80
Segretario Generale Luigi Ferronni,Campo S. Fantin,MUSEO ARCHEOLOGICO,,ENTE AUTONOMO DEL TEATRO,,80
Commissario Cessi Prof. Roberto,Riva dei sette Martiri,MUSEO ARCHEOLOGICO,,ISTITUTO PER GLI STUDI ADRIATICI,,80
Direttore Marangoni ugr. uff. ing. Luigi,"Palazzo Tron, S. Stue, numero 1957",ex Chiesa S. Basso,Comitato: Venezia,DIREZIONE RESTAURI E STUDIO MO. SAICI DELLA BASILICA SAN MARCO,"ENTE NAZIONALE INDUSTRIE CINEMATOGRAFICHE,",80
Assistente Piccoli prof. Gio Batta,"Palazzo Tron, S. Stue, numero 1957",ex Chiesa S. Basso,Comitato: Venezia,DIREZIONE RESTAURI E STUDIO MO. SAICI DELLA BASILICA SAN MARCO,"ENTE NAZIONALE INDUSTRIE CINEMATOGRAFICHE,",80
Soprintendente Forlati ing. comm. Ferdinando,"Palazzo Ducale, Ufficio della Soprintendenza",ex Chiesa S. Basso,Comitato: Venezia,SOPRINTENDENZA AI MONUMENTI MEDIOEVALI E MODERNI DEL VENETO ORIENTALE,"ENTE NAZIONALE INDUSTRIE CINEMATOGRAFICHE,",80
O. nei Licei Ginasii (comunato) Valeri dr. prof. Diego,"Palazzo Ducale, Ufficio della Soprintendenza",ex Chiesa S. Basso,Comitato: Venezia,SOPRINTENDENZA AI MONUMENTI MEDIOEVALI E MODERNI DEL VENETO ORIENTALE,"ENTE NAZIONALE INDUSTRIE CINEMATOGRAFICHE,",80
Capo Divisione Quarti comm. Antonio,"Palazzo Ducale, Ufficio della Soprintendenza",ex Chiesa S. Basso,Comitato: Venezia,SOPRINTENDENZA AI MONUMENTI MEDIOEVALI E MODERNI DEL VENETO ORIENTALE,"ENTE NAZIONALE INDUSTRIE CINEMATOGRAFICHE,",80
Economo Bragolin cav. uff. Franco,"Palazzo Ducale, Ufficio della Soprintendenza",ex Chiesa S. Basso,Comitato: Venezia,SOPRINTENDENZA AI MONUMENTI MEDIOEVALI E MODERNI DEL VENETO ORIENTALE,"ENTE NAZIONALE INDUSTRIE CINEMATOGRAFICHE,",80
Archivista Socal Umberto,"Palazzo Ducale, Ufficio della Soprintendenza",ex Chiesa S. Basso,Comitato: Venezia,SOPRINTENDENZA AI MONUMENTI MEDIOEVALI E MODERNI DEL VENETO ORIENTALE,"ENTE NAZIONALE INDUSTRIE CINEMATOGRAFICHE,",80
Contabile Socal Elena,"Palazzo Ducale, Ufficio della Soprintendenza",ex Chiesa S. Basso,Comitato: Venezia,SOPRINTENDENZA AI MONUMENTI MEDIOEVALI E MODERNI DEL VENETO ORIENTALE,"ENTE NAZIONALE INDUSTRIE CINEMATOGRAFICHE,",80
Primo restauratore Nardo Antonio,"Palazzo Ducale, Ufficio della Soprintendenza",ex Chiesa S. Basso,Comitato: Venezia,SOPRINTENDENZA AI MONUMENTI MEDIOEVALI E MODERNI DEL VENETO ORIENTALE,"ENTE NAZIONALE INDUSTRIE CINEMATOGRAFICHE,",80
Restauratore De Faveri Davide,"Palazzo Ducale, Ufficio della Soprintendenza",ex Chiesa S. Basso,Comitato: Venezia,SOPRINTENDENZA AI MONUMENTI MEDIOEVALI E MODERNI DEL VENETO ORIENTALE,"ENTE NAZIONALE INDUSTRIE CINEMATOGRAFICHE,",80
Disegnatore Vecchi prof. Alessandro,"Palazzo Ducale, Ufficio della Soprintendenza",ex Chiesa S. Basso,Comitato: Venezia,SOPRINTENDENZA AI MONUMENTI MEDIOEVALI E MODERNI DEL VENETO ORIENTALE,"ENTE NAZIONALE INDUSTRIE CINEMATOGRAFICHE,",80
Disegnatore Poloni Giovanni,"Palazzo Ducale, Ufficio della Soprintendenza",ex Chiesa S. Basso,Comitato: Venezia,SOPRINTENDENZA AI MONUMENTI MEDIOEVALI E MODERNI DEL VENETO ORIENTALE,"ENTE NAZIONALE INDUSTRIE CINEMATOGRAFICHE,",80
Fotografo Caprioli Giovanni,"Palazzo Ducale, Ufficio della Soprintendenza",ex Chiesa S. Basso,Comitato: Venezia,SOPRINTENDENZA AI MONUMENTI MEDIOEVALI E MODERNI DEL VENETO ORIENTALE,"ENTE NAZIONALE INDUSTRIE CINEMATOGRAFICHE,",80
Assistente Senigaglia Romana,"Palazzo Ducale, Ufficio della Soprintendenza",ex Chiesa S. Basso,Comitato: Venezia,SOPRINTENDENZA AI MONUMENTI MEDIOEVALI E MODERNI DEL VENETO ORIENTALE,"ENTE NAZIONALE INDUSTRIE CINEMATOGRAFICHE,",80
Assistente Bastianello Romano,"Palazzo Ducale, Ufficio della Soprintendenza",ex Chiesa S. Basso,Comitato: Venezia,SOPRINTENDENZA AI MONUMENTI MEDIOEVALI E MODERNI DEL VENETO ORIENTALE,"ENTE NAZIONALE INDUSTRIE CINEMATOGRAFICHE,",80
Custode Cattelan Emilio,"Palazzo Ducale, Ufficio della Soprintendenza",ex Chiesa S. Basso,Comitato: Venezia,SOPRINTENDENZA AI MONUMENTI MEDIOEVALI E MODERNI DEL VENETO ORIENTALE,"ENTE NAZIONALE INDUSTRIE CINEMATOGRAFICHE,",80
Chiesa di S. Giorgio Maggiore in Isola Rettore.Custode De Nicola don Arsenio,"Palazzo Ducale, Ufficio della Soprintendenza",ex Chiesa S. Basso,Comitato: Venezia,SOPRINTENDENZA AI MONUMENTI MEDIOEVALI E MODERNI DEL VENETO ORIENTALE,"ENTE NAZIONALE INDUSTRIE CINEMATOGRAFICHE,",80
