Name,Address,Location,Role,Profession,Additional Info,page
__SECTION__: COMANDI MILITARI,,,,,,59
Comando Militare Marittimo Autonomo dell’Alto Adriatico e della Piazza Marittima di Venezia,,,,,Arsenale,59
Vintina Ammiraglio di Divis. ne Massimiliano,,,,Comandante Militare Marittimo Autonomo dell’Alto Adriatico,,59
Bagagiolo Tenente di Vascello Antonio,,,,Aiutante di Bandiera,,59
Pellegrini Comm. Ernesto,,,Capo di Stato Magg.,,,59
Zanchi Cav. Carlo,,,S.Capo di Stato Maggiore,,,59
Bartoli Cap. di Corvetta Francesco,,,Ufficio Naviglio,,,59
Valsecchi Ten. di Vascello Ferdinando,,,Ufficio Telecomunicazioni,,,59
Gabrielli Anselmo,,,Ufficio Giustizia Disciplina,,,59
Nasta Virgilio,,,Uff. Matricola,Cap. di Corv.,,59
Griffo cav. Umberto,,Economato,,,,59
Puggiotto Comm. Giuseppe,,Cappellano Militare R. Marina : Mons.,,,,59
__SECTION__: COMANDO BASE NAVALE,,,,,,59
Salvestroni cav. uff. Mario,,Com.te,Cap. di Vascello,,,59
Bongiovanni cav. uff. Gian Maria,Com.te in 2.a,,Cap. di Freg.,,,59
Denaro cav. uff. Alfio (temp.),Com.te in 2.a,Direzione Costruzioni Navali e Meccaniche,Direttore,Ten. Col. G. N.,,59
Denaro cav. uff. Alfio (temp.),Com.te in 2.a,Vice Direttore,Ten. Col. G. N.,,,59
Pellegrini cav. uff. Sergio,Com.te in 2.a,Direz. Artigl. armi navali e munizionamento,Direttore,Col. A. N.,,59
Richiardone cav. Nestore,Com.te in 2.a,Vice Direttore,Ten. Col. A. N.,,,59
Cimino cav. Luigi,Com.te in 2.a,Direzione Genio Militare per la Marina,Ten. Col,,,59
Denaro cav. uff. Alfio,Com.te in 2.a,Ufficio Tecnico Genio Navale,Direttore,Ten. Col. G. N.,,59
__SECTION__: Zona Fari,Com.te in 2.a,,,,,59
Nucci cav. uff. Antonio,Com.te in 2.a,Com.te,Cap. di Freg.,,,59
__SECTION__: Comando Difesa M. M.,Com.te in 2.a,,,,,59
Notarbartolo cav. uff. Marco,Com.te in 2.a,Com.te,Cap. di Fregata,,,59
__SECTION__: Comando Deposito C. R. E. M.,Com.te in 2.a,,,,,59
Linnanazza cav. uff. Carlo,Com.te in 2.a,Com.te,Cap. di Fregata,,,59
__SECTION__: Scuola Sottufficiali,Com.te in 2.a,,,,,59
Foscari cav. uff. Adriano,Com.te in 2.a,Com.te,Cap. di Vascello,,,59
__SECTION__: Direzione Sanità M. M.,Com.te in 2.a,,,,,59
Bizzarri Comm. Michele,Com.te in 2.a,Direttore,Col. Medico,,,59
Vanelli cav. Ugo,Com.te in 2.a,Vice Direttore,Ten. Col. Medico,,,59
__SECTION__: Capitaneria di Porto.,Com.te in 2.a,,,,,59
Serra Mannicheddu cav. uff. Francesco,Com.te in 2.a,Com.te,Col. di Porto,,,59
Venanzi cav. Francesco,Com.te in 2.a,,Ten. Col.,,,59
__SECTION__: Distretto Militare di Venezia,"Campo dei Gesuiti, Caserma Manin",,,,,59
Guidi Col. Finciati,"Campo dei Gesuiti, Caserma Manin",Comandante,,,,59
Righti Ferruccio,"Campo dei Gesuiti, Caserma Manin",Aiutante Maggiore in I.,T. Col.,,,59
Agozzino Vincenzo,"Campo dei Gesuiti, Caserma Manin",Capo Ufficio Matricola,T. Col.,,,59
De Benedictis Lorenzo,"Campo dei Gesuiti, Caserma Manin",Capo Ufficio forza in congedo,T. Col.,,,59
Germano Francesco,"Campo dei Gesuiti, Caserma Manin",Relatore,Ten. Col.,,,59
Ingrao Vittorio,"Campo dei Gesuiti, Caserma Manin",Consegnatario magazzino,Magg.,,,59
Bacci Azeglio,"Campo dei Gesuiti, Caserma Manin",Direttore dei Conti,Cap.,,,59
__SECTION__: Direzione Marittima e Capitaneria di Porto di Venezia,"San Marco, calle Vallaresso 1324",,,,,59
Serra Mannicheddu Francesco,"San Marco, calle Vallaresso 1324",Direttore Marittimo e Comandante del Porto,Col.,,,59
"__SECTION__: ""duse.""",VENEZIA - Via XXII Marzo 2288,,,,"Macchine per scrivere - Calcolatrici - Duplicatori, OCCASIONI - CAMBI - RICOSTRUZIONI - NOLEGGI",59
