Name,Address,Location,Role,Profession,Additional Info,page
Comando Militare Marittimo Autonomo dell'alto Adriatico e della Piazza Marittima di Venezia,,,,Comandante Militare Marittimo Autonomo,Arsenale,59
Ammiraglio di Divisio. ne Massimiliano Viintina,,,,Comandante Militare Marittimo Autonomo dell'Alto Adriatico,COMANDI MILITARI,59
Antonio Bagagiolo,,,Aiutante di Bandiera,Tenente di Vascello,COMANDI MILITARI,59
Cap. di Vasc. Pelle. grini Comm. Ernesto,,,Capo di Stato Magg.,,COMANDI MILITARI,59
Zanchi Cav. Car. lo,,,S.Capo di Stato Maggiore,,COMANDI MILITARI,59
Cap. di Corvetta France. sco Bartoli,,,Officio Naviglio,,COMANDI MILITARI,59
Ten. di Vascello Valsecchi Ferdinando,,,Ufficio Telecomunicazioni,,COMANDI MILITARI,59
Magg. Comm. Gabrielli Anselmo,,,Ufficio Giustizia Disciplina,,COMANDI MILITARI,59
Cap. di Corv. Nasta Virgi. nio,,,Uff. Matricola,,COMANDI MILITARI,59
Griffi cav. Umberto,,,Economato,,COMANDI MILITARI,59
Mons. Pug. giotto Comm. Giuseppe,,,Cappellano Militare R. Marina,,COMANDI MILITARI,59
Com.te Cap. di Vascello Salvestroni cav,,,,,Com.te | uff. Mario,59
Cap. di Freg. Bongiovanni cav uff. Gian Maria,,,,Com.te in 2.a,COMANDO BASE NAVALE,59
Ten. Col. G. N. Denaro cav. uff. Alfo (temp.),,,Direzione Costruzioni Navali e Meccaniche,Direttore,COMANDO BASE NAVALE,59
Ten. Col. G. N. cav. uff. Alfo (temp.),,,Vice Direttore,,COMANDO BASE NAVALE,59
Col. A. N. Pellegrini cav. uff. Ser. gio,,,Direz. Artigl. armi navali e munizionamento,Direttore,COMANDO BASE NAVALE,59
Ten. Col. A. N. Richiardone cav,,,,Vice Direttore,Nestore,59
Ten,,,,Direzione Genio Militare per la Marina,Col Cimini cav. Luigi,59
Ten. Col,,,,Ufficio Tecnico Genio Navale,Direttore | G. N. Denaro cav. uff. Alfo,59
Cap. di Freg. Nucci cav. uff. Anto. nio,,,Zona Fari,Com.te,COMANDO BASE NAVALE,59
Cap. di Fregata Notarbartolo cav. uff. Marco,,,Comando Difesa M. M.,Com.te,COMANDO BASE NAVALE,59
Cap. di Fregata Linnazza cav. uff. Carlo,,,Comando Deposito C. R. E. M.,Com.te,COMANDO BASE NAVALE,59
Cap. di Vascello Foscari cav. uff. Adriano,,,Scuola Sottufficiali,Com.te,COMANDO BASE NAVALE,59
Col. Medico Bizzarri Comm. Mi. chele,,,Direzione Sanità M. M.,Direttore,COMANDO BASE NAVALE,59
Ten. Col. Medico Vanelli cav. Ugo,,,Vice Direttore,,COMANDO BASE NAVALE,59
Col di Porto Serra Mannichedda cav. uff. Francesco,,,Com.te,,Capitaneria di Porto,59
Ten. Col. Venauzi cav,,,,Com.te in 2.a,Fran. cesco,59
Col. Fincati Guido,Campo dei Gesuiti,Caserma Manin,,Comandante,Distretto Militare di Venezia,59
T. Col. Righetti Ferruccio,Campo dei Gesuiti,Caserma Manin,Aiutante Maggiore in I.,,Distretto Militare di Venezia,59
T. Col. Agozzino Vincenzo,Campo dei Gesuiti,Caserma Manin,Capo Ufficio Matricola,,Distretto Militare di Venezia,59
T. Col. De Benedictis Lorenzo,Campo dei Gesuiti,Caserma Manin,Capo Ufficio Fozza in congedo,,Distretto Militare di Venezia,59
Ten. Col. Germano Francesco,Campo dei Gesuiti,Caserma Manin,Relatore,,Distretto Militare di Venezia,59
Magg. Ingrao Vittorio,Campo dei Gesuiti,Caserma Manin,Consegnatario magazzino,,Distretto Militare di Venezia,59
Cap. Bacci Azeglio,Campo dei Gesuiti,Caserma Manin,Direttore dei Conti,,Distretto Militare di Venezia,59
Col Serra Mannichedda Francesco,San Marco,,Direttore Marittimo e Comandante del Por. to,,Direzione Marittima e Capitaneria di Porto di Venezia,59
duse,Via XXII Marzo 2288,VENEZIA,,,Macchine per scrivere • Calcolatrici • Duplicatori,59
