Name,Address,Location,Category,Additional Info,Profession,Role,page
Montiro Silvio,S. Marco 1581,Mestre,alimentari,dett.,Macchine per scrivere - Calcolatrici - Duplicatori,lateria,387
Elettroanagrammi di Sissa Guido,Via Muzzardi 4,Marghera,ciocianagrama,Officina Riparazioni,Macchine per scrivere - Calcolatrici - Duplicatori,VIA FELISATI N. 31,387
Elmi padre prof. Arturo,Via Muzzardi 4,Marocco di Mogliano Veneto,sordo muti,Officina Riparazioni,Direttore,La Lega Provinciale,387
Elvezia,Lido Gian Viale 6,Mestre,pensione,Officina Riparazioni,Macchine per scrivere - Calcolatrici - Duplicatori,VIA FELISATI N. 31,387
Emiutetti Stella,Lido Gian Viale 6,bova,VISITOSI GUIDO,ann. 368,Macchine per scrivere - Calcolatrici - Duplicatori,polleria,387
Ente immobiliare Anonima ELA,Cann. 605374,Mestre,compra-vendita immobili,Officina Riparazioni,Macchine per scrivere - Calcolatrici - Duplicatori,VIA FELISATI N. 31,387
Ente Nazionale Industrie Cinematografiche,"Cann. 605374, S. Simeone Piccolo 745A",Mestre,VISITOSI GUIDO,cinema | San,agenzia nolleggio film,"Direzione Generale, ",387
Fratelli Venier S. A.,P. Marghera Via Elettricità 14,Mestre,fornaci di calce,latemarz,materiale per costruzioni edilizie,VIA FELISATI N. 31,387
Eroule Dr. Giovanni,Cannaregio 5400,Mestre,medicina generale,Officina Riparazioni,Macchine per scrivere - Calcolatrici - Duplicatori,VIA FELISATI N. 31,387
Eredi Cav. Carlo Monaco,Piazza Cesare, Battisti,Mestre,macchinari,Macchine per scrivere - Calcolatrici - Duplicatori,rappresentanto,387
Eredi di Roggio Antonio,Via G. Pepe 50,Mestre,cantiere navale,Officina Riparazioni,carpentierre,VIA FELISATI N. 31,387
Ermini Vittore,via Elettricità,Marghera,VISITOSI GUIDO,stracci,ca la anta impresa,dan pariè affini,387
Ermolao Angelo,via Elettricità,Mestre,Municipal,Officina Riparazioni,Consigliere,VIA FELISATI N. 31,387
Ernani Luigi,Via Rosa 16,Mestre,VISITOSI GUIDO,cicli e motocicli,accessori,VIA FELISATI N. 31,387
Errante Michele,S. Marco 1829,Mestre,carbone e legna,grossista,Macchine per scrivere - Calcolatrici - Duplicatori,VIA FELISATI N. 31,387
Errera Adolfo,S. Stefano 2923,Mestre,avvocato,Officina Riparazioni,Macchine per scrivere - Calcolatrici - Duplicatori,VIA FELISATI N. 31,387
Errera Giorgio,S. Marco 3055,Mestre,ingegnere,Officina Riparazioni,Macchine per scrivere - Calcolatrici - Duplicatori,VIA FELISATI N. 31,387
Errera Ing. Mario,"S. Marco 3055, 2808",Mestre,VISITOSI GUIDO,President. | S. Stefano,Macchine per scrivere - Calcolatrici - Duplicatori,Ass. Imprese Elettriche Veneto Adriatiche,387
Ersettagin Luigi,"S. Marco 3055, 2808",Mestre,a M arcianca,Officina Riparazioni,Conduttore, della Biblioteca,387
Esercizio Officine di Nalelto Giuseppe,Piazzale Roma,Mestre,otto officina,Officina Riparazioni,Macchine per scrivere - Calcolatrici - Duplicatori,VIA FELISATI N. 31,387
Esimi Giacchino,S. Polo 1189,Mestre,avvocato,Officina Riparazioni,Macchine per scrivere - Calcolatrici - Duplicatori,VIA FELISATI N. 31,387
Esposito Enrico,Castello 2461,Mestre,calzaturificio,Officina Riparazioni,Macchine per scrivere - Calcolatrici - Duplicatori,VIA FELISATI N. 31,387
Espositi Carlo,Via Piave 80,Mestre,articoli casalinghi,Officina Riparazioni,Macchine per scrivere - Calcolatrici - Duplicatori,VIA FELISATI N. 31,387
Essiccatoio Veneto,Via Principe di Piemonte 10,Mestre,VISITOSI GUIDO,essicazione futta ed erbaggi,Macchine per scrivere - Calcolatrici - Duplicatori,VIA FELISATI N. 31,387
