Name,Address,Location,Category,Additional Info,page
Pistolato Antonio,"Zelarino, Via Gatta",Rialto,Frumento,(fabbriche),211
Antonello Cesare,"Zelarino, Via Gatta",Rialto,Frutta,(fabbriche),211
Cetteneo Primo,Castello 3276,Rialto,Frutta,(fabbriche),211
Marchesin Giuseppe,S. Polo 30,Rialto,Frutta,(fabbriche),211
Pleselà Emilia,Via Verdi 72,Mestre,Frutta,(fabbriche),211
Rivolfo Arnaldo e Vio Emilio,S. Croce 782,Rialto,Frutta,(fabbriche),211
Tommasini Marcello,Via Mestr. 10,Mestre,Frutta,(fabbriche),211
Tonini Galdino,S. Marco 4539-A,Rialto,Frutta,(fabbriche),211
Soc. An. Frutta Esotiche «SAFRE»,"S. Luca 4541, S. Polo 921",Rialto,Frutta,(fabbriche),211
Vianello Ermenegildo Giovanni,"S. Luca 4541, S. Polo 921",Pellestrina,Frutta,(fabbriche),211
Zanon Ferruccio,"S. Polo, 544",Rialto,Frutta,(fabbriche),211
Zennaro A.,Cannaregio 4471,Rialto,Frutta,(fabbriche),211
"Busetto, Severino",Cannaregio 4245,Rialto,Frutta secca,(fabbriche),211
Da Par Giuseppe,Dorsoduro 2537,Rialto,Frutta secca,(fabbriche),211
De Min Achille,S. Polo 129,Rialto,Frutta secca,(fabbriche),211
Gallo Giuseppina,Dorsoduro 1705,Rialto,Frutta secca,(fabbriche),211
Gobesso & C.,Via F.lli Bandira 17 A,Marghera,Frutta secca,(fabbriche),211
Manzato Pietro,Cannaregio 3231,Rialto,Frutta secca,(fabbriche),211
Marchesin Giuseppe,S. Polo 30,Rialto,Frutta secca,(fabbriche),211
Orighinato Italo,Castello 4930,Rialto,Frutta secca,(fabbriche),211
Pellegrinotti G. e C.,S. Polo 1518,Rialto,Frutta secca,(fabbriche),211
"Pellegrinotti Mario (ditta), Soc. a.r.l.",Cannaregio 6025,Rialto,Frutta secca,(fabbriche),211
Pavanello e Bottecchia,Dorsoduro 1318,Rialto,Frutta secca,(fabbriche),211
Salvato e Amato,Dorsoduro 1268,Rialto,Frutta secca,(fabbriche),211
Scarpa Luigia,Castello 2677,Rialto,Frutta secca,(fabbriche),211
Tonini Galdino,S. Marco 4539-A,Rialto,Frutta secca,(fabbriche),211
Tortato Giovani,S. Marco 4539-A,Burano Cavallino Ghetto,Frutta secca,(fabbriche),211
Vianello Giovanni-Antonio,S. Marco 50-a,Rialto,Frutta secca,(fabbriche),211
Acerbi Vincenzo Succ. Umberto Mello e C.,S. Polo 196,Rialto,Frutta e verdura GROSSISTI,(fabbriche),211
Bahbayantz Karapet,Lido Viale Enrico Dandolo 238,Lido,Frutta e verdura GROSSISTI,(fabbriche),211
Bergamo Egidio,S. Polo 993,Rialto,Frutta e verdura GROSSISTI,(fabbriche),211
Boscolo Guido,Via Olivi 13,Mestre,Frutta e verdura GROSSISTI,(fabbriche),211
Bozzato Agnuto,S. Polo Mercato Rialto,Rialto,Frutta e verdura GROSSISTI,(fabbriche),211
Buscemi Francesco,S. Polo 1196,Rialto,Frutta e verdura GROSSISTI,(fabbriche),211
Ceschin Gino,S. Polo 515,Rialto,Frutta e verdura GROSSISTI,(fabbriche),211
Congregazione Armena Mechitaristi,S. Polo 187,Rialto,Frutta e verdura GROSSISTI,(fabbriche),211
Conti Pietro,Cannaregio 2203,Rialto,Frutta e verdura GROSSISTI,(fabbriche),211
De Min Achille,S. Polo 129,Rialto,Frutta e verdura GROSSISTI,(fabbriche),211
De Martino Valentino,S. Polo 127,Rialto,Frutta e verdura GROSSISTI,(fabbriche),211
De Roni Gino e Zoraro,S. Polo 120-144,Rialto,Frutta e verdura GROSSISTI,(fabbriche),211
Fagarazzi Mello Angelina,Rialto 203,Rialto,Frutta e verdura GROSSISTI,(fabbriche),211
Finocchiaro Francesco e C.,Cannaregio 514,Rialto,Frutta e verdura GROSSISTI,(fabbriche),211
Fiorin Pietro,S. Polo 707,Rialto,Frutta e verdura GROSSISTI,(fabbriche),211
Fontana Ettore,Castello 6655,Rialto,Frutta e verdura GROSSISTI,(fabbriche),211
Gambra Carlo,Castello 6655,Rialto,Frutta e verdura GROSSISTI,(fabbriche),211
Gorini Giovanni,S. Polo posteggio 21,Rialto,Frutta e verdura GROSSISTI,(fabbriche),211
Guadalupe Cosimo,S. Polo 122,Rialto,Frutta e verdura GROSSISTI,(fabbriche),211
Iucardaro dr. Attilio,S. Marco 3831,Rialto,Frutta e verdura GROSSISTI,(fabbriche),211
La Castellana Soc. per A.,S. Marco 2215,Rialto,Frutta e verdura GROSSISTI,(fabbriche),211
Lazzarini Giuseppe,"S. Marco 2215, Cavallino 3",Rialto,Frutta e verdura GROSSISTI,(fabbriche),211
Lizzo Giovanni,S. Polo 2001,Rialto,Frutta e verdura GROSSISTI,(fabbriche),211
Moro Aldo,Via Olivi 13,Mestre,Frutta e verdura GROSSISTI,(fabbriche),211
Nadin Amedeo,S. Polo 139,Rialto,Frutta e verdura GROSSISTI,(fabbriche),211
Orticola S. A.,S. Polo 142,Rialto,Frutta e verdura GROSSISTI,(fabbriche),211
Pacchiani Pietro,S. Polo 143,Rialto,Frutta e verdura GROSSISTI,(fabbriche),211
