Name,Address,Location,Role,Profession,Additional Info,page
Trentlnaglia Maestro Erardo,Campo S. Fantin,Ca’ D'Oro,Sopraintendente,ACCADEMIA di Belle Arti e Liceo Artistico,biblioteche e musei,80
Luigl Ferron1,Campo S. Fantin,Ca’ D'Oro,Segretario Generale,ACCADEMIA di Belle Arti e Liceo Artistico,biblioteche e musei,80
Cessi Prof,Riva del sette Martiri,Ca’ D'Oro,ISTITUTO PER GLI STUDI ADRIATICI,Commissario,Roberto,80
Marangoni org. uff. ing. Luigi,"S. Simeone Piccolo, 75;.4.","ex Chiesa S, Basso",Direttore,Comitato di Venezia,biblioteche e musei,80
Piccoli prof. Gio Batta,"S. Simeone Piccolo, 75;.4.","ex Chiesa S, Basso",Assistente,Comitato di Venezia,biblioteche e musei,80
Forlall ing. comm. Ferdinando,Palazzo Ducale,"ex Chiesa S, Basso",Soprintendente,Comitato di Venezia,biblioteche e musei,80
Valeri d1‘. prof. Diego,Palazzo Ducale,"ex Chiesa S, Basso",O. nei Licei Ginasio,Comitato di Venezia,biblioteche e musei,80
Quartn comm,Palazzo Ducale,"ex Chiesa S, Basso",SOPRINTENDENZA AI MONUMENTI MEDIOEVALI E MODERNI DEL VENETO ORIENTALE,Capo Divisione,Antonio,80
Bragion cart. uff. Franco,Palazzo Ducale,"ex Chiesa S, Basso",Economo,Comitato di Venezia,biblioteche e musei,80
Socal l’lmberto,Palazzo Ducale,"ex Chiesa S, Basso",Archivista,Comitato di Venezia,biblioteche e musei,80
Socal Elena,Palazzo Ducale,"ex Chiesa S, Basso",Contabile,Comitato di Venezia,biblioteche e musei,80
Nardo Antonio,Palazzo Ducale,"ex Chiesa S, Basso",Primo restauratore,Comitato di Venezia,biblioteche e musei,80
De Faverl Davide,Palazzo Ducale,"ex Chiesa S, Basso",Restauratore,Comitato di Venezia,biblioteche e musei,80
Vecch1 prof. Alessandro,Palazzo Ducale,"ex Chiesa S, Basso",Disegnatore,Comitato di Venezia,biblioteche e musei,80
Poloni Giovanni,Palazzo Ducale,"ex Chiesa S, Basso",Disegnatore,Comitato di Venezia,biblioteche e musei,80
Caprioli Giovanni,Palazzo Ducale,"ex Chiesa S, Basso",Fotografo,Comitato di Venezia,biblioteche e musei,80
Senigaglia Romano,Palazzo Ducale,"ex Chiesa S, Basso",Assistente,Comitato di Venezia,biblioteche e musei,80
Bastianello Romano,Palazzo Ducale,"ex Chiesa S, Basso",Assistente,Comitato di Venezia,biblioteche e musei,80
Cattelan Emilio,Palazzo Ducale,"ex Chiesa S, Basso",Custode,Comitato di Venezia,biblioteche e musei,80
De Nicola don Arsenio,Chiesa di S. Giorgio Maggiore in Isola,"ex Chiesa S, Basso",Rettore,custode,biblioteche e musei,80
Tagliapiera don 613n§ppe Francesco ,"Chiesa di S. Giorgio Maggiore in Isola, Basilica di 3. Maria Assunta C chiesa di S. Fosca (Torcello)","ex Chiesa S, Basso",SOPRINTENDENZA AI MONUMENTI MEDIOEVALI E MODERNI DEL VENETO ORIENTALE,stode.,biblioteche e musei,80
Moschini cav. dr. Vittorio,"Chiesa di S. Giorgio Maggiore in Isola, Basilica di 3. Maria Assunta C chiesa di S. Fosca (Torcello)",presso le gallerie,Sovraintendente,Comitato di Venezia,biblioteche e musei,80
Moschin cav. dr. Vittorio,"Chiesa di S. Giorgio Maggiore in Isola, Basilica di 3. Maria Assunta C chiesa di S. Fosca (Torcello)",presso le gallerie,Membri,Comitato di Venezia,biblioteche e musei,80
Pagan cav. Angelo,"Chiesa di S. Giorgio Maggiore in Isola, Basilica di 3. Maria Assunta C chiesa di S. Fosca (Torcello)",presso le gallerie,Membri,Comitato di Venezia,biblioteche e musei,80
