Name,Address,Location,Role,Profession,page
Segati dr. Giuseppe,Rialto numero 199,Palazzo Camera di Commercio,Procuratore Generale ff.,PROCURA GENERALE PRESSO LA CORTE D'APPELLO DI VENEZIA,55
Prospero dr. Giuseppe,Rialto numero 199,Palazzo Camera di Commercio,Sostituto Procuratore Generale,PROCURA GENERALE PRESSO LA CORTE D'APPELLO DI VENEZIA,55
Sommella dr. Armando,Rialto numero 199,Palazzo Camera di Commercio,Sostituto Procuratore Generale,PROCURA GENERALE PRESSO LA CORTE D'APPELLO DI VENEZIA,55
Berni­covich dr. Antonio,Rialto numero 199,Palazzo Camera di Commercio,Sostituto Procuratore Generale,PROCURA GENERALE PRESSO LA CORTE D'APPELLO DI VENEZIA,55
Zuppello dr. Antonio,Rialto numero 199,Palazzo Camera di Commercio,Sostituto Procuratore Generale,PROCURA GENERALE PRESSO LA CORTE D'APPELLO DI VENEZIA,55
Dall'Alba Ugo,Rialto numero 199,Palazzo Camera di Commercio,ff. Segretario Capo,Funzionari di Segreteria,55
Piovesan Giuseppe,Rialto numero 199,Palazzo Camera di Commercio,Segretario di sezione,PROCURA GENERALE PRESSO LA CORTE D'APPELLO DI VENEZIA,55
Piccaguido Mario,Rialto numero 199,Palazzo Camera di Commercio,Segretario di sezione,PROCURA GENERALE PRESSO LA CORTE D'APPELLO DI VENEZIA,55
Perez Giuseppe,Rialto numero 199,Palazzo Camera di Commercio,Segretario di sezione,PROCURA GENERALE PRESSO LA CORTE D'APPELLO DI VENEZIA,55
Pisani Vitto,Rialto numero 199,Palazzo Camera di Commercio,primo segretario,PROCURA GENERALE PRESSO LA CORTE D'APPELLO DI VENEZIA,55
Avoni Silvio,Rialto numero 199,Palazzo Camera di Commercio,cancell. capo a riposo," riassunto ff. segretario, ",55
Ceoclin Giorgio,Rialto numero 199,Palazzo Camera di Commercio,segretario avventizio,PROCURA GENERALE PRESSO LA CORTE D'APPELLO DI VENEZIA,55
N. N.,"Rialto numero 199, Campo Cesare Battisti 186",,Sost. Procuratore Generale di Cassazione in funzione di Procuratore,PROCURA DELLA REPUBBLICA,55
Gar­buglio cav. Uff. dr. Ferdinando,Castello 5182,Sost. Procuratore Generale di Appello in funzione di Procuratore aggiunto,CORTI D’ASSISE,PROCURA DELLA REPUBBLICA,55
Grisolera Comm. dr. Enrico,S. Marco 2546,Sostituto Procuratore,CORTI D’ASSISE,PROCURA DELLA REPUBBLICA,55
Bernabei cav dr. Gino,Dorsoduro 3881,Sostituto Procuratore,CORTI D’ASSISE,PROCURA DELLA REPUBBLICA,55
Pace dr. Pietro,Castello 4844,Sostituto Procuratore,CORTI D’ASSISE,PROCURA DELLA REPUBBLICA,55
Carnesecchi dr. Ferdinando,"Cannaregio, 3709",,Sostituto Procuratore,PROCURA DELLA REPUBBLICA,55
Vasta cav. dr. Giuseppe,S. Marco 1921,Segretario Capo,CORTI D’ASSISE,PROCURA DELLA REPUBBLICA,55
Di Caprioaccio or Ar­ dquino,S. Marco 1921,,Segretario di Sezione,PROCURA DELLA REPUBBLICA,55
Odo dr. Calogero,San Marco 3206,Segretario di prima classe,CORTI D’ASSISE,PROCURA DELLA REPUBBLICA,55
Caserti dr. Felice,S. Polo numero 758,Segretario di prima classe,CORTI D’ASSISE,PROCURA DELLA REPUBBLICA,55
Polichecchio Fran­cesco,Cannaregio 5251,Segretario di seconda classe,CORTI D’ASSISE,PROCURA DELLA REPUBBLICA,55
Murica Alfredo,S. Croce 2042,Segretario di seconda classe,CORTI D’ASSISE,PROCURA DELLA REPUBBLICA,55
Ingala Francesco Vincenzo,Castello 4941,Segretario di seconda classe,CORTI D’ASSISE,PROCURA DELLA REPUBBLICA,55
Gasparini Aldo,S. Marco 4581,Impiegato di Segreteria,CORTI D’ASSISE,PROCURA DELLA REPUBBLICA,55
Salvati Vincenzo,Dorsoduro 5098,Impiegato di Segreteria,CORTI D’ASSISE,PROCURA DELLA REPUBBLICA,55
Bonfa Antonio,Rialto 186,Uscieri Giudiziari,CORTI D’ASSISE,PROCURA DELLA REPUBBLICA,55
Ferigo Angelo,S. Marco 4041,Uscieri Giudiziari,CORTI D’ASSISE,PROCURA DELLA REPUBBLICA,55
Triviello Oreste,S. Marco 2812,Agente di Pubblica Sicurezza,CORTI D’ASSISE,PROCURA DELLA REPUBBLICA,55
Garbuglio cav. uff. dr. Ferdinando,S. Marco 2812,,Presidente,PROCURA DELLA REPUBBLICA,55
Vasta cav. dr. Giuseppe,S. Marco 2812,,Segretario Capo,PROCURA DELLA REPUBBLICA,55
Migliardi Comm,S. Marco 2812,,CONSIGLIO DI PATRONATO PER I LIBERATI DAL CARCERE,"Membro, ",55
Rapolla cav. uff. Dr. Nicola,S. Marco 2812,,Membro,PROCURA DELLA REPUBBLICA,55
Bassi cav. uff. dr. Giuseppe,S. Marco 2812,,Membro,PROCURA DELLA REPUBBLICA,55
Fadda cav. dr. Alessandro,S. Marco 2812,,Membro,PROCURA DELLA REPUBBLICA,55
Gurione cav,S. Marco 2812,,CONSIGLIO DI PATRONATO PER I LIBERATI DAL CARCERE,"Membro, ",55
Gianquinto avv. Giovanni Battista,S. Marco 2812,,Membro,PROCURA DELLA REPUBBLICA,55
Pierascca cav. Iginio,S. Marco 2812,,Membro,PROCURA DELLA REPUBBLICA,55
Trevis­san Co. avv. Giuseppe,S. Marco 2812,,Membro,PROCURA DELLA REPUBBLICA,55
Marangoni Avv. Giorgio,S. Marco 2812,,Membro,PROCURA DELLA REPUBBLICA,55
Fumato Sig.ra Emma,S. Marco 2812,,Membro,PROCURA DELLA REPUBBLICA,55
Masotti avv. Costantino,S. Marco 2812,,Membro,PROCURA DELLA REPUBBLICA,55
Gasparni cav. Francesco,S. Marco 2812,,Membro,PROCURA DELLA REPUBBLICA,55
Collussi dr. Gino,S. Marco 2812,,Membro,PROCURA DELLA REPUBBLICA,55
Ferigo Angelo,S. Marco 2812,,Tässiere,PROCURA DELLA REPUBBLICA,55
Capotito dr. Manlio,Rialto numero 199,,Presidente,PROCURA DELLA REPUBBLICA,55
Bruna dr. Gustavo,Rialto numero 199,,Presidente di Sezione,PROCURA DELLA REPUBBLICA,55
Rapolla dr. Nicola,Rialto numero 199,,Presidente di Sezione,PROCURA DELLA REPUBBLICA,55
Scandullari dr. Mario,Rialto numero 199,,Giudice,Sezione I. Civile,55
Miele dr. Almerico,Rialto numero 199,,Giudice,Sezione I. Civile,55
Minoi dr. Efrem,Rialto numero 199,,Giudice,Sezione I. Civile,55
Finocchiaro dr. Pietro,Rialto numero 199,,Giudice,Sezione I. Civile,55
La Monaca dr. Giuseppe,Rialto numero 199,,Giudice,Sezione I. Civile,55
Cainesecchi dr. Gianfranco,Rialto numero 199,,Giudice,Sezione I. Civile,55
Accorra dr. Manfredi,Rialto numero 199,,Giudice,Sezione Seconda Promiscu,55
Folchi dr. Giuseppino,Rialto numero 199,,Giudice,Sezione Seconda Promiscu,55
Salemo dr. Francesco,Rialto numero 199,,Giudice,Sezione Seconda Promiscu,55
Vasari dr. Andrea,Rialto numero 199,,Giudice,Sezione Seconda Promiscu,55
Buchi dr. Antonio,Rialto numero 199,,Giudice,Giudici terza sezione Penale,55
Maroczi dr. Enrico,Rialto numero 199,,Giudice,Giudici terza sezione Penale,55
Baratro dr. Giovanni,Rialto numero 199,,Giudice,Giudici terza sezione Penale,55
Palminteri: dr. Cesare,Rialto numero 199,,Giudice,Giudici terza sezione Penale,55
Migliardi dr. Giovanni,Rialto numero 199,,Consigliere,Ufficio Istruzione,55
Cant dr. Luigi,Rialto numero 199,,Giudice Istruttore,Ufficio Istruzione,55
Zen dr. Augusto,Rialto numero 199,,Giudice Istruttore e Giudice di Sorveglianza,Ufficio Istruzione,55
Mautro dr. Pio,Rialto numero 199,,Giudice Istruttore,Ufficio Istruzione,55
Jacona Salvatore,Rialto numero 199,,Cancelliere Capo,Cancellieri,55
Piu to Costantino,Rialto numero 199,,Cancelliere di Sezione,Cancellieri,55
Bruccoliir Piet-ro,Rialto numero 199,,Cancelliere di Sezione,Cancellieri,55
Testafferata Vincenzo L.,Rialto numero 199,,Cancellie­re,Cancellieri,55
De Vito Nicolo,Rialto numero 199,,Cancellie­re,Cancellieri,55
Lionti Lido,Rialto numero 199,,Cancellie­re,Cancellieri,55
Luccoli Sigfrido,Rialto numero 199,,Can,Cancellieri,55
