Name,Role,Address,Location,Profession,Additional Info,page
Volpato cav. dott. Guerrino,Collettore dirigente,S. Angelo,"P. II""",CIMITERI COMUNALI,",",50
Ponti Giovanni,Consigliere Comunale,S. Angelo,"P. II""",CIMITERI COMUNALI,",",50
Lizier Pietro,Consigliere Comunale,S. Angelo,"P. II""",CIMITERI COMUNALI,",",50
Gatto Eugenio,Consigliere Comunale,S. Angelo,"P. II""",CIMITERI COMUNALI,",",50
Tommasini Raffaele,Consigliere Comunale,S. Angelo,"P. II""",CIMITERI COMUNALI,",",50
Candiani Antonio,Consigliere Comunale,S. Angelo,"P. II""",CIMITERI COMUNALI,",",50
Spanio Angelo,Consigliere Comunale,S. Angelo,"P. II""",CIMITERI COMUNALI,",",50
Grandesso Michele,Consigliere Comunale,S. Angelo,"P. II""",CIMITERI COMUNALI,",",50
Zenoni Pietro Rosa,Consigliere Comunale,S. Angelo,"P. II""",CIMITERI COMUNALI,",",50
Zuliani Giovanni,Consigliere Comunale,S. Angelo,"P. II""",CIMITERI COMUNALI,",",50
Zecchini Luigi,Consigliere Comunale,S. Angelo,"P. II""",CIMITERI COMUNALI,",",50
Pavannini Giovanni,Consigliere Comunale,S. Angelo,"P. II""",CIMITERI COMUNALI,",",50
Spinola Romano,Consigliere Comunale,S. Angelo,"P. II""",CIMITERI COMUNALI,",",50
Regazzo Arturo,Consigliere Comunale,S. Angelo,"P. II""",CIMITERI COMUNALI,",",50
Petragnoli Pio,Consigliere Comunale,S. Angelo,"P. II""",CIMITERI COMUNALI,",",50
Santi Maria,Consigliere Comunale,S. Angelo,"P. II""",CIMITERI COMUNALI,",",50
De Piante Giovanni,Consigliere Comunale,S. Angelo,"P. II""",CIMITERI COMUNALI,",",50
D'Este Ida,Consigliere Comunale,S. Angelo,"P. II""",CIMITERI COMUNALI,",",50
Arata Luigi,Consigliere Comunale,S. Angelo,"P. II""",CIMITERI COMUNALI,",",50
Nordio Emilia,Consigliere Comunale,S. Angelo,"P. II""",CIMITERI COMUNALI,",",50
Ferro Giuliano,Consigliere Comunale,S. Angelo,"P. II""",CIMITERI COMUNALI,",",50
Leonardi Pietro,Consigliere Comunale,S. Angelo,"P. II""",CIMITERI COMUNALI,",",50
Gherizza Ferdinando,Consigliere Comunale,S. Angelo,"P. II""",CIMITERI COMUNALI,",",50
Sabbadin Luigi,Consigliere Comunale,S. Angelo,"P. II""",CIMITERI COMUNALI,",",50
Mezzalira Anita,Consigliere Comunale,S. Angelo,"P. II""",CIMITERI COMUNALI,",",50
Borin Ignio,Consigliere Comunale,S. Angelo,"P. II""",CIMITERI COMUNALI,",",50
Orlandini Adolfo,Consigliere Comunale,S. Angelo,"P. II""",CIMITERI COMUNALI,",",50
Pellissato Pietro,Consigliere Comunale,S. Angelo,"P. II""",CIMITERI COMUNALI,",",50
Oliviero Carlo,Consigliere Comunale,S. Angelo,"P. II""",CIMITERI COMUNALI,",",50
Gaddi Giuseppe,Consigliere Comunale,S. Angelo,"P. II""",CIMITERI COMUNALI,",",50
Moressa Leone,Consigliere Comunale,S. Angelo,"P. II""",CIMITERI COMUNALI,",",50
Braico vich Lucia,Consigliere Comunale,S. Angelo,"P. II""",CIMITERI COMUNALI,",",50
Ermola Angelo,Consigliere Comunale,S. Angelo,"P. II""",CIMITERI COMUNALI,",",50
Sonzogno Nino,Consigliere Comunale,S. Angelo,"P. II""",CIMITERI COMUNALI,",",50
Riva Serafino,Consigliere Comunale,S. Angelo,"P. II""",CIMITERI COMUNALI,",",50
De Filippi Tito,Consigliere Comunale,S. Angelo,"P. II""",CIMITERI COMUNALI,",",50
Guadagnin Giuseppe,Consigliere Comunale,S. Angelo,"P. II""",CIMITERI COMUNALI,",",50
Sivo li Giuseppe,Consigliere Comunale,S. Angelo,"P. II""",CIMITERI COMUNALI,",",50
Turcato Giuseppe,Consigliere Comunale,S. Angelo,"P. II""",CIMITERI COMUNALI,",",50
De Bei Umberto,Consigliere Comunale,S. Angelo,"P. II""",CIMITERI COMUNALI,",",50
Tonetti Giovanni,Consigliere Comunale,S. Angelo,"P. II""",CIMITERI COMUNALI,",",50
Vespignani Arcangelo,Consigliere Comunale,S. Angelo,"P. II""",CIMITERI COMUNALI,",",50
Vallenari Ugo,Consigliere Comunale,S. Angelo,"P. II""",CIMITERI COMUNALI,",",50
Vecchi Giuseppe,Consigliere Comunale,S. Angelo,"P. II""",CIMITERI COMUNALI,",",50
Zille Ester,Consigliere Comunale,S. Angelo,"P. II""",CIMITERI COMUNALI,",",50
Crosara Carlo,Consigliere Comunale,S. Angelo,"P. II""",CIMITERI COMUNALI,",",50
Beccari Antonio,Consigliere Comunale,S. Angelo,"P. II""",CIMITERI COMUNALI,",",50
Ball'Osso Dante,Consigliere Comunale,S. Angelo,"P. II""",CIMITERI COMUNALI,",",50
Barbini Arturo,Consigliere Comunale,S. Angelo,"P. II""",CIMITERI COMUNALI,",",50
Marterra Ferruccio,Consigliere Comunale,S. Angelo,"P. II""",CIMITERI COMUNALI,",",50
Izzo Carlo,Consigliere Comunale,S. Angelo,"P. II""",CIMITERI COMUNALI,",",50
De Grandi Romeo,Consigliere Comunale,S. Angelo,"P. II""",CIMITERI COMUNALI,",",50
Rotelli Ugo,Consigliere Comunale,S. Angelo,"P. II""",CIMITERI COMUNALI,",",50
Gavagnin Armando,Consigliere Comunale,S. Angelo,"P. II""",CIMITERI COMUNALI,",",50
Luzzato Gino,Consigliere Comunale,S. Angelo,"P. II""",CIMITERI COMUNALI,",",50
Contursi Luis i Gaetano,Consigliere Comunale,S. Angelo,"P. II""",CIMITERI COMUNALI,",",50
Viola di Campalto Guido,Consigliere Comunale,S. Angelo,"P. II""",CIMITERI COMUNALI,",",50
Marcello Alessandro,Consigliere Comunale,S. Angelo,"P. II""",CIMITERI COMUNALI,",",50
Fio rese cav. uff. Gaetano,Direttore,S. Silvestro Riva del Vin 1098,"P. II""",CIMITERI COMUNALI,",",50
Parocco Giulio,Segretario,S. Silvestro Riva del Vin 1098,"P. II""",CIMITERI COMUNALI,",",50
Toscan rag. Luigi,Ragioniere,S. Silvestro Riva del Vin 1098,"P. II""",CIMITERI COMUNALI,",",50
Zanetti Federico,Ispettore Contabile,S. Silvestro Riva del Vin 1098,"P. II""",CIMITERI COMUNALI,",",50
Camazzo Gino,Cassiere,S. Silvestro Riva del Vin 1098,"P. II""",CIMITERI COMUNALI,",",50
Jandi Umberto,Ispettore Capo,S. Silvestro Riva del Vin 1098,"P. II""",CIMITERI COMUNALI,",",50
Tempesta Costantino,Vice Ispettore,S. Silvestro Riva del Vin 1098,"P. II""",CIMITERI COMUNALI,",",50
Asper ti comm. rag. Pietro,Direttore,S. Silvestro Riva del Vin 1098,S. Angelo,CIMITERI COMUNALI,",",50
Giovanni Vianello,Vice Direttore,S. Silvestro Riva del Vin 1098,"P. II""",CIMITERI COMUNALI,",",50
Dr. Ing. Emunele Bonzio,Direttore Amministrativo,S. Silvestro Riva del Vin 1098,"P. II""",CIMITERI COMUNALI,",",50
Fattovich Dr. Silvio,V. Direttore Tecnico,S. Silvestro Riva del Vin 1098,"P. II""",CIMITERI COMUNALI,",",50
Iofoco cap. cav. Attilio,Capo movimento,S. Silvestro Riva del Vin 1098,"P. II""",CIMITERI COMUNALI,",",50
Dr. Ing. Luigi Canal,Capo Cantiere,S. Silvestro Riva del Vin 1098,"P. II""",CIMITERI COMUNALI,",",50
