Name,Address,Location,Category,Additional Info,page
Bortoli Comm. Ettore,"San Marco Ponte del Lovo, 4773",S. Marco,Articoli di Lusso,"Sopramobili d’arte, Maioliche, Porcellane, Vetri di Murano, Cristallerie, Mobili bar, Argenterie, Posate, Articoli per signora, Bijoutterie, Pelletterie, Articoli casalinghi di lusso, Negozi: Casa del Regalo, S. Marco, Calle Goldoni 4480 Telefono 24.976; Articoli di lusso per regali, Piazza S. Marco 91 Telefono 28.293; Casa Lucente, Lido di Venezia, Viale S. Maria Elisabetta 31 Telefono 60657.",148
Casa Nova S. A.,Via XXII Marzo 2288,Mestre,Articoli di Lusso,"Mobili, Oggetti, Tessuti D’Arte originali e inediti, Tel. 25.889.",148
Testolini Adelchi,S. Marco 1547,Mestre,Articoli di Pittura e Disegno,PELLESTRINA,148
Bizzarini A. G.,Castello 6378 A,Mestre,Articoli Sanitari e Affini,articoli di ingegneria sanitaria,148
Bottacin Angelo,Castello 5821,Mestre,Articoli Sanitari e Affini,PELLESTRINA,148
Brighenti Renato,"S. Marco, Spadaria, 613",Mestre,Articoli Sanitari e Affini,"Negozi di vendita, Tel. 25-599; Spadaria, 685, Telefono 25-599; Frezzeria, 1584, Telefono 33-475.",148
Fanello Adolfo di Fanello rag. Mario,Ponte della Guerra 5386-79,Mestre,Articoli Sanitari e Affini,"Idraulica, Gas, Piastrelle, Metalli, Telefono 24-531.",148
Fazzini Paolo,S. Polo 1723,Mestre,Articoli Sanitari e Affini,PELLESTRINA,148
Muerr Alessandro,S. Marco 4923,Mestre,Articoli Sanitari e Affini,PELLESTRINA,148
Regini F.lli,Cannaregio 3683-4,Mestre,Articoli Sanitari e Affini,PELLESTRINA,148
Regini F.lli,Castello 5615,Mestre,Articoli Sanitari e Affini,PELLESTRINA,148
Safem Albania,Castello 5836,Mestre,Articoli Sanitari e Affini,PELLESTRINA,148
Società Adriatica Medicinali S.A.M.,Cannaregio 6125,Mestre,Articoli Sanitari e Affini,articoli di medicazioni,148
S. A. Farmacia d’Italia,Cannaregio 3823 A,Mestre,Articoli Sanitari e Affini,compravendita articoli Farmaceutici e sanitari,148
Marforio Bartolomeo di Nino Biuci,"San Marco, 5029-5036",Mestre,Articoli Sportivi,PELLESTRINA,148
Pettinelli e Sport,S. Salvatore n. 5028,Mestre,Articoli Sportivi,articoli per tutti gli Sport,148
Vogini Luigi di Minetta Righini,S. Marco 1297-1301,Mestre,Articoli Sportivi,PELLESTRINA,148
Bottacin Angelo,Castello 5821,Mestre,Articoli Tecnici,PELLESTRINA,148
Gincica Vincenzo e C.,S. Polo 896,Mestre,Articoli Tecnici,PELLESTRINA,148
Magliaretta Ruggero,Cannaregio 2940 F,Mestre,Articoli Tecnici,PELLESTRINA,148
Moschini Vittorio,Campo S. Zaccaria,Mestre,Articoli Tecnici,PELLESTRINA,148
Vittorio Moschini,Campo S. Zaccaria,Mestre,Articoli Tecnici,"ABRASIVI per tutte le industrie, LEGHE ANTIFRIZIONE originali 'ATRIPSIS,' DEPOSITO, Telef. 26.562 e 21.201",148
Ratti Enrico,Castello 5381,Mestre,Articoli Tecnici,PELLESTRINA,148
Regini F.lli,Castello 5381,Mestre,Articoli Tecnici,"Amianti gomma e fibra, S. Lio, Ponte A. Tintoretto, Tel. 23-836.",148
S. A. F. E. M. Soc. per Az.,Castello 5836,Mestre,Articoli Tecnici,PELLESTRINA,148
Toppo Adriano,Castello 2684,Mestre,Articoli Tecnici,"Addizionatrici, Calcolatrici, Macchine Contabili, Agricole, Utensili, Enologiche, da Scrivers, Tel. 23-285.",148
Trevisiol Carlo Soc. a r. l.,Pisoina S. Zulian 555.556,Mestre,Articoli Tecnici,"Ferramenta, Utensileria, Articoli casalinghi, Tel. 24-250.",148
Barbon Rino,Via F.lli Bandiera 20,Mestre,Mestre,PELLESTRINA,148
Ferat,Via Circonvallazione 2 F,Mestre,Mestre,PELLESTRINA,148
Saccà Edoardo,"Uffici Via Carducci, 78, Magazzino, Via Carducci, 8",Mestre,"Macchine utensili ed utensileria, Apparecchi ad albero flessibile per tutte le industrie, Telefono, 50-059.",PELLESTRINA,148
