Name,Address,Location,Role,Profession,page
dott. Aldo Rocchi,S. Barnaba - Calle Giustinian,,Segretario,ISPET. COMPARTIMENTALE AGRARIO,66
col. Colombo Calzolari,Campo S. Stefano - Palazzo Franchetti,,Presidente,ISPET. COMPARTIMENTALE AGRARIO,66
dr. Amelio Cipelli,Campo S. Stefano - Palazzo Franchetti,,Direttore,ISPET. COMPARTIMENTALE AGRARIO,66
dr. Alessandro Parodi,S. Giovanni Crisostomo - Calle Ciorvan,,Direttore,ISPET. COMPARTIMENTALE AGRARIO,66
dr. Giorgio Ranfini,S. Giovanni Crisostomo - Calle Ciorvan,,Vice direttore,ISPET. COMPARTIMENTALE AGRARIO,66
drr. Antonio Matteazzi,S. Marcuola - Palazzo Mandelli,,Direttore,ISPET. COMPARTIMENTALE AGRARIO,66
dott. Cesare Toscani,Castello 5273,,Direttore,ISPET. COMPARTIMENTALE AGRARIO,66
dr. Vittorio Andreaus,S. Marcuola 2040 - Pal. Vendramin Calergi,,Segretario Generale,ISPET. COMPARTIMENTALE AGRARIO,66
dr. Mario Forti,S. Marcuola 2040 - Pal. Vendramin Calergi,,Presidente,ISPET. COMPARTIMENTALE AGRARIO,66
dott. Dino Stefani,S. Marcuola 2040 - Pal. Vendramin Calergi,,Segretario Generale,ISPET. COMPARTIMENTALE AGRARIO,66
Comm. dr. inf. Rinaldo Colombo,S. Marcuola 2040 - Pal. Vendramin Calergi,,Presidente,ISPET. COMPARTIMENTALE AGRARIO,66
cav. uff. Giulio Bocconili,S. Marcuola 2040 - Pal. Vendramin Calergi,,Segretario,ISPET. COMPARTIMENTALE AGRARIO,66
dr. Mario Galli,S. Luca 4590,,Segretario,ISPET. COMPARTIMENTALE AGRARIO,66
Erreg ing. Mario,Campo S. Stefano,,Presidente,",",66
Sperl ing. Mario,Campo S. Stefano,,Vice Presidente,",",66
Ambrosini ing. Pietro,Campo S. Stefano,,Membro,",",66
Braida gr. Uff. Nicola,Campo S. Stefano,,Membro,",",66
Cottica avv. Alberto,Campo S. Stefano,,Membro,",",66
Ghetti ing. Ottaviano,Campo S. Stefano,,Membro,",",66
Maurodini rag. Mario,Campo S. Stefano,,Membro,",",66
Gandini ing. Giorgio,Campo S. Stefano,,Membro,",",66
Nardo ing. Flavio,Campo S. Stefano,,Membro,",",66
Queo-Car. Antonio,Campo S. Stefano,,Membro,",",66
Respi di Cervina ing. Adelodato,Campo S. Stefano,,Membro,",",66
Cristina dr. Giuseppe,Campo S. Stefano,,Direttore,",",66
Giuseppe Scarabellin,S. Luca 4590,,Presidente,",",66
Prof. Antonio Pesenti,S. Luca 4590,,Presidente,",",66
Fontana Armando,S. Luca - Calle Bembo,,Presidente,",",66
Ratti Dr. Donato,S. Luca - Calle Bembo,,V. Presidente,",",66
Bettiello Comm. Antonio,S. Luca - Calle Bembo,,V. Presidente,",",66
Accorsi Aldo,S. Luca - Calle Bembo,,Consigliere,",",66
Alverà dr. Luigi,S. Luca - Calle Bembo,,Consigliere,",",66
Caleffi Marcell.,S. Luca - Calle Bembo,,Consigliere,",",66
Cappellin Manlio,S. Luca - Calle Bembo,,Consigliere,",",66
Friedenberg dr. Mario,S. Luca - Calle Bembo,,Consigliere,",",66
Gaggio Riccardo,S. Luca - Calle Bembo,,Consigliere,Cassiere-Economi,66
Lunetti Giulio,S. Luca - Calle Bembo,,Consigliere,",",66
Pelizzari Luigi,S. Luca - Calle Bembo,,Consigliere,",",66
Penzen ing. Felice,S. Luca - Calle Bembo,,Consigliere,",",66
Testolini dr. Adelchi,S. Luca - Calle Bembo,,Consigliere,",",66
Da Molin rag. Domenico,S. Luca - Calle Bembo,,Revisore dei conti,",",66
Franchi dr. Mario,S. Luca - Calle Bembo,,Revisore dei conti,",",66
Zavanigo cav. Aurel,S. Luca - Calle Bembo,Revisore dei conti,Ufficio Provinciale di Venezia,",",66
Lorenzini Leonardo,S. Luca - Calle Bembo,,Segretario,",",66
Del Prà cav. Giacomo,S. Luca - Calle Bembo,,Capi di Gruppo o Categoria,",",66
Montagna Giovanni,S. Luca - Calle Bembo,,Capi di Gruppo o Categoria,",",66
Fedel Egidio,S. Luca - Calle Bembo,,Capi di Gruppo o Categoria,",",66
Caplin Manlio,S. Luca - Calle Bembo,,Capi di Gruppo o Categoria,",",66
Pelizzari Luigi,S. Luca - Calle Bembo,,Capi di Gruppo o Categoria,",",66
Barbasio Bruno,S. Luca - Calle Bembo,,Capi di Gruppo o Categoria,",",66
Falcer Bruno,S. Luca - Calle Bembo,,Capi di Gruppo o Categoria,",",66
Pettinelli Orazio,S. Luca - Calle Bembo,,Capi di Gruppo o Categoria,",",66
Accorsi Aldo,S. Luca - Calle Bembo,,Capi di Gruppo o Categoria,",",66
Lunetti Giulio,S. Luca - Calle Bembo,,Capi di Gruppo o Categoria,",",66
Testolini dr. Adelchi,S. Luca - Calle Bembo,,Capi di Gruppo o Categoria,",",66
Alfieri Vittorio,S. Luca - Calle Bembo,,Capi di Gruppo o Categoria,",",66
Gaggio Giovanni,S. Luca - Calle Bembo,,Capi di Gruppo o Categoria,",",66
Genove Franco,S. Luca - Calle Bembo,,Capi di Gruppo o Categoria,",",66
