Provincia,Section,Role_or_Profession,Name,Address,page
NOVENTA DI PIAVE,UFFICI PUBBLICI,Telefono pubblico,Noventa di Piave,,544
NOVENTA DI PIAVE,UFFICI PUBBLICI,Parroci,Rossetto don Giovanni (arciprete),,544
NOVENTA DI PIAVE,UFFICI PUBBLICI,Parroci,Campagner don Angelo,,544
NOVENTA DI PIAVE,UFFICI PUBBLICI,Parroci,Micchiletto don Guerrino (cappellani),,544
NOVENTA DI PIAVE,ISTITUZIONI,"Federaz. Prov. del Commercio. Delegazione di Noventa, Giusto Giovanni", presidente,,544
NOVENTA DI PIAVE,ISTITUZIONI DI BENEFICENZA,Ente Comunale D'Assistenza,Basso Giacinto,,544
NOVENTA DI PIAVE,PROFESSIONISTI,Farmacisti,Pilla Marcello,,544
NOVENTA DI PIAVE,PROFESSIONISTI,Medici,Schiavo Lena dott. Roberto,,544
NOVENTA DI PIAVE,PROFESSIONISTI,Ostetriche,Pervato Antonietta,,544
NOVENTA DI PIAVE,PROFESSIONISTI,Geometra,Buffolo Giuseppe,,544
NOVENTA DI PIAVE,COMMERCIO E INDUSTRIA,Alberghi,Bezzon Maria ved. Zanetti,,544
NOVENTA DI PIAVE,COMMERCIO E INDUSTRIA,Alberghi,Dalla Zorza Domenico,,544
NOVENTA DI PIAVE,COMMERCIO E INDUSTRIA,Alberghi,Franchin Giuseppe,,544
NOVENTA DI PIAVE,COMMERCIO E INDUSTRIA,Alberghi,Perissinotto Agostino,,544
NOVENTA DI PIAVE,COMMERCIO E INDUSTRIA,Alberghi,Pietrogi Emma ved. Sarti,,544
NOVENTA DI PIAVE,COMMERCIO E INDUSTRIA,Articoli casalinghi,Cecino Luigi,,544
NOVENTA DI PIAVE,COMMERCIO E INDUSTRIA,Articoli casalinghi,Pagoto Antonio,,544
NOVENTA DI PIAVE,COMMERCIO E INDUSTRIA,Autoriporre,Ferrari F.lli fu Antonio,,544
NOVENTA DI PIAVE,COMMERCIO E INDUSTRIA,Automobili (Garage e noleggio),Orlando Antonio,,544
NOVENTA DI PIAVE,COMMERCIO E INDUSTRIA,Automobili (Garage e noleggio),Fratelli Ferrari fu Antonio,,544
NOVENTA DI PIAVE,COMMERCIO E INDUSTRIA,Autotrasporti,Pacifici Remo,,544
NOVENTA DI PIAVE,COMMERCIO E INDUSTRIA,Autotrasporti,Pacifico F.lli,,544
NOVENTA DI PIAVE,COMMERCIO E INDUSTRIA,Autotrasporti,Bertoldo Pierolo,,544
NOVENTA DI PIAVE,COMMERCIO E INDUSTRIA,Autotrasporti,Orlando Antonio,,544
NOVENTA DI PIAVE,COMMERCIO E INDUSTRIA,Bande ed ottone, Cecino Luigi (calderai),,544
NOVENTA DI PIAVE,COMMERCIO E INDUSTRIA,Barbieri,Franchin Bruno,,544
NOVENTA DI PIAVE,COMMERCIO E INDUSTRIA,Barbieri,Ferro Bruno,,544
NOVENTA DI PIAVE,COMMERCIO E INDUSTRIA,Barbieri,Sferai Mario,,544
NOVENTA DI PIAVE,COMMERCIO E INDUSTRIA,Barbieri,Rossetto Pietro,,544
NOVENTA DI PIAVE,COMMERCIO E INDUSTRIA,"Bastoni, ombrelli",Sferai Fratelli fu Severo,,544
NOVENTA DI PIAVE,COMMERCIO E INDUSTRIA,Bestiame,Travagin Vittorio,,544
NOVENTA DI PIAVE,COMMERCIO E INDUSTRIA,"Biade, coloniali ed affini",Binculetto Antonio,,544
