Name,Role,Address,Location,Profession,Additional Info,page
Martens cav. uff. rag. Carlo,Deputazione Borsa valori,Fondamenta S. Lorenzo n. 5055,,CIMITERI COMUNALI,",",53
Schiavoni Tullio,Membri effettivi,Fondamenta S. Lorenzo n. 5055,,CIMITERI COMUNALI,",",53
Gianquinto dr. Antonio,Membri effettivi,Fondamenta S. Lorenzo n. 5055,,CIMITERI COMUNALI,",",53
Boschi dr. Giovanni,Membri effettivi,Fondamenta S. Lorenzo n. 5055,,CIMITERI COMUNALI,",",53
Marchetto rag. Virgilio,Membri effettivi,Fondamenta S. Lorenzo n. 5055,,CIMITERI COMUNALI,",",53
Zattera dr. Giovanni,Suppleenti,Fondamenta S. Lorenzo n. 5055,,CIMITERI COMUNALI,",",53
Gianna rag. Giovanni,Suppleenti,Fondamenta S. Lorenzo n. 5055,,CIMITERI COMUNALI,",",53
Dalò Palù dr. Giuseppe,Suppleenti,Fondamenta S. Lorenzo n. 5055,,CIMITERI COMUNALI,",",53
Pellegrinotti cav. dr. Pietro,Presidente,Fondamenta S. Lorenzo n. 5055,,CIMITERI COMUNALI,Commissione del Listino,53
Bevilacqua cav. Giovanni,Commissione del Listino,Fondamenta S. Lorenzo n. 5055,,CIMITERI COMUNALI,",",53
Ghisileri rag. Giorgio,Commissione del Listino,Fondamenta S. Lorenzo n. 5055,,CIMITERI COMUNALI,",",53
Squarzini cav. Alessandro,Commissione del Listino,Fondamenta S. Lorenzo n. 5055,,CIMITERI COMUNALI,",",53
Tamburlini Giuseppe,Commissione del Listino,Fondamenta S. Lorenzo n. 5055,,CIMITERI COMUNALI,",",53
Pr. Ettore Da Molin,Presidente,Fondamenta S. Lorenzo n. 5055,Padova,CIMITERI COMUNALI,",",53
Avv. Gastone Polacco,Segretario,Fondamenta S. Lorenzo n. 5055,,Ruga de Pozzi,",",53
Lardera rag. Ettore,Capo Ufficio,Fondamenta S. Lorenzo n. 5055,,Palazzo Camera di Commercio,",",53
Gambarin prof. Giovanni,Commissario Straordinario,Via XXI I Marzo n. 2032,,Palazzo Camera di Commercio,",",53
Martigniioni ing. Luigi,Provveditore al Porto (Reggente),"S. Angelo, calle degli Avvocati, n. 3807",,al Porto di Venezia,",",53
Flamini dr. Renato,Capo della Segretaria Centrale,"S. Angelo, calle degli Avvocati, n. 3807",,al Porto di Venezia,",",53
Cerau dr. Giovanni,Capo del Servizio Esercizio & Lavoro,"S. Angelo, calle degli Avvocati, n. 3807",,al Porto di Venezia,",",53
Adami ing. Mario,Capo del Servizio Tecnico (ff.),"S. Angelo, calle degli Avvocati, n. 3807",,al Porto di Venezia,",",53
Sartorari dr. Francesco,Capo del Servizio Sanitario,"S. Angelo, calle degli Avvocati, n. 3807",,al Porto di Venezia,",",53
Miotto Angelo,Capo della Ragioneria,"S. Angelo, calle degli Avvocati, n. 3807",,al Porto di Venezia,",",53
Mazza Gr. uff. dr. Oreste,Questore,Fondamenta S. Lorenzo n. 5055,,al Porto di Venezia,",",53
Palmisano Comm. dr. Luigi,Vice Questore,Fondamenta S. Lorenzo n. 5055,,al Porto di Venezia,",",53
Sciuto dr. Angelo,Comm. Agg.,Fondamenta S. Lorenzo n. 5055,,al Porto di Venezia,Capo Gabinetto,53
Tur dr. Davide,V. Comm.,Fondamenta S. Lorenzo n. 5055,,al Porto di Venezia,Addetto Gabinetto,53
Urbano dr. Vincenzo,V. Comm.,Fondamenta S. Lorenzo n. 5055,Dirigente l'Ufficio Politico,al Porto di Venezia,",",53
Martt,orana dr. Celestino,Fondamenta S. Lorenzo n. 5055,Addetto Ufficio Politico,al Porto di Venezia,V. Comm. Agg.,53
Zaumpa dr. Giovanni,V. Comm. Agg.,Fondamenta S. Lorenzo n. 5055,Addetto l'Ufficio Politico,al Porto di Venezia,",",53
Grazzi dr. Giovanni,Comm. Agg.,Fondamenta S. Lorenzo n. 5055,Ufficio Stranieri,al Porto di Venezia,",",53
Vianelli dr. Umberto,Comm.,Fondamenta S. Lorenzo n. 5055,,al Porto di Venezia,Dirigente,53
Dattilo dr. Gustavo,Comm.,Fondamenta S. Lorenzo n. 5055,,al Porto di Venezia,Dirigente Squadra Mobile,53
Musumeci dr. Angelo,V. Comm.,Fondamenta S. Lorenzo n. 5055,Addetto Seconda Divisione,al Porto di Venezia,",",53
Scibilia dr. Dante,V. Comm. Agg.,Fondamenta S. Lorenzo n. 5055,,al Porto di Venezia,Addetto Squadra Mobile,53
Giorgi Dr. Bernardino,V. Comm. Agg.,Fondamenta S. Lorenzo n. 5055,,al Porto di Venezia,Addetto Squadra Mobile,53
Di Rienzo Dr. Pasquale,Comm. Agg.,Fondamenta S. Lorenzo n. 5055,,al Porto di Venezia,Dirigente,53
Icardi Cav. Giovanni,Maggiore di P. S. in S.P.E.,Fondamenta S. Lorenzo n. 5055,,al Porto di Venezia,Comandante Gruppo Agenti Pubblica Sicurezza,53
Maffei Sig. Giuseppe,Capitano di P. S. in S.P.E.,Fondamenta S. Lorenzo n. 5055,,al Porto di Venezia,V. Comandante,53
Del Donno Cav. Gaetano,Capitano di P. S. in S.P.E.,Fondamenta S. Lorenzo n. 5055,,al Porto di Venezia,Comandante Compagnia Mobile Agenti Pubblica Sicurezza,53
Giancane dr. Federico,Comm. Agg.,Fondamenta S. Lorenzo n. 5055,,al Porto di Venezia,Dirigente,53
Jannelli dr. Domenico,Comm.,Fondamenta S. Lorenzo n. 5055,,al Porto di Venezia,Dirigente,53
Venuto Cav. Uff. Domenico,Comm. Capo,Fondamenta S. Lorenzo n. 5055,,al Porto di Venezia,Dirigente,53
Cavarri dr. Tommaso,V. Comm.,Fondamenta S. Lorenzo n. 5055,,al Porto di Venezia,Dirigente,53
Morsolin dr. Vittorio,Comm.,Fondamenta S. Lorenzo n. 5055,,al Porto di Venezia,Dirigente,53
Bruno dr. Oscar,Comm. Agg.,Fondamenta S. Lorenzo n. 5055,,al Porto di Venezia,Dirigente,53
