Provincia,Section,Role_or_Profession,Name,Address,page
STRA,COMMERCIO E INDUSTRIA,Calzaturificio,SOC. COOP. G. SARTORI & C.,STRA,566
STRA,COMMERCIO E INDUSTRIA,Bestiame (commercio),Doni Guido,,566
STRA,COMMERCIO E INDUSTRIA,Bestiame (commercio),Bosco-ro Federico e f.,,566
STRA,COMMERCIO E INDUSTRIA,Bestiame (commercio),Fattore Giovanni e Pietro fratelli,,566
STRA,COMMERCIO E INDUSTRIA,Bestiame (commercio),Ramapazzo Luciano,,566
STRA,COMMERCIO E INDUSTRIA,Bestiame (commercio),Fat-toretto Enea,,566
STRA,COMMERCIO E INDUSTRIA,Bestiame (commercio),Ferraresso Agostino,,566
STRA,COMMERCIO E INDUSTRIA,Bestiame (commercio),Arturo e Romeo fu Cesare,,566
STRA,COMMERCIO E INDUSTRIA,Bestiame (commercio),Ferraresso Alfredo e fratelli,,566
STRA,COMMERCIO E INDUSTRIA,Bestiame (commercio),Ferraresso Oscar fu Giuseppe,,566
STRA,COMMERCIO E INDUSTRIA,Bestiame (commercio),Palazzon Mario,,566
STRA,COMMERCIO E INDUSTRIA,Bialie coloniali e affini,Gallenda Pasquale,,566
STRA,COMMERCIO E INDUSTRIA,Bialie coloniali e affini,Rampazzo Angelo,,566
STRA,COMMERCIO E INDUSTRIA,Bialie coloniali e affini,Tonetto Ultimo,,566
STRA,COMMERCIO E INDUSTRIA,Bialie coloniali e affini,Mar-cato Maria,,566
STRA,COMMERCIO E INDUSTRIA,Bialie coloniali e affini,Cooperativa di Consumo,,566
STRA,COMMERCIO E INDUSTRIA,Bialie coloniali e affini,Vettorel Antonio,,566
STRA,COMMERCIO E INDUSTRIA,Bialie coloniali e affini,De Toni Carlo,,566
STRA,COMMERCIO E INDUSTRIA,Bialie coloniali e affini,Fattori Cesare,,566
STRA,COMMERCIO E INDUSTRIA,Bialie coloniali e affini,Colcera Gaetana,,566
STRA,COMMERCIO E INDUSTRIA,Biciclette (vendita e riparazioni),Conventi Giovanni,,566
STRA,COMMERCIO E INDUSTRIA,Biciclette (vendita e riparazioni),Marin Giuseppe,,566
STRA,COMMERCIO E INDUSTRIA,Biciclette (vendita e riparazioni),Monetti Ot-torino,,566
STRA,COMMERCIO E INDUSTRIA,Biciclette (vendita e riparazioni),Salvatti Otello,,566
STRA,COMMERCIO E INDUSTRIA,Biciclette (vendita e riparazioni),Bellini Arturo,,566
STRA,COMMERCIO E INDUSTRIA,Biciclette (vendita e riparazioni),Baldan Antonio,,566
STRA,COMMERCIO E INDUSTRIA,Caffè (depositi),Beltramello Marco,,566
STRA,COMMERCIO E INDUSTRIA,Caffè (depositi),Cabbìn Geremia,,566
STRA,COMMERCIO E INDUSTRIA,Caffè (depositi),Lazzaro Antonio,,566
STRA,COMMERCIO E INDUSTRIA,Caffè (depositi),Polato Albe-o in Melato,,566
STRA,COMMERCIO E INDUSTRIA,Caffè (depositi),Salmaso Luigi,,566
STRA,COMMERCIO E INDUSTRIA,Caffè (depositi),Rossi Giusep-pe,,566
STRA,COMMERCIO E INDUSTRIA,Caffè (depositi),Marcato Maria,,566
STRA,COMMERCIO E INDUSTRIA,Caffè (depositi),Torgosi Dosolina,,566
STRA,COMMERCIO E INDUSTRIA,Caffè (depositi),Du-tadi Alessandro,,566
STRA,COMMERCIO E INDUSTRIA,Caffè (depositi),"Bar "" Casa del Popolo """,,566
