Name, Address, Location, Category, Additional Info,page
Cartiera di Riva Ing. Andrea Peloso, Cannaregio 5343, , Carta da impegno, ,177
Ermini Vittore, Marghera Via Elettricità, Marghera, Carta da impegno, ,177
Gallimberti Carlo,Marghera Via Elettricità, Cartoni, Cancelleria,"""Riva dei Vin,  122,  123"",  ,  Carta da impegno, | Carta",177
Lazzari Antonio, S. Croce 1729, , Carta da impegno, ,177
Parigi Edoardo, Mestre Piazza 27 Ottobre, Mestre, Carta da impegno, ,177
Venchierutti Att. e F.lli, Cannaregio 599-A, , Carta da impegno, ,177
Bolzonella Augusto, Castello 6084, , Carta da macero, ,177
Cartiera S. A.,"""Marsoni Rialto, S. Silvestro n. 1112-1173""",,Carta da macero," Carta da macero,  Tel. 23.692 e 24.676",177
Nocentini Dino, Cannaregio 2119, , Carta da macero, ,177
Pittau Francesco, S. Polo 2305-A, , Carta da macero, ,177
Querci Della Rovere (Ditta),S. Polo 2305-A, Rughètta Ravano," 1052-53""",",  Carta da macero,  Casa Fondata nel 1870,  Tel. 24738,  Ditta autorizzata per l'acquisto di carta da macero scarto,  Ritiro,  Pesatura e Pagamento a Domicilio | ""Rialto",177
Darai Ada in,"S. Polo 2305-A, S. Marco 4599-A",,Carta da parati e affini,"Carta da parati e affini, | Visentin",177
Ermini Vittore, Marghera Via Elettricità, Marghera, Carta da parati e affini, ,177
Morelli, Campo S. Fantin, , Carta da parati e affini, ,177
Baroni Arnaldo, Cannaregio 2581, , Carte e Stracci per Cartiere, ,177
Gobbo Celeste, S. Stefano 3531, , Carte de Gioco," Carte da gioco «Modiano»,  tipo comune e di lusso,  Preventivi per edizioni speciali,  Telefono 25-572",177
Cartiere F. A. Marsoni,"S. Stefano 3531, S. Silvestro 1112-1173""",,Cartiere,"Cartiere,  Tel. 23.692 e 24.676 | ""Rialto",177
Catiera di Riva,"S. Stefano 3531, S. Silvestro 1112-1173"", San Canciano 5344",,Cartiere,"Cartiere, | Ing. Andrea Peloso",177
Gaggio Gianni,"S. Stefano 3531, S. Silvestro 1112-1173"", San Canciano 5344"," ""Rialto"," Riva dei Vin 741""",",  Cartiere, | Deposito Carta",177
Querci Della Rovere (Ditta),"S. Stefano 3531, S. Silvestro 1112-1173"", San Canciano 5344"," ""Rialto", Rughètta Ravano,"1052-53"",  ,  Cartiere,  Tel. 24-738 | Deposito Carta",177
Soglio e Successori Malcolm, S. Marco 1165, , Cartiere, ,177
Aichem Carlo, S. Zulian 740, , Cartolerie e oggetti di Cancelleria, ,177
Alfonsi Luigia,S. Zulian 740, Torcello, Cartolerie e oggetti di Cancelleria,Burano,177
Alzetta Giovanna Maria, S. Marco 2821, , Cartolerie e oggetti di Cancelleria, ,177
Angelin Maria, S. Marco 5168, , Cartolerie e oggetti di Cancelleria, ,177
Antonello Luigi, S. Croce 1996, , Cartolerie e oggetti di Cancelleria, ,177
Ardit Tranquilla,S. Croce 1996, , Cartolerie e oggetti di Cancelleria,Malamocco,177
Azienda Cartaria e affini, S. Polo 276-A, , Cartolerie e oggetti di Cancelleria, ,177
Bassan Luigi,S. Polo 276-A," Piazza Umberto I""", Mestre,"Cartolerie e oggetti di Cancelleria, | ""Mestre",177
Bagnai Maria, Castello 4131, , Cartolerie e oggetti di Cancelleria, ,177
Baraldi Letizia, S. Marco 1308, , Cartolerie e oggetti di Cancelleria, ,177
Becari Vittorio,"S. Marco 1308, Via Olivi 22",, Mestre,"Cartolerie e oggetti di Cancelleria, | Mestre",177
Bellinati Angelo,"S. Marco 1308, Via Olivi 22, Via Dante 41""",, Mestre,"Cartolerie e oggetti di Cancelleria, | ""Mestre",177
Bernardi Giuseppe,"S. Marco 1308, Via Olivi 22, Via Dante 41"""," Via Piraghetto e a Via Fornaci de Ra""", Mestre,"Cartolerie e oggetti di Cancelleria, | ""Mestre",177
Bertocco Giuseppe,"S. Marco 1308, Via Olivi 22, Via Dante 41""", , Cartolerie e oggetti di Cancelleria,Favaro Veneto,177
Bigotti Raffaele, Castello 6841, , Cartolerie e oggetti di Cancelleria, ,177
Biondo Ernesta ved. Speman, Castello 1619, , Cartolerie e oggetti di Cancelleria, ,177
Blascovich Rosa,Castello 1619, Via Cappuccina," 72""","Mestre,  Cartolerie e oggetti di Cancelleria, | ""Mestre",177
Borgin Stefano, Castello 573, , Cartolerie e oggetti di Cancelleria, ,177
Bortoluzzi Ida, S. Croce 132, , Cartolerie e oggetti di Cancelleria, ,177
Bosio Luigi,S. Croce 132, Via Pepe, Marghera,"Cartolerie e oggetti di Cancelleria, | Marghera",177
Bozzano Concetta, Castello 3317, , Cartolerie e oggetti di Cancelleria, ,177
Busetto Giovanna,Castello 3317, , Cartolerie e oggetti di Cancelleria,Pellestrina,177
Brovioch Pietro, Cannaregio 243-A, , Cartolerie e oggetti di Cancelleria, ,177
Campagnaro Luigia,"Cannaregio 243-A, Via Pasqualino 62""",, Mestre,"Cartolerie e oggetti di Cancelleria, | ""Mestre",177
Canei Giuseppina,"Cannaregio 243-A, Via Pasqualino 62"", Via Catene 18""",, Mestre,"Cartolerie e oggetti di Cancelleria, | ""Mestre",177
Caprioli Giuseppina, S. Polo 2007, , Cartolerie e oggetti di Cancelleria, ,177
Capuzzo Domenico, S. Marco 1150, , Cartolerie e oggetti di Cancelleria, ,177
Casa Editrice Morra, S. Marco 4586, , Cartolerie e oggetti di Cancelleria,,177
