Name,Address,Location,Category,Additional Info,page
S.A.T.T.I.S.,"San Luca, 4152 a", Sbarchi, S. Moisè,"1474, S. Marco, Agenzie di trasporto, Agenzia Viaggi e Turismo, Trasporti Internazionali Marittimi, Terrestri, Aerei, Spedizioni I. N. T. | Società Adriatica Trasporti Turismo Imbarchi",295
,"San Luca, 4152 a",S. Marco,Agenzie di trasporto,Cabina Imbarchi | Scalo S. Basilio,295
,Via Lepanto 1, Lido,Lido,"Agenzie di trasporto, Delegazione FF. SS., I. N. T.",295
,"Via Piave, 31",Murano,Mestre,"Agenzie di trasporto, Delegazione FF. SS. I. N. T.",295
Soc. An. Innocente Mangili Adriatica & S. A. I. M. A.,"Via Piave, 31, 1478 a",Murano,S. Marco,"Agenzie di trasporto, | Zattere",295
Soc. An. Trasporti Industrie (S. A. T. I.),San Marco 1925,S. Marco,Agenzie di trasporto,",",295
Società Anonima Trasporti e Spedizioni Internazionali S. A. T. E. S. I.,San Marco 181-A,S. Marco,Agenzie di trasporto,",",295
Società Veneta Esercizio Magazzini Generali e Spedizioni,Calle delle Madonne 3086, San Angelo,Agenzie di trasporto,"Tel. 25-234, Magazzini Generali Raccordati, Mestre, Tel. 50112",295
Spedizioni Trasporti,"Calle delle Madonne 3086, Dorsoduro 249",Murano,Agenzie di trasporto,"Agenzie di trasporto, | importazioni esportazioni e rappresentanze S.T.I.E.P. e N. Società a. r. l.",295
Succ. N. Cavriani do Callegaro Silvano, S. Marco 4557,S. Marco,Agenzie di trasporto,",",295
Succ. Silvio Giuso di Omacin Aldo,S. Marco 4557,Dorsoduro,Agenzie di trasporto,Dogana Salute,295
Szabados Eugenio,"S. Marco 4557, S. Marco 4037",Murano,Agenzie di trasporto,",",295
Tessarin Ferdinando, S. Maria del Giglio n. 2474,S. Marco,Agenzie di trasporto,",",295
T.I.M.E.T.,"S. Maria del Giglio n. 2474, S. Marco 1294",Murano,Agenzie di trasporto,"Agenzie di trasporto, | Spedizioni e Trasporti",295
Tonolo Carlo fu Matteo,"S. Maria del Giglio n. 2474, S. Marco 1294, San Marco 1341",Murano,S. Marco,"Agenzie di trasporto, Agenzia Marittima e Casa di Spedizioni | (ditta) Suoc. Fratelli Scarpa",295
Tornante G.,San Moisè 1343 B,S. Marco,Agenzie di trasporto,",",295
Tripovich D.,San Marco 2091,S. Marco,Agenzie di trasporto,",",295
Tullie Sebastiano, S. Marco 1322,S. Marco,Agenzie di trasporto,",",295
Vituri Giuseppe,S. Marco 1322,Burano,Agenzie di trasporto,",",295
Viglienzone Silvio,"S. Marco 1322, S. Marco 2473",Murano,S. Marco,"Agenzie di trasporto, | Soc. An.",295
Villavecchia Orlando e C., S. Marco 1470,S. Marco,Agenzie di trasporto,",",295
Zaccolo Giuseppe,S. Marco 1470,Mestre,Agenzie di trasporto,"Agenzia Trasporti, Casa di Spedizioni, Magazzini per Deposito Merci, etc.",295
Zamboni e C.,S. Marco 1470,Murano,Agenzie di trasporto,Tronchetto,295
Zamboni Giuseppe e Figli, Dorsoduro 1294,Dorsoduro,Agenzie di trasporto,",",295
Zenonaro G.,"Dorsoduro 1294, S. Marco 4366-66",Murano,S. Marco,"Agenzie di trasporto, | Armatore",295
Società Anonima Spettacoli Educativi e Morali S. A. S. E. M.,Castello 3651,Castello,Spettacoli educativi e morali,",",295
Albanese Giuseppe,Cannaregio 6356,Cannaregio,Squerì,",",295
Adami Amerigo,Cannaregio 6356,Burano,Squerì,Giudecca 21,295
Amaddi Ant.,Cannaregio 6356,Burano,Squerì,S. Mauro 225,295
Battistini Ant.,Cannaregio 1994,Cannaregio,Squerì,",",295
Bovo Giovi,Cannaregio 1994,Burano,Squerì,Terranova 99,295
Bovo Gustavo,Cannaregio 1994,Burano,Squerì,Cavanella,295
Calzavara Rugg.,"Cannaregio 1994, S. Croce 928",Murano,S. Croce,"Squerì, | Gino",295
Cappon Gius.,Ghetto Nuovo 2881,Murano,Squerì,",",295
Carraro Pietro,Dorsoduro 2424,Dorsoduro,Squerì,",",295
Casal Angelo,"Dorsoduro 2424, 1545",Murano,Squerì,"Squerì, | S. Sebastian",295
Costantini Angelo,"Dorsoduro 2424, 1545",Burano,Squerì,240,295
Costantini Emilio,"Dorsoduro 2424, 1545",Giudecca,Squerì,",",295
Del Zenaro Leone,S. Girolamo 2972,Murano,Squerì,",",295
Fabris Pietro,S. Sofia 4140,Murano,Squerì,",",295
Favorin Giovo.,S. Sofia 4140,Mazzorbo,Squerì,",",295
Feltrinelì Giov.,S. Sofia 4140,Murano,Squerì,v. Barbaroer 3,295
Franceschi Alv.,Cannaregio 6356,Cannaregio,Squerì,",",295
Mazzariol Augusto,Calle della Testa,Murano,Squerì,",",295
Roggjo Am.,Via Pepe 198 ,Mestre,Squerì,",",295
Rosada Giuseppe,Cannaregio 3452,Cannaregio,Squerì,",",295
Rosai Romano,Cannaregio 3452,Giudecca,Squerì,173,295
Schiavì Bened.,Cannaregio 3452,S. Pietro in Volta,Squerì,",",295
Tagliapietra Marco,Cannaregio 3452,Giudecca,Squerì,S. Eufemìa,295
Todaro Francesco,S. Vio 593A,Murano,Squerì,",",295
Tramontin Fratelli,S. Vio 593A,Giudecca,Squerì,",",295
Tramùtin Giov.,S. Trovaco 1097,Murano,Squerì,",",295
Trevisan Aug.,S. Trovaco 1097,Burano,Squerì,Peschera 290,295
Bevilacqua Luigi Soc. An.,"S. Giovanni Decoletto, 1320",Murano,Stoffe per arredamenti,"Stoffe per arredamenti, Stabilimento serico, Velluti damaschì broccati per arredamento e arredi sacri",295
Haas e Figli (Soc. An. succ. di Filippo Haas),"Campo S. Moisé, 1481",Murano,Stoffe per arredamenti,"Stoffe per arredamenti, Stoffe per arredamenti, tendaggi e tappeti",295
Rubelli Lorenzo e Figli S. A. Suoc. a Gne b. Trapolin,Direzione: Campo S. Gallo 1093-A,Murano,Stoffe per arredamenti,Negozi: Piazza San Marco Procuratie Nuove 65,295
Bevilacqua Luigi S. A.,S. Giovanni Decolato 1320,Murano,Stoffe per mobili,"Stabilimento Serico, Velluti, Damaschi, Broccati per arredamento e arredi sacri",295
