Name,Address,Location,Role,Profession,Additional Info,page
,S. Marco,S. Silvestro,"Canal Grande, Ferrovia",Linee esercite,,51
,S. Marco,S. Silvestro,"Ferrovia, Piazzale Roma, S. Zaccaria, Lido",Linee esercite,,51
,S. Marco,S. Silvestro,"P. Roma Casino Municipale, S. Zaccaria",Linee esercite,,51
,S. Marco,S. Silvestro,"Giudecca, Riva Schiavoni",Linee esercite,,51
,S. Marco,S. Silvestro,"Riva Schiavoni, S. Maria Elisabetta di Lido (diretta)",Linee esercite,,51
,S. Marco,S. Silvestro,"Riva Schiavoni, Manicomi, Sacra Sessola",Linee esercite,,51
,S. Marco,S. Silvestro,"Traghetto Zattere, Giudecca",Linee esercite,,51
,S. Marco,S. Silvestro,"Fondamenta Nuove, Cimitero, Murano",Linee esercite,,51
,S. Marco,S. Silvestro,"Fondamenta Nuove, Burano, Torcello, Treporti",Linee esercite,,51
,S. Marco,S. Silvestro,"Fondamenta Nuove, S. Erasmo",Linee esercite,,51
,S. Marco,S. Silvestro,"Riva Schiavoni, Alberoni Bagni, Pellestrina",Linee esercite,,51
,S. Marco,S. Silvestro,"Riva Schiavoni, Punta Sabbioni",Linee esercite,,51
,S. Marco,S. Silvestro,"Linea S. M. Elisabetta, S. Nicolò di Lido",Servizi Filoviari,,51
,S. Marco,S. Silvestro,"Linea S. M. Elisabetta, Malamocco",Servizi Filoviari,,51
,S. Marco,S. Silvestro,Linea S. M. Elisabetta Quattro Fontane,Servizi Filoviari,,51
,S. Marco,S. Silvestro,Città Giardino,Servizi Filoviari,,51
,S. Marco,S. Silvestro,"Linea S. M. Elisabetta, Ospedale al Mare",Servizi Filoviari,,51
,"S. Marco, Riva Schiavoni 4129",S. Silvestro,Appalto: Società 'Trezza di Verona,Ufficio Deposito,Uff. Informazioni,51
,"S. Marco, Riva Schiavoni 4129",S. Silvestro,Appalto: Società 'Trezza di Verona,Cantiero Navale,S. Elena,51
Gestito dalla Ditta A. L.,San Marco 4102,S. Silvestro,Appalto: Società 'Trezza di Verona,SERVIZIO COMUNALE DELLE PUBBLICHE AFFISSIONI,P. I.,51
Ambrosi dr. ing. Augusto,San Marco,,Presidente,ISTITUTO AUTONOMO PER LE CASE POPOLARI DELLA PROV. DI VENEZIA,,51
Ronga dr. ing. Vincenzo; Bonto Sig. Angelo; Dazzi dr. prof. Manlio; Drudi dr. prof. Carlo; Levis dr. ing. Renzo; Gamba avv. dr. Aldo; Baldissera avv. dr. Giacomo,San Marco,,Consiglieri,ISTITUTO AUTONOMO PER LE CASE POPOLARI DELLA PROV. DI VENEZIA,,51
"Vasquez dr. rag. Paolo, Foffano cav. uff. Angelo; De Rose rag. Gennaro",San Marco,,Sindaci,ISTITUTO AUTONOMO PER LE CASE POPOLARI DELLA PROV. DI VENEZIA,,51
Vallot dr. arch. Virgilio; De Majo rag. Guido,San Marco,,Sindaci supplenti,ISTITUTO AUTONOMO PER LE CASE POPOLARI DELLA PROV. DI VENEZIA,,51
Garbini dr. ing. Giulio,San Marco,,Direttore Generale,ISTITUTO AUTONOMO PER LE CASE POPOLARI DELLA PROV. DI VENEZIA,,51
Bertanza dr. ing. Paolo,San Marco,,Ispettore,ISTITUTO AUTONOMO PER LE CASE POPOLARI DELLA PROV. DI VENEZIA,,51
