Name,Address,Location,Role,Profession,page
Bortolo cav. Pietro,Piazza S. Marco,SEZIONE DI VENEZIA,Presidente,CASINO DI COMMERCIO,98
Marcello co. Andrea,Piazza S. Marco,SEZIONE DI VENEZIA,Presidente,CASINO DI COMMERCIO,98
Sambo comm. Mario,Piazza S. Marco,SEZIONE DI VENEZIA,Presidente,CASINO DI COMMERCIO,98
Il Sindaco di Venezia,S. Marco - Palazzo ex Prigioni,SEZIONE DI VENEZIA,Presidente onorario,CIRCOLO ARTISTICO DI VENEZIA,98
Ilario Neri,S. Marco - Palazzo ex Prigioni,SEZIONE DI VENEZIA,Presidente,CIRCOLO ARTISTICO DI VENEZIA,98
avv. Guido Franceschinis,S. Marco - Palazzo ex Prigioni,SEZIONE DI VENEZIA,Vice Pres.,CIRCOLO ARTISTICO DI VENEZIA,98
Gino Gazzini,S. Marco - Palazzo ex Prigioni,SEZIONE DI VENEZIA,Segretario,CIRCOLO ARTISTICO DI VENEZIA,98
Arcangeli Ing. Olivero,S. Marco - Palazzo ex Prigioni,SEZIONE DI VENEZIA,Consiglio Direttivo,CIRCOLO ARTISTICO DI VENEZIA,98
Franceschinis avv. Guido,S. Marco - Palazzo ex Prigioni,SEZIONE DI VENEZIA,Consiglio Direttivo,CIRCOLO ARTISTICO DI VENEZIA,98
Gazzini Gino,S. Marco - Palazzo ex Prigioni,SEZIONE DI VENEZIA,Consiglio Direttivo,CIRCOLO ARTISTICO DI VENEZIA,98
Giandomenici avv. Manlio,S. Marco - Palazzo ex Prigioni,SEZIONE DI VENEZIA,Consiglio Direttivo,CIRCOLO ARTISTICO DI VENEZIA,98
Martinuzzi prof. Napoleone,S. Marco - Palazzo ex Prigioni,SEZIONE DI VENEZIA,Consiglio Direttivo,CIRCOLO ARTISTICO DI VENEZIA,98
Matter dr. Camillo,S. Marco - Palazzo ex Prigioni,SEZIONE DI VENEZIA,Consiglio Direttivo,CIRCOLO ARTISTICO DI VENEZIA,98
Neri Ilario,S. Marco - Palazzo ex Prigioni,SEZIONE DI VENEZIA,Consiglio Direttivo,CIRCOLO ARTISTICO DI VENEZIA,98
Pomi Prof. Alessandro,S. Marco - Palazzo ex Prigioni,SEZIONE DI VENEZIA,Consiglio Direttivo,CIRCOLO ARTISTICO DI VENEZIA,98
Renosto prof. Renato,S. Marco - Palazzo ex Prigioni,SEZIONE DI VENEZIA,Consiglio Direttivo,CIRCOLO ARTISTICO DI VENEZIA,98
Vallot prof. Virgilio,S. Marco - Palazzo ex Prigioni,SEZIONE DI VENEZIA,Consiglio Direttivo,CIRCOLO ARTISTICO DI VENEZIA,98
Zuffelato maestro Guido,S. Marco - Palazzo ex Prigioni,SEZIONE DI VENEZIA,Consiglio Direttivo,CIRCOLO ARTISTICO DI VENEZIA,98
,S. Angelo 3580,"Venezia, Belluno, Padova, Rovigo, Treviso, Udine","Agenzia Principale di Venezia con giurisdizione sulle provincie di Venezia, Belluno, Padova, Rovigo, Treviso e Udine",SOCIETA ITALIANA DEGLI AUTORI ED EDITORI,98
Murari dott. Vinicio,S. Angelo 3580,SEZIONE DI VENEZIA,Commissario,SOCIETA ITALIANA DEGLI AUTORI ED EDITORI,98
,S. Angelo 3580,Agenzia di Venezia,Category: Radiodiffusioni circolari,Agente principale della Società Autori ed Editori della Agenzia di Venezia,98
Alessandri avv. Alessandro,S. Marco n. 3844,SEZIONE DI VENEZIA,Presidente,SEZIONE FILATELICA VENEZIANA DEL CIRCOLO ARTISTICO,98
Giarnizzo prof. Alberto,Castello n. 4423,SEZIONE DI VENEZIA,Consigliere,SEZIONE FILATELICA VENEZIANA DEL CIRCOLO ARTISTICO,98
Marigonda dr. Piero,S. Marco 4641,SEZIONE DI VENEZIA,Consigliere,SEZIONE FILATELICA VENEZIANA DEL CIRCOLO ARTISTICO,98
Malusa rag. Mario,S. Marco n. 3574-a,SEZIONE DI VENEZIA,Consigliere,SEZIONE FILATELICA VENEZIANA DEL CIRCOLO ARTISTICO,98
Padovan Romano,S. Marco n. 638,SEZIONE DI VENEZIA,Consigliere,SEZIONE FILATELICA VENEZIANA DEL CIRCOLO ARTISTICO,98
Zennaro rag. Tullo,S. Marco 638,SEZIONE DI VENEZIA,Consigliere,SEZIONE FILATELICA VENEZIANA DEL CIRCOLO ARTISTICO,98
,S. Fantin. 2004,Venezia,Comitato Provinciale,COMITATO OLIMPICO NAZIONALE ITALIANO,98
,"S. Fantin. 2004, S. Elena Ramo Montello, 1",SEZIONE DI VENEZIA,Federazione delle Federazioni Sportive,Fed. It. di Atletica Leggera (FIDAL),98
Egidio De Zotis,"S. Elena Ramo Montello, 1",SEZIONE DI VENEZIA,Fid. Prov.,SPORT OLIMPICI,98
Olivi Pietro,"SS. Apostoli, 4410",SEZIONE DI VENEZIA,Segretario,SPORT OLIMPICI,98
Dr. Antenore Marini,"SS. Apostoli, 4410",SEZIONE DI VENEZIA,Sede Comit. Reg.,Fed. Ginnastica d'Italia (FGDI),98
,"SS. Apostoli, 4410, Dorsoduro 3488-B",SEZIONE DI VENEZIA,Sede Fid. Prov.,Unione Velocipedistica It (UVI),98
,"SS. Apostoli, 4410, Dorsoduro 3488-B, Via 22 Marzo",SEZIONE DI VENEZIA,Federazione delle Federazioni Sportive,"Com. Reg., Fed. It. Canottaggio (FIC)",98
Cedolini Angelo,"S. Polo, 1478 A",SEZIONE DI VENEZIA,Pres. Com. Zonale,Fed. It. Pugilato (FIP),98
,"S. Polo, 1478 A, Calle del Carbon. 1487",SEZIONE DI VENEZIA,Com. Zonale,Fed. It. Scherma (FIS),98
Marcello Della Giustina,Cannaregio 2608,"Sede Fid. Prov.""",Fed. It. Atletica Pesante (FIAP),SPORT OLIMPICI,98
Bosisio avv. Achille,"S. Salvador, 4906",SEZIONE DI VENEZIA,Pres. Soc. Ven.,Fed. It. Sport Equestri (FISE),98
Panaino avv. Angelo,S. Angelo Calle Caotorta 3559,SEZIONE DI VENEZIA,Pres. Soc. Ven.,Unione It. Tiro a Segno (UITS),98
Pasquato Dr. Michelangelo,"S. Silvestro, 720",SEZIONE DI VENEZIA,Fed. It. della Vela (FIV),SPORT OLIMPICI,98
,"S. Silvestro, 720, S. Luca 4090",SEZIONE DI VENEZIA,Federazione delle Federazioni Sportive,"Pres. Reg., Fed. It. Sport Invernali (FISI)",98
,"S. Silvestro, 720, S. Luca 4090",SEZIONE DI VENEZIA,Federazione delle Federazioni Sportive,Fed. It. Pattinaggio su Ghiaccio,98
,"S. Silvestro, 720, S. Luca 4090",SEZIONE DI VENEZIA,Federazione delle Federazioni Sportive,Fed. It. Hockey su Ghiaccio,98
,"S. Silvestro, 720, S. Luca 4090, Cannaregio, S. Geremia, 200",SEZIONE DI VENEZIA,Federazione delle Federazioni Sportive,Fed. It Gioco Calcio (FIGC),98
Giambino Dr. Cesare,"S. Silvestro, 720, S. Luca 4090, Cannaregio, S. Geremia, 200, Cannaregio, S. Geremia, 200",SEZIONE DI VENEZIA,Pres. Lega Reg.,presso Lega Reg.,98
Pasqualato gen. uff. Michelangelo,Zattere 269,SEZIONE DI VENEZIA,Presidente,SOCIETA' CANOTTIERI BUCIUNTORO,98
Onnusanti Nino,Zattere 269,SEZIONE DI VENEZIA,Vice Presidente,SOCIETA' CANOTTIERI BUCIUNTORO,98
Ferrarin avv. Ferruccio,Zattere 269,SEZIONE DI VENEZIA,Vice Presidente,SOCIETA' CANOTTIERI BUCIUNTORO,98
Costantini Bruno,Zattere 269,SEZIONE DI VENEZIA,Segretario,SOCIETA' CANOTTIERI BUCIUNTORO,98
Galea Giovanni,Zattere 269,SEZIONE DI VENEZIA,Tesoriere,SOCIETA' CANOTTIERI BUCIUNTORO,98
Bettini Gino,Zattere 269,SEZIONE DI VENEZIA,Dirett. Sport.,SOCIETA' CANOTTIERI BUCIUNTORO,98
Olgeni Aldo,Zattere 269,SEZIONE DI VENEZIA,Ispett. di Cantiere,SOCIETA' CANOTTIERI BUCIUNTORO,98
Nuova Editoriale S. A.,Zattere 269,SEZIONE DI VENEZIA,Zincografia,SOCIETA' CANOTTIERI BUCIUNTORO,98
