Name,Address,Location,Category,Additional Info,page,location_cleaned
Mazzucco Cav. Giuseppe,"Palazzo Surian, Fond. Cannaregio 970",Murano,GHIACCIAIE,Premiato Sugherificio Veneto,213,False
Frigoriferi Generali S. A.,S. Basilio 867-A (Marittima),Murano,Ghiaccio,S. Industria Frigorifera,213,False
Fabbrica Ghiaccio G. Giustina,"S. Giustina, calle Cappuccine 6576",Murano,Ghiaccio,Uffici e fabbrica,213,False
,"S. Giustina, calle Cappuccine 6576",Murano,Ghiaccio,"Deposito: S. Marco, Frezzeria 1758, Pescheria Rialto, calle della Campana, Lido: via Doge Domenico Michel",213,False
Giulio G.,Cannaregio 5102,,Ghiaccio,Category: Ghiacciaie,213,True
Ravagnan F.lli,Cannaregio 5102,,Ghiaccio,Rialto Pescheria,213,True
Società Anonima Birra Padovana Dreher,S. Marco 4090,,Ghiaccio,Category: Ghiacciaie,213,True
Soc. an. D'Este Novello e C.,Via 22 Marzo 2279,Murano,Ghiaccio,Category: Ghiacciaie,213,False
Soc. an. Frigus,Via 22 Marzo 2279,Marghera,Ghiaccio,Category: Ghiacciaie,213,False
Ziberli Umberto,Cannaregio 2940-A,,Ghiaccio,Category: Ghiacciaie,213,True
Zacchello F.lli,Via Cattapan 9,Mestre,Ghiaccio,Category: Ghiacciaie,213,False
Acerbi Umberto,Castello 3970,,Ghiaccio,Category: Ghiacciaie,213,True
Berengo Attilio,Castello 5324,,Ghiaccio,Category: Ghiacciaie,213,True
Boscolo Aurora,Via Roma 37,Mestre,Ghiaccio,Category: Ghiacciaie,213,False
Facchin Pietro,S. Polo 312,,Ghiaccio,Category: Ghiacciaie,213,True
Mandasich Elvira,Castello 1918,,Ghiaccio,Category: Ghiacciaie,213,True
Panisson Vilna in Rossetto,Cannaregio 1597,,Ghiaccio,Category: Ghiacciaie,213,True
Panzanuti Valentino,Castello 6441,,Ghiaccio,Category: Ghiacciaie,213,True
Renon Alice,Via E. Dandolo 19 D,Lido,Ghiaccio,Category: Ghiacciaie,213,False
Renon Antonio,Via E. Dandolo 60,Lido,Ghiaccio,Category: Ghiacciaie,213,False
Sbroggio Mario,Via Rizzardi 5,Marghera,Ghiaccio,Category: Ghiacciaie,213,False
Scarpa Rosa,"Dorsoduro, 587-A",,Ghiaccio,Category: Ghiacciaie,213,True
Serpelloni Giovanna,Cannaregio 327,,Ghiaccio,Category: Ghiacciaie,213,True
Soria Laura,Dorsodoro 1045,Murano,Ghiaccio,Category: Ghiacciaie,213,False
Zacchello Maddalena,Via Olivi 7,Mestre,Ghiaccio,Category: Ghiacciaie,213,False
Zatti Giovanni,Castello 5687,,Ghiaccio,Category: Ghiacciaie,213,True
Barina Camillo,Cà D'Oro 3953,Murano,Ghiaia,"Industria Ghiaia, Caser sul Sile",213,False
I.G.A. Industria Ghiaia Adige,"Castello, S. Filippo è Giacomo 4833",,Ghiaia,Category: Ghiacciaie,213,True
Cecchinato Enrico,Via Puccini 3,Mestre,Ghiaia,Category: Ghiacciaie,213,False
Cecchinato Giuseppe,Via Mezzacapo,Porto Marghera,Ghiaia,Category: Ghiacciaie,213,False
Azienda Commerciale Italiana Carboni,S. Marco 4023,,Ghisa,Category: Ghiacciaie,213,True
Bruna Francesco,Cannaregio 3568,,Ghisa,Category: Ghiacciaie,213,True
Tagliabue Giuseppe,Cannaregio 3568,,Ghisa,Category: Ghiacciaie,213,True
Al Pupo,"S. Fosca, 2213",Murano,Giocattoli,"Assortimento Giocattoli di ogni tipo-Confezioni per Bambino, Novità, Creazioni Originali di Guratovich Alma",213,False
