Name,Address,Location,Category,Additional Info,page,location_cleaned
S. A. Ferruzzi,S. Marco Calle del Tagliapietra 4899,,FOTOGRAFIA,"Stabilimento Fotografico Artistico Industriale, ARTI GRAFICHE, OTTICA, MICROSCOPIA, GEODESIA",209,True
Biral Bianca in Spiniuzzi,S. Marco 308-A,,FOTOGRAFIA,(fabbriche),209,True
Borca Giuseppe,S. Croce 889,,FOTOGRAFIA,(fabbriche),209,True
Bullo Amelia,S. Marco 2989,,FOTOGRAFIA,(fabbriche),209,True
Callecl Carlo,S. Polo 672,,FOTOGRAFIA,(fabbriche),209,True
Cipoliano Biagio,S. Marco 4301,,FOTOGRAFIA,(fabbriche),209,True
Dal Boni Domenico di Ferrandi Valentino,S. Marco 4301,,FOTOGRAFIA,Via Cesa e Battisti 6,209,True
De Rossi Angelo,"Cannaregio, Lista di Spagna 190",,FOTOGRAFIA,"Fotografia, Ottica, Vendita Fotomateriale, sviluppi, stampa, ingrandimenti, Foto studio per tessere, cartoline e foto a striscia e pose diverse, Reparto di ottica, vendita occhiali e riparazioni, Ottico patentato",209,True
Ferruzzi S. A.,S. Marco 710,,FOTOGRAFIA,(fabbriche),209,True
Fiorentini Cav. Pietro,Calle larga S. Marco 307,,FOTOGRAFIA,(fabbriche),209,True
Forti G. Aurelio,Castello 177-A,,FOTOGRAFIA,(fabbriche),209,True
Foto Gagio,Ponte Bartetteri,Lido,FOTOGRAFIA,(fabbriche),209,False
Fotografia Mazza Giuseppe in Fiorentini,Castello 949,,FOTOGRAFIA,(fabbriche),209,True
Foto Modernissima V. Pignatto,Piazza Umberto I,Mestre,"Fotografie Artistiche, Lavori Industriali, Lavori per Dilettanti",Vendita Materiale,209,False
"Foto ""Record""",Ponte dei Dai,Mestre,Fotografie,(fabbriche),209,False
Gaggio Mando,S. Marco 857,,Fotografie,(fabbriche),209,True
Galleria Fotografica e Cinematografica,"Calle delle Veste, via XXI Marzo",Mestre,Fotografie,(fabbriche),209,False
Giacomelli S. A.,Via 22 Marzo 2090,Mestre,Fotografie,"Fotografia, ritratti d’arte, Tel. 25-892",209,False
Grazinadei cav. Ernesto,S. Lio 5780,,Fotografie,(fabbriche),209,True
Gia Nascento,Castello 3210-A,,Fotografie,(fabbriche),209,True
Lisiola Pietro,Castello 6052-c,,Fotografie,(fabbriche),209,True
Loripola Cesare,Castello 4932,,Fotografie,(fabbriche),209,True
Molin Gaetano,S. Ma'co 948-A,Mestre,Fotografie,(fabbriche),209,False
Muldurin,Castello 8630,Mestre,Fotografie,(fabbriche),209,False
Nardini Giuseppe,Castello 2145,Mestre,Fotografie,(fabbriche),209,False
Paginario Antonio,Castello 2145,Mestre,Mestre,4 Cantoni 777,209,False
Pezza Mario,Castello 5311,,Fotografie,(fabbriche),209,True
Pignatto Ernesto,"Mestre, Piazza Umb. I",Mestre,Fotografie,(fabbriche),209,False
Pini Sensitore,Castello 4711,,Fotografie,(fabbriche),209,True
Pravo-' Amadeo,Castello 542,Mestre,Fotografie,(fabbriche),209,False
Rastrello Sisto,Gran Viale 23,Lido,Fotografie,(fabbriche),209,False
Rebereschi Ermumo,S. Marco 3537,,Fotografie,(fabbriche),209,True
Rinaldo Vittorio,Castello 5899,,Fotografie,(fabbriche),209,True
Silerii Floriano,S. Marco 1036,,Fotografie,(fabbriche),209,True
Salvagnin T.,Castello 4694,,Fotografie,succ. a Iankovich,209,True
Sambu Ruggero,Castello 3913,,Fotografie,(fabbriche),209,True
Scarabello Cav. Giove,S. Marco 1551,Lido,Fotografie,(fabbriche),209,False
Scatalo Francesco,S. Marco 1341,,Fotografie,(fabbriche),209,True
Soc. Edito Fila,S. Marco 506,,Fotografie,S. Marco,209,True
Spinizzi Piero,Cannaregio 1376,,Fotografie,(fabbriche),209,True
Stevani Plinio,S. Margherito 2983-A,Lido,Fotografie,(fabbriche),209,False
Stevani S.,S. Margherito 2983-A,Mestre,Fotografie,"Studio Fotografo e negozio di vendita, Laboratorio Moderno di Sviluppo e Stampa per Dilettanti, Piazza E. Matter, 19, Tel. 50-783",209,False
Stevani Vittorio,Cannaregio 5595.A,,Fotografie,(fabbriche),209,True
Venturini Mario,S. Marco 2942,,Fotografie,(fabbriche),209,True
Vidali Giovanni,Cannaregio 2031,,Fotografie,(fabbriche),209,True
Zago F.lli,Cannaregio 2031,San Polo,Fotindustria,Melloni,209,False
Zaffaroni Ulderico,"Mestre, Piazza Umberto I. 64",Lido,Fotografie,(fabbriche),209,False
Agenzia Fotografica Internazionale S. A.,S. Marco 1349-50,,sviluppo e stampa,(fabbriche),209,True
Aguilari Foto,Strada NUOVA 4302-4309-4460,Fotografie,sviluppo e stampa,"Tutto per la Fotografia, Lo studio del Ritratto Artistico, Tel. 24-031, 25-192, 25-192, 25-476",209,False
Sambin,Castello 3913,Fotografie,Venezia,"Bragora, Telefono 24-811",209,False
Nuova Editoriale S. A. - Zincoerafica,Calle Stagneri 5238,Fotografie,sviluppo e stampa,"Ogni tipo di Clchés BICROMIE TRICROMIE FOTOLITO, telefono 22648",209,False
