Name,Address,Location,Category,Additional Info,page,location_cleaned
Gastagna Luigi,"Dorsoduro, 1051 A",DORSODURO,STABILIMENTO GRAFICO,Carta Cartoni ed affini,178,False
Gattiran Margherita,Via Giust. 13,MESTRE,STABILIMENTO GRAFICO,Carta Cartoni ed affini,178,False
Chiavegato Gemma,Via Verdi 45,MESTRE,STABILIMENTO GRAFICO,Carta Cartoni ed affini,178,False
Citana Luigia,Murano fem. Manin 50,MURANO,STABILIMENTO GRAFICO,Carta Cartoni ed affini,178,False
Cornara Alfredo,Calle Larga S. Marco,MARGHERA,STABILIMENTO GRAFICO,Carta Cartoni ed affini,178,False
Cozzfi Tuodo,Du Duro 3587 S,MARGHERA,STABILIMENTO GRAFICO,Carta Cartoni ed affini,178,False
Cucco Antonietta,"Campredon, Vis! S. Dona n. 42",MARGHERA,STABILIMENTO GRAFICO,Carta Cartoni ed affini,178,False
Dalnese Rita,Via Carducci 18,MESTRE,STABILIMENTO GRAFICO,Carta Cartoni ed affini,178,False
Degani Antonio,S. Marco 79,,STABILIMENTO GRAFICO,Carta Cartoni ed affini,178,True
Del Pedro Antonio Giovanni,S. Polo 2761,,STABILIMENTO GRAFICO,Carta Cartoni ed affini,178,True
De Rossi Jolanda,Cannaregio 3040,,STABILIMENTO GRAFICO,Carta Cartoni ed affini,178,True
D'Este Antonio Maria,"Burano, Via Galuppi 232",BURANO,STABILIMENTO GRAFICO,Carta Cartoni ed affini,178,False
D'Este Giuseppe,"Burano, Via Pescheria",BURANO,STABILIMENTO GRAFICO,Carta Cartoni ed affini,178,False
De Zordo Cirilla Maria ved. Fioravante,S. Marco 5541- A,,STABILIMENTO GRAFICO,Carta Cartoni ed affini,178,True
Dorizza Fausta,Treporti Sacagiuana 15.A,TREPORTI,STABILIMENTO GRAFICO,Carta Cartoni ed affini,178,False
Fael Cesarina,S. Marco 365,,STABILIMENTO GRAFICO,Carta Cartoni ed affini,178,True
Feltrin Giovana,S. Marco 365,,STABILIMENTO GRAFICO,Carta Cartoni ed affini,178,True
Ferara Carlo,"S. Marco, 338, 4982. 5001. 5361. Cannaregio 3832.A",,STABILIMENTO GRAFICO,Carta Cartoni ed affini,178,True
Ferara Carlo,Cannaregio 3832.A,,STABILIMENTO GRAFICO,Carta Cartoni ed affini,178,True
Ferretti Antonio,S. Marco 220,,STABILIMENTO GRAFICO,Carta Cartoni ed affini,178,True
Filippi Tommaso,S. Marco 220,,STABILIMENTO GRAFICO,Piazzetta Leonicuti,178,True
Filumanni Giulia,"Favaro Veneto, Ca' Solara 823",FAVARO VENETO,STABILIMENTO GRAFICO,Carta Cartoni ed affini,178,False
Francelli Alberto,"Cannaregio, 5398 A",,STABILIMENTO GRAFICO,Carta Cartoni ed affini,178,True
Frison Giovanni,"Cannaregio, 5398 A",,STABILIMENTO GRAFICO,Cavallavia,178,True
Fregonese Canilla Carmen,S. Marco 112,,STABILIMENTO GRAFICO,Carta Cartoni ed affini,178,True
Fugagnolo Eugenio,Castello 4341,CASTELLO,STABILIMENTO GRAFICO,Carta Cartoni ed affini,178,False
Funes Marcella,Via Giacinto Gallina,MARGHERA,STABILIMENTO GRAFICO,Carta Cartoni ed affini,178,False
Gabrielli Angela e C.,Cannaregio 5649,,STABILIMENTO GRAFICO,Carta Cartoni ed affini,178,True
Gaggio Gianni,S. Polo 741,,STABILIMENTO GRAFICO,Carta Cartoni ed affini,178,True
Galimberti Carlo,"Riva del Vin, 722, 723","CARTA, CARTONI, CANCELLERIA",CARTA,"CARTONI,  CANCELLERIA,",178,False
Giambato Maria,Castello 2417,CASTELLO,CARTA,"CARTONI,  CANCELLERIA,",178,False
Gasparoni Giovanni,S. Provolo 4977,"CARTA, CARTONI, CANCELLERIA",CARTA,"CARTONI,  CANCELLERIA,",178,False
Gaspè-uzzo Primo,Giudecca 52,GIUDECCA,CARTA,"CARTONI,  CANCELLERIA,",178,False
Giaochbi Antonia,S. Marco 3466,"CARTA, CARTONI, CANCELLERIA",CARTA,"CARTONI,  CANCELLERIA,",178,False
Giorgi Umberto,"S. Marco, 1149","CARTA, CARTONI, CANCELLERIA",CARTA,"CARTONI,  CANCELLERIA,",178,False
Giuliatto Rosa,Via Miranese 25,MESTRE,CARTA,"CARTONI,  CANCELLERIA,",178,False
Giurovich Garibaldo,S. Polo 100,"CARTA, CARTONI, CANCELLERIA",CARTA,"CARTONI,  CANCELLERIA,",178,False
Gobatto Ferdinando,"S. Marco, 803","CARTA, CARTONI, CANCELLERIA",CARTA,"CARTONI,  CANCELLERIA,",178,False
Gobatto Giuseppe,S. Marco 64,"CARTA, CARTONI, CANCELLERIA",CARTA,"CARTONI,  CANCELLERIA,",178,False
Gobatto Eugenio,Cannaregio 3267,"CARTA, CARTONI, CANCELLERIA",CARTA,"CARTONI,  CANCELLERIA,",178,False
Guzzi Cav. Vincenzo e Figlio,Cannaregio 3729,"CARTA, CARTONI, CANCELLERIA",CARTA,"CARTONI,  CANCELLERIA,",178,False
Jaechin Mario,S. Marco 704,"CARTA, CARTONI, CANCELLERIA",CARTA,"CARTONI,  CANCELLERIA,",178,False
Leonilde Lella,S. Marco 364,"CARTA, CARTONI, CANCELLERIA",CARTA,"CARTONI,  CANCELLERIA,",178,False
Libreria Cartoleria Moderna,S. Marco 364,,CARTA,"CARTONI,  CANCELLERIA,",178,True
Malcoco Giuseppina Vanda,Castello 4124,CASTELLO,CARTA,"CARTONI,  CANCELLERIA,",178,False
Malusa Augusto,S. Croce 181-B,"CARTA, CARTONI, CANCELLERIA",CARTA,"CARTONI,  CANCELLERIA,",178,False
Maggio Gianny,Calle Lunga S. Maria Formosa 6135-5233,"CARTA, CARTONI, CANCELLERIA",CARTA,"CARTONI,  CANCELLERIA,",178,False
Marella Felice,"Marghera, Via G. Pepe 3",MARGHERA,CARTA,"CARTONI,  CANCELLERIA,",178,False
Ma'son Sorelle,Cannaregio 4616,"CARTA, CARTONI, CANCELLERIA",CARTA,"CARTONI,  CANCELLERIA,",178,False
Marzot Alberto,Castello 6369,CASTELLO,CARTA,"CARTONI,  CANCELLERIA,",178,False
Mazzuato Carlo,Castello 1311,CASTELLO,CARTA,"CARTONI,  CANCELLERIA,",178,False
Mello Virginio (Ditta),"S. Polo, 2210","CARTA, CARTONI, CANCELLERIA",CARTA,"Cancelleria carta e cartoni, Cartotecnica, Tipografia",178,False
Miotti Cecilia,Bagora 3600,"CARTA, CARTONI, CANCELLERIA",CARTA,"CARTONI,  CANCELLERIA,",178,False
Mismsa Maria Luigia,S. Marina 5904,"CARTA, CARTONI, CANCELLERIA",CARTA,"CARTONI,  CANCELLERIA,",178,False
Molin Augusto,"Castello, 1727",CASTELLO,CARTA,"CARTONI,  CANCELLERIA,",178,False
Nardini Augusta,"Castello, 1727",Trevigiano di Zolarino,CARTA,"CARTONI,  CANCELLERIA,",178,False
Nason Angelo e C.,S. Marco 466,"CARTA, CARTONI, CANCELLERIA",CARTA,"CARTONI,  CANCELLERIA,",178,False
Ongaro Maria in Tonon,Cannaregio 122,"CARTA, CARTONI, CANCELLERIA",CARTA,"CARTONI,  CANCELLERIA,",178,False
Orcali Arpalice,S. Polo 2403,"CARTA, CARTONI, CANCELLERIA",CARTA,"CARTONI,  CANCELLERIA,",178,False
Padovan Elvira,"Cannaregio, 1915","CARTA, CARTONI, CANCELLERIA",CARTA,"CARTONI,  CANCELLERIA,",178,False
