Name,Address,Location,Role,Profession,Additional Info,page
Piovesan Francesco,VENEZIA - S. LIO,,TRIBUNALE CIVILE E PENALE DI VENEZIA,Ufficiale Giudiziario,Ufficiali Giudiziari,56
Brosio Annibale,VENEZIA - S. LIO,,TRIBUNALE CIVILE E PENALE DI VENEZIA,Ufficiale Giudiziario,Ufficiali Giudiziari,56
Lo Savio Giuseppe,VENEZIA - S. LIO,,TRIBUNALE CIVILE E PENALE DI VENEZIA,Ufficiale Giudiziario,Ufficiali Giudiziari,56
Sambo Carlo,VENEZIA - S. LIO,,TRIBUNALE CIVILE E PENALE DI VENEZIA,Ufficiale Giudiziario,Ufficiali Giudiziari,56
Scuccimarra dr. Orazio,VENEZIA - S. LIO,,TRIBUNALE CIVILE E PENALE DI VENEZIA,Presidente,TRIBUNALE DEI MINORENNI,56
Falchi prof. cav. Giuseppino,VENEZIA - S. LIO,,TRIBUNALE CIVILE E PENALE DI VENEZIA,Giudice,TRIBUNALE DEI MINORENNI,56
Vasari dr. Andrea,VENEZIA - S. LIO,,TRIBUNALE CIVILE E PENALE DI VENEZIA,Giudice Supplente,TRIBUNALE DEI MINORENNI,56
Fattovich dr. Giovanni,VENEZIA - S. LIO,,TRIBUNALE CIVILE E PENALE DI VENEZIA,Medico Primario Manicomio,TRIBUNALE DEI MINORENNI,56
Berubai cav. dr. Gino,Dorsoduro,,TRIBUNALE CIVILE E PENALE DI VENEZIA,Procuratore,", PROCURA PRESSO IL TRIBUNALE DEI MINORENNI",56
Di Caporiacco Co Arduino,Dorsoduro,,TRIBUNALE CIVILE E PENALE DI VENEZIA,Segretario,", PROCURA PRESSO IL TRIBUNALE DEI MINORENNI",56
Caramore Amedeo,Dorsoduro,,TRIBUNALE CIVILE E PENALE DI VENEZIA,Impiegato di Segreteria,", PROCURA PRESSO IL TRIBUNALE DEI MINORENNI",56
Verde Giovanni,Dorsoduro,,TRIBUNALE CIVILE E PENALE DI VENEZIA,Usciere,", PROCURA PRESSO IL TRIBUNALE DEI MINORENNI",56
Moise dr. Amos,Dorsoduro,,TRIBUNALE CIVILE E PENALE DI VENEZIA,Primo Pretore,", PROCURA PRESSO IL TRIBUNALE DEI MINORENNI",56
Udina dr. Ramiro,Dorsoduro,,TRIBUNALE CIVILE E PENALE DI VENEZIA,Pretore,", PROCURA PRESSO IL TRIBUNALE DEI MINORENNI",56
Jandelli dr. Mario,Dorsoduro,,TRIBUNALE CIVILE E PENALE DI VENEZIA,Pretore,", PROCURA PRESSO IL TRIBUNALE DEI MINORENNI",56
Ortolani dr. Bruno,Dorsoduro,,TRIBUNALE CIVILE E PENALE DI VENEZIA,Pretore,", PROCURA PRESSO IL TRIBUNALE DEI MINORENNI",56
Fonte Basso dr. Alfonso,Dorsoduro,,TRIBUNALE CIVILE E PENALE DI VENEZIA,Vice Pretore Onorario,", PROCURA PRESSO IL TRIBUNALE DEI MINORENNI",56
Lanza dr. Carlo,Dorsoduro,,TRIBUNALE CIVILE E PENALE DI VENEZIA,Vice Pretore Onorario,", PROCURA PRESSO IL TRIBUNALE DEI MINORENNI",56
Finazzi dr. Dino,Dorsoduro,,TRIBUNALE CIVILE E PENALE DI VENEZIA,Vice Pretore Onorario,", PROCURA PRESSO IL TRIBUNALE DEI MINORENNI",56
Risicca rag. Giuseppe,Dorsoduro,,TRIBUNALE CIVILE E PENALE DI VENEZIA,Cancelliere Capo,", PROCURA PRESSO IL TRIBUNALE DEI MINORENNI",56
Toroddo Giovanni,Dorsoduro,,TRIBUNALE CIVILE E PENALE DI VENEZIA,Primo Cancelliere,", PROCURA PRESSO IL TRIBUNALE DEI MINORENNI",56
Veluscek Antonio,Dorsoduro,,TRIBUNALE CIVILE E PENALE DI VENEZIA,Cancelliere,", PROCURA PRESSO IL TRIBUNALE DEI MINORENNI",56
Bellemo rag Bruno,Dorsoduro,,TRIBUNALE CIVILE E PENALE DI VENEZIA,Cancelliere,", PROCURA PRESSO IL TRIBUNALE DEI MINORENNI",56
Martelli Quirino,Dorsoduro,,TRIBUNALE CIVILE E PENALE DI VENEZIA,Cancelliere,", PROCURA PRESSO IL TRIBUNALE DEI MINORENNI",56
Bortolan rag. Antonio,Dorsoduro,,TRIBUNALE CIVILE E PENALE DI VENEZIA,Cancelliere,", PROCURA PRESSO IL TRIBUNALE DEI MINORENNI",56
Dal Vecchio rag Marcello,Dorsoduro,,TRIBUNALE CIVILE E PENALE DI VENEZIA,Cancelliere,", PROCURA PRESSO IL TRIBUNALE DEI MINORENNI",56
De Mucci Luigi,Dorsoduro,,TRIBUNALE CIVILE E PENALE DI VENEZIA,Cancelliere,", PROCURA PRESSO IL TRIBUNALE DEI MINORENNI",56
Festa Bruno,Dorsoduro,,TRIBUNALE CIVILE E PENALE DI VENEZIA,Cancelliere,", PROCURA PRESSO IL TRIBUNALE DEI MINORENNI",56
Valenti Giuseppe,Dorsoduro,,TRIBUNALE CIVILE E PENALE DI VENEZIA,Cancelliere,", PROCURA PRESSO IL TRIBUNALE DEI MINORENNI",56
Perez Raniero,Dorsoduro,,TRIBUNALE CIVILE E PENALE DI VENEZIA,Aiutante di Cancelleria,", PROCURA PRESSO IL TRIBUNALE DEI MINORENNI",56
Infante Alfredo,Dorsoduro,,TRIBUNALE CIVILE E PENALE DI VENEZIA,Aiutante di Cancelleria,", PROCURA PRESSO IL TRIBUNALE DEI MINORENNI",56
