Name,Address,Location,Role,Profession,Additional Info,page
dr. Guido Polacco,Officina Tebal S.S. Apostoli 4603,,Condirettore,,",",102
Mario Agostini,Officina Tebal S.S. Apostoli 4603,,Character: Quotidiano indipendente,Giornalista,",",102
Ruggero Bandarini,Officina Tebal S.S. Apostoli 4603,,Character: Quotidiano indipendente,Giornalista,",",102
L. Nino Comini,Officina Tebal S.S. Apostoli 4603,,Character: Quotidiano indipendente,Giornalista,",",102
Leone Dogo,Officina Tebal S.S. Apostoli 4603,,Character: Quotidiano indipendente,Giornalista,",",102
Gastone Geron,Officina Tebal S.S. Apostoli 4603,,Character: Quotidiano indipendente,Giornalista,",",102
Gastone Hartaschn,Officina Tebal S.S. Apostoli 4603,,Character: Quotidiano indipendente,Giornalista,",",102
Antonio Levorato,Officina Tebal S.S. Apostoli 4603,,Character: Quotidiano indipendente,Giornalista,",",102
Ugo Longo,Officina Tebal S.S. Apostoli 4603,,Character: Quotidiano indipendente,Giornalista,",",102
Ugo Arcuno,Officina Tebal S.S. Apostoli 4603,"San Salvador, Palazzo Faccanon",Direttore,,",",102
Antonio Levorato,Officina Tebal S.S. Apostoli 4603,"San Salvador, Palazzo Faccanon",Redattore capo,,",",102
Giuseppe Massano,Officina Tebal S.S. Apostoli 4603,"San Salvador, Palazzo Faccanon",Redattore,,",",102
Anna Maria Veroni,Officina Tebal S.S. Apostoli 4603,"San Salvador, Palazzo Faccanon",Redattore,,",",102
F. T. Roffare,Officina Tebal S.S. Apostoli 4603,"San Salvador, Palazzo Faccanon",Redattore,,",",102
Giovanni Oniga,Officina Tebal S.S. Apostoli 4603,"San Salvador, Palazzo Faccanon",Redattore-Sternografo,,",",102
SERENISSIMA,Officina Tebal S.S. Apostoli 4603,,Character: Industrie delle Arti Grafiche in Zinco-Rame e Ceraulit,Industrie delle Arti Grafiche,Tel: 24649,102
