Name,Address,Location,Role,Profession,Additional Info,page
T. Col. Venanzi Francesco,Venezia,,Comandante in 2.a,,Direzione Marittima e Capitaneria di Porto di Venezia,60
T. Col. Bonacini Remo,Venezia,,Direzione Marittima e Gabinetto,,Direzione Marittima e Capitaneria di Porto di Venezia,60
Magg. Trambusti Livio,Venezia,,Amministrazione,,Direzione Marittima e Capitaneria di Porto di Venezia,60
Cap. Cantelna Antonio,Venezia,,Demanio e Pesca,,Direzione Marittima e Capitaneria di Porto di Venezia,60
Cap. Tosti Eolo,Venezia,,Naviglio,,Direzione Marittima e Capitaneria di Porto di Venezia,60
Cap. De Galateo Francesco,Venezia,,Leva e Mobilitazione,,Direzione Marittima e Capitaneria di Porto di Venezia,60
T. Col. Scarpati Stefano,Venezia,Sezione staccata Zattere,1. GUIA COMMERCIALE DI VENEZIA E PROVINCIA,,Direzione Marittima e Capitaneria di Porto di Venezia,60
Tenente Col. Baronis Comm. Ottorino,Campo San Zaccaria,,Comandante Gruppo,,Direzione Marittima e Capitaneria di Porto di Venezia,60
Tenente Lucarelli Luigi,Campo San Zaccaria,,Comandante la compagnia di Venezia,,Direzione Marittima e Capitaneria di Porto di Venezia,60
S. Tenen. di Via Domenico,Campo San Zaccaria,,Comandante la tenenza Venezia,,Direzione Marittima e Capitaneria di Porto di Venezia,60
Capitano Olivieri Antonio,Campo San Zaccaria,,Comandante la compagnia di Mestre,,Direzione Marittima e Capitaneria di Porto di Venezia,60
S. Trente Dogliotti Eugenio,Campo San Zaccaria,,Comandante la tenenza di Chioggia,,Direzione Marittima e Capitaneria di Porto di Venezia,60
Tenente Mantaro Santi,Campo San Zaccaria,,Comandante la tenenza di Portogruaro,,Direzione Marittima e Capitaneria di Porto di Venezia,60
Colonello Acampora Giovanni,Campo San Zaccaria,,Comandante,,Direzione Marittima e Capitaneria di Porto di Venezia,60
Maggior° Bernardi Guglielmo,Campo San Zaccaria,,Uff. Superiore addetto,,Direzione Marittima e Capitaneria di Porto di Venezia,60
Capitano Bonomi Eugenio,Campo San Zaccaria,,Capitano addetto,,Direzione Marittima e Capitaneria di Porto di Venezia,60
Colonn. Trapani Benedetto,Campo San Zaccaria,,Comandante di legione,,Direzione Marittima e Capitaneria di Porto di Venezia,60
Ten. Colonn. Borrani Giannetto,Campo San Zaccaria,,Relatore,,Direzione Marittima e Capitaneria di Porto di Venezia,60
Maggior° Verderame Giuseppe,Campo San Zaccaria,,Direttore dei Conti,,Direzione Marittima e Capitaneria di Porto di Venezia,60
Capitano Dionisalvi Mariano,Campo San Zaccaria,,Aiutante Maggiore in Prima,,Direzione Marittima e Capitaneria di Porto di Venezia,60
Capitano Fiore Umberto,Campo San Zaccaria,,Dirigente uff. Servizio,,Direzione Marittima e Capitaneria di Porto di Venezia,60
Tenente Bonato Alberto,Campo San Zaccaria,,Ufficiale di Magazzino,,Direzione Marittima e Capitaneria di Porto di Venezia,60
Tenente Digilio Michelangelo,Campo San Zaccaria,,Ufficiale Pagatore,,Direzione Marittima e Capitaneria di Porto di Venezia,60
Tenente Bonato Alberto,Campo San Zaccaria,,Capo reparto automob.,,Direzione Marittima e Capitaneria di Porto di Venezia,60
Cap. medico Zennaro Giuseppe,Campo San Zaccaria,,Camera Ricovero Legion.,,Direzione Marittima e Capitaneria di Porto di Venezia,60
Capitano Tognali Faustino,Campo San Zaccaria,,Nucleo polizia Trib. invest.,,Direzione Marittima e Capitaneria di Porto di Venezia,60
Sottotenente Tito Michele,Campo San Zaccaria,,Ufficiale Addetto P. T. I.,,Direzione Marittima e Capitaneria di Porto di Venezia,60
Tenente i. g. s. Cervone Salvatore,Campo San Zaccaria,Giudecca,Stazione Naviglio,,Direzione Marittima e Capitaneria di Porto di Venezia,60
Autorimessa Guardia di Finanza,Piazza San Francesco,Mestre,3. Legione Territoriale della Guardia di Finanza,,Direzione Marittima e Capitaneria di Porto di Venezia,60
Maggiore i. g. s. Santoro Antonio,Piazza San Francesco,,Comandante,4. Circolo di Venezia,",",60
Cap. Siragusa Gaetano,Piazza San Francesco,,Prima compagnia,4. Circolo di Venezia,",",60
Tenente Salsano Eduardo,Piazza San Francesco,,Tenenza volante,4. Circolo di Venezia,",",60
Tenente Colonnello Grasso Giuseppe,Piazza San Francesco,,Comandante,5. Circolo di Mestre,",",60
Capitano Melucco Oscar,Piazza San Francesco,,Compagnia Mestre,5. Circolo di Mestre,",",60
