Provincia,Section,Role_or_Profession,Name,Address,page
CHIARANO,PROFESSIONISTI,Farmacisti,Rossi,,515
CHIARANO,PROFESSIONISTI,Farmacisti,Bianchi,,515
CHIARANO,PROFESSIONISTI,Chirurghi,Signorelli,,515
CHIARANO,PROFESSIONISTI,Chirurghi,Sacconi,,515
CHIARANO,COMMERCIO E INDUSTRIA,Barbieri,Bertazza,,515
CHIARANO,COMMERCIO E INDUSTRIA,Barbieri,Rossi,,515
CHIARANO,COMMERCIO E INDUSTRIA,Alberghi,albergo Moro,,515
CHIARANO,COMMERCIO E INDUSTRIA,Alberghi,albergo Croce,,515
CHIARANO,COMMERCIO E INDUSTRIA,Alberghi,Stella,,515
CINTO CAOMAGGIORE,UFFICI AMMINISTRATIVI,Sindaco,Grandis Dott. Umberto,,515
CINTO CAOMAGGIORE,UFFICI AMMINISTRATIVI,Segretario Comunale,Battiston Francesco,,515
CINTO CAOMAGGIORE,UFFICI AMMINISTRATIVI,Esattoria Comunale,Cassa di Risparmio di Venezia succ. di Portogruaro,,515
CINTO CAOMAGGIORE,UFFICI AMMINISTRATIVI,Ufficiale Sanitario,Nappi Dott. Filippo,,515
CINTO CAOMAGGIORE,UFFICI AMMINISTRATIVI,Veterinario,Consorzio con Pramaggiore. Annone,,515
CINTO CAOMAGGIORE,UFFICI AMMINISTRATIVI,Perito Municipale,Fogliin Geom. Sisto,,515
CINTO CAOMAGGIORE,UFFICI AMMINISTRATIVI,Maestre elementari,Bracha Domitilla,,515
CINTO CAOMAGGIORE,UFFICI AMMINISTRATIVI,Maestre elementari,Aldini Tonino,,515
CINTO CAOMAGGIORE,UFFICI AMMINISTRATIVI,Maestre elementari,Bottoni Irma,,515
CINTO CAOMAGGIORE,UFFICI AMMINISTRATIVI,Maestre elementari,Vianello Flora,,515
CINTO CAOMAGGIORE,UFFICI AMMINISTRATIVI,Maestre elementari,Traverso Antonio,,515
CINTO CAOMAGGIORE,UFFICI AMMINISTRATIVI,Maestre elementari,Lazzarini Amalia,,515
CINTO CAOMAGGIORE,UFFICI AMMINISTRATIVI,Maestre elementari,Elda,,515
CINTO CAOMAGGIORE,UFFICI PUBBLICI,Tribunale,Venezia,,515
CINTO CAOMAGGIORE,UFFICI PUBBLICI,Pretura,Portogruaro,,515
CINTO CAOMAGGIORE,UFFICI PUBBLICI,Conciliatore,Bondani Rag. Giolamo,,515
CINTO CAOMAGGIORE,UFFICI PUBBLICI,Ufficio Ipoteche,Venezia,,515
