Name,Address,Location,Category,Additional Info,page
Capanna Giovanni,S. Marco 976,Marghera,Macchine cinematografiche,",",238
Società Anonima Cinemecanica,Dorsoduro 3593,Marghera,Macchine cinematografiche,",",238
Veronesi Augusto,Dorsoduro 3593,Marghera,Macchine cinematografiche,",",238
Caretista Zenith,S. Marco 711,Marghera,Macchine contabili,",",238
dDuse»,S. Marco 2288,Marghera,Macchine contabili,",",238
Olivetti C. e O. Soc. An.,S. Marco 2288,Marghera,Macchine contabili,Bacino Orseolo,238
Toppo Adriano,"Castello 2684, Tel. 23-285",Marghera,Macchine contabili,",",238
Barzaghi Piero,"Castello 2684, Tel. 23-285",Mestre,Macchine da cucire e accessori,",",238
Brunello Bortolo,Cannaregio 2101,Marghera,Macchine da cucire e accessori,",",238
Compagnia «Singer»,"S. Marco 4929, 180",Marghera,Macchine da cucire e accessori,",",238
Damezin Carlo,"Mestre, Via Caneva 24",Marghera,Macchine da cucire e accessori,",",238
Masetto Giuseppe,S. Croce 2348-B,Marghera,Macchine da cucire e accessori,",",238
Santini Vittorio,S. Polo 1411,Marghera,Macchine da cucire e accessori,",",238
S.I.R.I.,S. Polo 1411,Marghera,"concessionaria ""Necchi"" macchine per cucire, per l‘industria, per l’artigiano, per la famiglia e tutte le macchine per cucire speciali. Tutti gli accessori per qualsiasi tipo di macchina. Sede in Venezia, S. Molè, 1477, Tel. 22-877, Mestre, Via Piave, 62, Tel. 51-373, Chioggia: Corso Vitt. Em. n. 1203.",S. Molè,238
Tommasina Mario,S. Marco 4605,Marghera,Macchine da cucire e accessori,",",238
Walter Pacifico,Cannaregio 4317,Marghera,Macchine da cucire e accessori,",",238
Cercato Giuseppe e Petiziol Ottorino,Mestre v. Ospedale 27,Marghera,Macchine elettriche,",",238
Officina Galileo,"Mestre v. Ospedale 27, Porto Marghera, v. Fratelli Bandiera 5",Marghera,Macchine elettriche,",",238
Santi Silvio,via D. Manin 41,Mestre,Macchine elettriche,",",238
Del Sole Romolo,via D. Manin 41,Lido,Macchine elettriche industriali e motori,",",238
Francesconi Carlino,"Mestre, Via Cappuccina 40",Marghera,Macchine elettriche industriali e motori,",",238
Toppo Adriano,"Castello 2684, Tel. 23-285",Marghera,Macchine per Enologia,",",238
Sidrotecnica Veneta di Giuseppe Sacca,"Castello 2684, Tel. 23-285, Mestre v. Via Piave, 63 (di fronte Bar Piave), Tel. 50-743, Casella Postale 15.",Marghera,Macchine per il lavoro del legno e del metallo,",",238
Agenzia Dubied,"Castello 2684, Tel. 23-285, Mestre v. Via Piave, 63 (di fronte Bar Piave), Tel. 50-743, Casella Postale 15., G. Goldoni 4482",Marghera,Macchine per maglieria,Tozoni Zita e Sara Sorelle,238
S.I.R.I.,"Castello 2684, Tel. 23-285, Mestre v. Via Piave, 63 (di fronte Bar Piave), Tel. 50-743, Casella Postale 15., G. Goldoni 4482, Sede; Venezia: S. Molè, 1478, Tel. 21-867; Negozî: Venezia S. Molè, 1477, Tel. 22-877; Mestre: Via Piave, 62, Tel. 51-373; Chioggia: Corso Vitt. Em. 1203.",Marghera,"concesstonarla """"Aquila Santacgatno"""" Macchine per maglieria rattelline aglî ed accessori",",",238
Cantieri Celli S. A.,Campo S. Elena 1,Marghera,Commercio motori a scoppio ed a iniezione,",",238
Novello Giuseppe,Cannaregio 5893,Marghera,Macchine e motori,",",238
S.I.R.I.,"Cannaregio 5893, Sede: Venezia, S. Molè, 1477,, Tel. 22,877; Mestre: Via Plave, 62, Tel. 51-373, Chioggia: Corso Vitt. Em. 1203.",Marghera,"concessionarìa """"Protarì” Apparecchi """"Milan"""" per raììmamaglìare calze",",",238
Griffini rag. Rinaldo,S. Marco 2402,Marghera,Macchine per scrivere e accessori,",",238
"duse,”,Via XXII Marzo"," 2288""",Marghera,Fornitura complete MOBILI e ACCESSORI per UFFICI,",",238
