Name,Address,Location,Category,Additional Info,page
Mazzotti Ufficio Rappresentanze,S. Marco 3658,Murano,"Compressori, Trapani, Smerigliatrici, Martelli pneumatici",Posteggio Noleggio Riparazioni,189
Siderotecnica Veneta di Giuseppe Saccia,"Mestre, Via Piave 63",Murano,"Compressori, Trapani, Smerigliatrici, Martelli pneumatici",Posteggio Noleggio Riparazioni,189
Soc. Veneziana Concerti Sinfonici,fdm. della Fenice. 2549,Murano,Concerti,Posteggio Noleggio Riparazioni,189
Tavolin Anna,Castello 2953,Murano,Conchiglie,Posteggio Noleggio Riparazioni,189
Montecatini,Castello 2953,Murano,Porto Marghera,Soc. Gen. per l'Industria Mineraria chimica,189
Parce e Severi,Castello 2953,Marghera,Concimi azotati,Posteggio Noleggio Riparazioni,189
Pavella Giovanni,S. Marco 2338,Murano,Concimi azotati,Posteggio Noleggio Riparazioni,189
Marchetto A. e S.,S. Moisé 2155,Murano,FERTILIZZANTI azotati," periostatai,  Potassici,  Solfato rame,  ecc.,  Tel. 25-926",189
Soc. Veneta Concimi e Prodotti chimici,S. Moisé 2155,"CITA, S. A. Marghera",Concimi chimici,Posteggio Noleggio Riparazioni,189
Bortoli Comm. Ettore,"S. Canciano, Corte Leon Bianco 5630",Murano,Vendita all'ingrosso e al minuto della produzione Pirelli e Ing. et. Deposito. Telefono 24528. Negozi Bottega dell'Elettricità. S. Canciano," Campiello R. Selvatico 5659. Tel. 22-945. Botttega dell. Luce,  S. Marco,  Calle Goldoni 4511 Telef. 22-756. Casa Lucente,  Lido di Venezia,  Viale S. Maria Elisabetta 31 Telefono 60-587.",189
C.E.A.T.,"Padova, Corso del Popolo 1",Murano,Cavi Elettrici," Torino,  Cavi sottopone,  per energia ad alta e bassa tensione,  Cavi telefonici di qualunque tipo Cavi sottopompe per impianti interni,  Fili e Corde rame e allumina isolati,  Cordoncini luce-Cavetti intrecciati,  Accessori per cavi,  Offerte,  Listini,  Studio Tecnico Michele Martignetti,  Telefono 24-587.",189
AI Pupo' Novità,"Padova, Corso del Popolo 1, S. Fosca 1215",Murano,Confezioni per Bambini,Tel. 27-756 | Creazioni Originali per Bambini di Giuravotch Alma,189
Bigatello Angelo ed Ezio Graziani,Castello 3474,Murano,Confezioni per Bambini,Posteggio Noleggio Riparazioni,189
Borgato Sorelle,S. Marco 4861,Murano,Confezioni per Bambini,Posteggio Noleggio Riparazioni,189
Fregonese Olga,S. Marco 1234-A,Murano,Confezioni per Bambini,Posteggio Noleggio Riparazioni,189
Galleria dei Piccini di Villi e C.,Castello un. 2862,Murano,Confezioni per Bambini,Posteggio Noleggio Riparazioni,189
Ine Rukin in Montegaccio,S. Marco 678,Murano,Confezioni per Bambini,Posteggio Noleggio Riparazioni,189
Il Bimbo Elegante,Mercerie del Capitolato 4862,Murano,Confezioni per Bambini,Posteggio Noleggio Riparazioni,189
Minozzi Dea,Castello 3467,Murano,Confezioni per Bambini,Posteggio Noleggio Riparazioni,189
Nordin Emilia eDemocratia,Cristiano 5016,Murano,Confezioni per Bambini,Posteggio Noleggio Riparazioni,189
A la Pia Vola de Pranza di Gianna Sereni Bordignon.,Buca di Piazza 1261,Murano,Confezioni per Signora,Posteggio Noleggio Riparazioni,189
Bronzini Gejia,Buca di Piazza 1261,Murano,Confezioni per Signora,Carpenedo,189
Concalato Pietro,S. Marco 1105,Murano,Confezioni per Signora,Posteggio Noleggio Riparazioni,189
Dialaa,"S. Marco 1105, S. Marco, Spadaria, 677",Murano,Tel. 22-335,Confezioni per signora.,189
Discacciati Giuseppe,"Croce S. Pantalon n. 3955/b, Calle Donzella, Rialto, 270",Murano,Confezioni per Signora,Posteggio Noleggio Riparazioni,189
La Motta P.,Ponte Baratteri 4921-B,Murano,Confezioni per Signora,Posteggio Noleggio Riparazioni,189
Mode e Rosettuni,S. Zuiani 724 Mercerie dell'Orologio 219,Lido,Viale S. Maria Elisabetta 40,Posteggio Noleggio Riparazioni,189
Agenzia P. Bortoluzzi,"San Luca, 4182",Murano,Affitti appartamenti,Posteggio Noleggio Riparazioni,189
