Name,Address,Location,Role,Profession,page
Cicogna cav. ing. Giovanni,S. Marco,,Ingegnere capo,Ingegnere,45
Sanmartin ing. Giacomo,S. Marco,,Primo ingegnere,Ingegnere,45
Lombardo ing. Ferruccio,S. Marco,,Ingegnere,Ingegnere,45
Colombo geom. Ugo,S. Marco,,Primo geometra,Geometra,45
Cendon dr. Giuseppe,S. Marco,,Economo Provinciale,",",45
Cortesi prof. Tancredi,S. Marco,,Direttore,",",45
Fattovich prof. Giovanni,S. Marco,,V. Direttore,",",45
Gatti dr. Giovanni,S. Marco,,Medici,",",45
Giorgini dott. Rodolfo,S. Marco,,Medici,",",45
Angisani jr. Domenico,S. Marco,,Medici,",",45
Fossati dr. Carlo,S. Marco,,Medici,",",45
Nicolai jr. Nicoli,S. Marco,,Medici,",",45
Con Giordana dr. Carlo,S. Marco,,Medici straordinari,",",45
Cavagna d.ssa Cecilia,S. Marco,,Medici straordinari,",",45
Caiola dr. Renato,S. Marco,,Farmacista,",",45
Ferrante Ernesto,(San Servolo),,Economi di Sezione,",",45
Bavarese rag. Luigi,(San Servolo),,Economi di Sezione,",",45
Costantini Giulio f. l.,(San Servolo),,Economi di Sezione,",",45
Celin padre prof. Arturo,(San Servolo),,Direttore,",",45
Cortesi prof. Tancredi,(San Servolo),,Direttore del Dispensario,",",45
Crocetta Elvira,(San Servolo),,Assistente visitatrice,",",45
Giudice dott. Antonio,(San Servolo),,Direttore incaricato,",",45
Ceola dr. Adolfo,(San Servolo),,Direttore incaricato,",",45
Tursi prof. Angiolo,(San Servolo),,Presidente,",",45
Sepulcri prof. dr. Piero,(San Servolo),,Es-perto malariologo,",",45
Tursi prof. Angiolo,(San Servolo),,Presidente,",",45
Parabeni Piscia ing. Giovanni,(San Servolo),,Vice Presidente,",",45
Pancino dr. Giuseppe,(San Servolo),,Segretario,",",45
Taromba dr. Alessandro,(San Servolo),,Direttore,",",45
Tursi prof. Angiolo,(San Servolo),,Presid.,Comitato Provinciale antitubercolare,45
Vitalli prof. Fabio,(San Servolo),,Componenti,Comitato Provinciale antitubercolare,45
Reggiani prof. Giorgio,(San Servolo),,Componenti,Comitato Provinciale antitubercolare,45
Ori prof. Alessandro,(San Servolo),,Componenti,Comitato Provinciale antitubercolare,45
Bruhi dr. Romulo,(San Servolo),,Componenti,Comitato Provinciale antitubercolare,45
Battain dr. Mario,(San Servolo),,Componenti,Comitato Provinciale antitubercolare,45
Mion prof. Giuseppe,(San Servolo),,Componenti,Comitato Provinciale antitubercolare,45
Pancino dr. Giuseppe,(San Servolo),,Segretario,Comitato Provinciale antitubercolare,45
Taromba dr. Alessandro,S. Croce Campo dell Lana 690,,Medico Direttore,",",45
Linzoir dr. Giovanni,S. Croce Campo dell Lana 690,,Medico aiuto,",",45
Tursi prof. Angiolo,S. Croce Campo dell Lana 690,,Presidente,",",45
Pancino dr. Giuseppe,S. Croce Campo dell Lana 690,,Segretario,",",45
Battain dr. Domenico,S. Croce Campo dell Lana 690,,Direttore Sanitario,",",45
