Name,Address,Location,Role,Profession,Additional Info,page
,Mestre,Isola San Severo,,Ospedale Civile,Ospedale Psichiatrico Provinciale Maschile,85
,Mestre,Isola di San Clemente,,Ospedale Civile,Ospedale Psichiatrico Provinciale Femminile di S. Clemente,85
,Mestre,Marocco di Mogliano Veneto,,Ospedale Civile,Istituto Medico Pedagogico,85
,Mestre,Marocco di Mogliano Veneto,,Ospedale Civile,Istituto Provinciale Sordomuti,85
,Mestre,Acquabona di Cortina d'Ampezzo,,Ospedale Civile,COLONIA « G. ANGLOTTO »,85
,Mestre,S. Nicolo di Lido,,Ospedale Civile,Istituto Elioterapico,85
Vanni dr. Alberto,SS. Giovanni e Paolo-Cavallerizza,Palazzo del Governo,,Direttore,SUORE DELLA SOCIETA’ REGINA APOSTOLORUM,85
Spanjo prof. Angelo,SS. Giovanni e Paolo-Cavallerizza,Palazzo del Governo,,Direttore,Ospedale Civile,85
Commissario Presidenziale: dr. Luigi Oselladore,SS. Giovanni e Paolo-Cavallerizza,Palazzo del Governo,,Ospedale Civile,SUORE DELLA SOCIETA’ REGINA APOSTOLORUM,85
Francesco Canal,SS. Giovanni e Paolo-Cavallerizza,Palazzo del Governo,,Segretario,SUORE DELLA SOCIETA’ REGINA APOSTOLORUM,85
Contessa Pia di Valmarana,SS. Giovanni e Paolo-Cavallerizza,Palazzo del Governo,,Ispettrice Regionale della Infermiere Volontarie,SUORE DELLA SOCIETA’ REGINA APOSTOLORUM,85
dr. prof. Paolo Venchierutti,SS. Giovanni e Paolo-Cavallerizza,Palazzo del Governo,,Direttore Scuola Infermiere,SUORE DELLA SOCIETA’ REGINA APOSTOLORUM,85
dr. Luigi Oselladore,SS. Giovanni e Paolo-Cavallerizza,,,Presidente,SUORE DELLA SOCIETA’ REGINA APOSTOLORUM,85
Cessa Pia di Valmarana,SS. Giovanni e Paolo-Cavallerizza,,,Consigliere,SUORE DELLA SOCIETA’ REGINA APOSTOLORUM,85
Boer Silvio,SS. Giovanni e Paolo-Cavallerizza,,,Segretario-Economo,SUORE DELLA SOCIETA’ REGINA APOSTOLORUM,85
Dr. Luigi Serajotto,SS. Giovanni e Paolo-Cavallerizza,,,Mdico-Direttore,SUORE DELLA SOCIETA’ REGINA APOSTOLORUM,85
Vitali gr. uff,SS. Giovanni e Paolo-Cavallerizza, dr. Fabio,,Ospedale Civile,Presidente | prof,85
Franceschini avr. cav,SS. Giovanni e Paolo-Cavallerizza,,,Ospedale Civile,Vice presidente | uff. Guido,85
Boldrin dr. cav. uff. Vincenzo,SS. Giovanni e Paolo-Cavallerizza,,,Segretario,SUORE DELLA SOCIETA’ REGINA APOSTOLORUM,85
Maria Pegorini Paduan,SS. Giovanni e Paolo-Cavallerizza,,,Vice segretaria,SUORE DELLA SOCIETA’ REGINA APOSTOLORUM,85
Taconna dr. Alessandro,S. Croce, Corte della Lana,,Direttore,Dispensario Antitubercolare Provinciale,85
Zona Teresa,S. Croce, ex Camp di Marte,,Direttrice,Padiglione Asilo per figli sani dei tubercolosi | Giudeça,85
Ospitali dr. Luigi,S. Croce,,,Direttore Medico,SUORE DELLA SOCIETA’ REGINA APOSTOLORUM,85
Canziani dr. Tisse,S. Croce,,,Medico Aggiunto,SUORE DELLA SOCIETA’ REGINA APOSTOLORUM,85
Cortesi dr. prof. Tancredi,S. Croce,,,Consulente Ordinario,SUORE DELLA SOCIETA’ REGINA APOSTOLORUM,85
Rev.do Padre Priore P. Alessandro Ferrazzi,S. Croce,,,Amministratore,SUORE DELLA SOCIETA’ REGINA APOSTOLORUM,85
Marconi dr. Innocente,S. Croce,,,Direttore,SUORE DELLA SOCIETA’ REGINA APOSTOLORUM,85
Polichetti prof. Enrico,S. Croce,,,Direttore,SUORE DELLA SOCIETA’ REGINA APOSTOLORUM,85
