Provincia,Section,Role_or_Profession,Name,Address,page
PORTOGRUARO,UFFICI PUBBLICI,Comando di Tenenza e di Stazione RR. CC.,Comando di Tenenza e di Stazione RR. CC.,Portogruaro,547
PORTOGRUARO,UFFICI PUBBLICI,Ufficio Ipotecale,Ufficio Ipotecale,Venezia,547
PORTOGRUARO,UFFICI PUBBLICI,Ufficio Registro,Ufficio Registro,Portogruaro,547
PORTOGRUARO,UFFICI PUBBLICI,Ufficio Registro,Chillemi Salvatore,,547
PORTOGRUARO,UFFICI PUBBLICI,Agenzia Imposte,Agenzia Imposte,Portogruaro,547
PORTOGRUARO,UFFICI PUBBLICI,Agenzia Imposte,Castellino dott. Timoleone,,547
PORTOGRUARO,UFFICI PUBBLICI,Ufficio Postale,Ufficio Postale,Portogruaro, Luganuna, Pradipozzo,547
PORTOGRUARO,UFFICI PUBBLICI,Ufficio Postale, G. B. Gottardi,,547
PORTOGRUARO,UFFICI PUBBLICI,Ufficio Telegrafico,Ufficio Telegrafico,Portogruaro,547
PORTOGRUARO,UFFICI PUBBLICI,Telefono pubblico,Telefono pubblico,Portogruaro, Lison,547
PORTOGRUARO,UFFICI PUBBLICI,Cattedra Ambulante di Agricoltura,Cattedra Ambulante di Agricoltura,Portogruaro,547
PORTOGRUARO,ISTITUZIONI RELIGIOSE,Diocesi di Concordia,Diocesi di Concordia,,547
PORTOGRUARO,ISTITUZIONI RELIGIOSE,Vescovo,D’Alessi mons. Vittorio,,547
PORTOGRUARO,ISTITUZIONI RELIGIOSE,Curia Vescovile,Sandrini mons. Paolo,,547
PORTOGRUARO,ISTITUZIONI RELIGIOSE,Curia Vescovile,Faccino don Giuseppe,,547
PORTOGRUARO,ISTITUZIONI RELIGIOSE,Capitolo Cattedrale,Sandrini mons. Paolo,,547
PORTOGRUARO,ISTITUZIONI RELIGIOSE,Capitolo Cattedrale,Carrara mons. Emilio,,547
PORTOGRUARO,ISTITUZIONI RELIGIOSE,Capitolo Cattedrale,Giacomuzzi mons. Lodovico,,547
PORTOGRUARO,ISTITUZIONI RELIGIOSE,Capitolo Cattedrale,Marzin Mons. Giacomo,,547
PORTOGRUARO,ISTITUZIONI RELIGIOSE,Capitolo Cattedrale,Panno monsignor Giovanni,,547
PORTOGRUARO,ISTITUZIONI RELIGIOSE,Capitolo Cattedrale,De Marchi mons. Luigi,,547
PORTOGRUARO,ISTITUZIONI RELIGIOSE,Parroco Cattedrale,Inneis mons. prof. cav. Luigi,Concordia Sagittaria,547
PORTOGRUARO,ISTITUZIONI RELIGIOSE,Parroco concatenate SS. Andrea e Portogruaro,Vecconi mons. Mario,,547
PORTOGRUARO,ISTITUZIONI RELIGIOSE,Parroci,Bortolussi don Luigi,S. Agnese,547
PORTOGRUARO,ISTITUZIONI RELIGIOSE,Parroci,Martin don Luigi,S. Nicolò,547
PORTOGRUARO,ISTITUZIONI RELIGIOSE,Parroci,Buttignol don Antonio,Gissusago,547
PORTOGRUARO,ISTITUZIONI RELIGIOSE,Parroci,Giacomuzzi don Luigi,Lison,547
PORTOGRUARO,ISTITUZIONI RELIGIOSE,Parroci,Puppin don Antonio,Pradipozzo,547
PORTOGRUARO,ISTITUZIONI RELIGIOSE,Parroci,Marson don Pietro,Sumaga,547
PORTOGRUARO,ISTITUZIONI RELIGIOSE,Parroci,Cecchini don Michele,Portovecchio,547
PORTOGRUARO,ISTITUZIONI RELIGIOSE,Parroci,Zanier don Pietro,Lugugnana,547
PORTOGRUARO,UFFICI MILITARI,Distretto militare,Distretto militare,Venezia,547
PORTOGRUARO,UFFICI MILITARI,Comando di Tenenza Carabinieri,Comando di Tenenza Carabinieri,Portogruaro e S. Donà,547
PORTOGRUARO,UFFICI MILITARI,Comando di Tenenza Carabinieri,Manterro Santi,,547
PORTOGRUARO,UFFICI MILITARI,Comando Stazione Carabinieri,Comando Stazione Carabinieri,,547
PORTOGRUARO,UFFICI MILITARI,Comando Stazione Carabinieri,Prastaro Salvatore,,547
PORTOGRUARO,UFFICI MILITARI,R. Guardia Finanza,R. Guardia Finanza,,547
PORTOGRUARO,ISTITUZIONI,Istituto Musicale, Istituto Musicale,,547
PORTOGRUARO,ISTITUZIONI,Istituto Musicale, Dal Moro dott. Gino,,547
PORTOGRUARO,ISTITUZIONI,"Società Operaia ""Garibaldi"""," Società Operaia ""Garibaldi""",,547
PORTOGRUARO,ISTITUZIONI,"Società Operaia ""Garibaldi""", Bon Luigi,,547
PORTOGRUARO,ISTITUZIONI,Sezione Tiro a Volo, Sezione Tiro a Volo,,547
PORTOGRUARO,ISTITUZIONI,Sezione Tiro a Volo, Cav. Mario Bon,,547
PORTOGRUARO,ISTRUZIONE,R. Scuola Secondaria d'avv. Commerciale,R. Scuola Secondaria d'avv. Commerciale,,547
PORTOGRUARO,ISTRUZIONE,"Collegio Vescovile ""G. Marconi""","Collegio Vescovile ""G. Marconi""",,547
PORTOGRUARO,ISTRUZIONE,Rettore,Zovatto dott. Prof.,,547
PORTOGRUARO,ISTRUZIONE,Ginnasio,Ginnasio,,547
PORTOGRUARO,ISTRUZIONE,Preside,Giacomuzzi prof. cav. uff. Lodovico,,547
PORTOGRUARO,ISTRUZIONE,Istituto Magistrale,Istituto Magistrale,,547
PORTOGRUARO,ISTRUZIONE,Preside,(vacante),,547
PORTOGRUARO,ISTRUZIONE,Direzione didattica del Circolo,Direzione didattica del Circolo,Portogruaro,547
PORTOGRUARO,ISTRUZIONE,Scuola serale di disegno,Scuola serale di disegno,R. Scuola Commerciale,547
PORTOGRUARO,ISTRUZIONE,Scuola serale di lingue,Scuola serale di lingue,R. Scuola Commerciale,547
