Name,Address,Location,Category,Additional Info,page,location_cleaned
Bassan Jesus,Via Cappuccina,Marghera,"S. Marco, 2414","Pensioni e Locande,",151,False
Bindoni Onorato fu Stefano,Via Cappuccina,Marghera,S. Polo 1111,"Pensioni e Locande,",151,False
Borghi R. Agenzia Trascischi,Via Cappuccina,Marghera,"S. Polo, 1963","Pensioni e Locande,",151,False
Bornin e Boer,Via Cappuccina,Marghera,"S. Marco, 496-A","Pensioni e Locande,",151,False
Cantieri Navali Picinii S. A.,"S. Marco, 2282-A",,Cantieri Navali,"Pensioni e Locande,",151,True
Ceccato Aldo,D. Duro 2885,,Cantieri Navali,"Pensioni e Locande,",151,True
Cugo Aldo,D. Duro 2885,,S. Marco 2553,"Pensioni e Locande,",151,True
"Consorzio sociale ""Il Montello """,D. Duro 2885,Cannaregio,5999,"Pensioni e Locande,",151,False
Cooperativa Trasporti A.L.F.A.,"S. Marco, 2781",,Cantieri Navali,"Pensioni e Locande,",151,True
Fuzzi Amos,"S. Marco, 2781",Cannaregio,5396,"Pensioni e Locande,",151,False
Fabbri Nello,Via Garibaldi,Marghera,38,"Pensioni e Locande,",151,False
F.lli Doninchellelli,Via Garibaldi,Marghera,"S. Marco, 4791","Pensioni e Locande,",151,False
Funivie Aeree Italiane Turistiche e FATI,Via Garibaldi,Marghera,"S. Marco, 3348","Pensioni e Locande,",151,False
G.A.M.A. Gestione Agenzie Marittime,Via Garibaldi,Marghera,"San Marco, 1955","Pensioni e Locande,",151,False
Giacomo Paolo,Via Garibaldi,Marghera,S. Polo 1795,"Pensioni e Locande,",151,False
I.B.U.S.A., Agenzia di viaggi delle FF. SS. Ugherseesi,Marghera,Cantieri Navali,"S. Marco, 43, ",151,False
Idromeorvici de Nicolai Luigi,Agenzia di viaggi delle FF. SS. Ugherseesi,Marghera,S. Marco 3463,"Pensioni e Locande,",151,False
La Marittima S. A. di Spedizioni,Agenzia di viaggi delle FF. SS. Ugherseesi,Marghera,"S. Marco, 3941","Pensioni e Locande,",151,False
L'Artigiana Trasporti di Busetto & C.,Via Gorizia,S. Elena,6,"Pensioni e Locande,",151,False
La Veloce S. A. Sede Venezia,S. Lio 3568,Marghera,Tel. 22-125," Servizi Celori con Autotreni per Verona,  Milano,  Torino,  Genova,  Bologna,  Roma,  Ancona,  Napoli",151,False
L’Italia Fluviale S. A. per la navigazione interna,"S. Lio 3568, S. Marco 2554",,Cantieri Navali,"Pensioni e Locande,",151,True
Marangoni Gianni,"S. Lio 3568, S. Marco 2554",,"S. Marco, 553", Telefono 22-534 (fuori orario 28-938),151,True
Medail Dr. Giorgio,"S. Lio 3568, S. Marco 2554",,"S. Marco, 2670 A","Pensioni e Locande,",151,True
Molin Luigi,"Castello, 470",,Cantieri Navali,"Pensioni e Locande,",151,True
Regini Vincenzo,"Castello, 470",,"S. Marco, 4611","Pensioni e Locande,",151,True
"S.A. Forniture approvigionamente S.A.F.,",S. Marco 3848,,Cantieri Navali,"Pensioni e Locande,",151,True
"S.A. Monocette Mangi Aldritica S. A. I. S. A.,",S. Polo 3082,,Cantieri Navali,Zatterc,151,True
S.A. Panificator acquisti collettivi S.A.P. (A.),Cannaregio 2290,,Cantieri Navali,"Pensioni e Locande,",151,True
"S.A.T.I., Servizi Autotrasporti Industriali di","Castello, 470, S. Marco 3848, Cannaregio 2290",,Cantieri Navali,Mestre,151,True
"S.A. Trasporti Industriall S.A.T.I.,","S. Marco, 1925-A",,Cantieri Navali,"Pensioni e Locande,",151,True
S.A.T.T.I-L.S.,San Marco 1474,,Cantieri Navali,"Pensioni e Locande,",151,True
"S.C.A.C.I., Soc. Coop. Autotrasporti celeri internazionali,",Palazzo Bembo,Marghera,Cantieri Navali,"Pensioni e Locande,",151,False
Scarpa Antonio,Palazzo Bembo,Cannaregio,6242,"Pensioni e Locande,",151,False
Scarpa Mario,Palazzo Bembo,Marghera,S. Marco 5396,"Pensioni e Locande,",151,False
Silvestri Bruno,Palazzo Bembo,Marghera,S. Marco 1475,"Pensioni e Locande,",151,False
Soc. An. Gestione Autorimesse,S. Marco. 181-A,,Cantieri Navali,"Pensioni e Locande,",151,True
Soc. An. Industriale S. A.,S. Marco 3870,,Cantieri Navali,"Pensioni e Locande,",151,True
Soc. An. Veneziana Autotrasporti,Calle della Fava 5598,Marghera,Cantieri Navali,"Pensioni e Locande,",151,False
Società Imprese Africane,Calle della Fava 5598,Marghera,S. Polo 2990,"Pensioni e Locande,",151,False
"Sede: VENEZIA - S. Lio, Calle della Fava n. 5598 - Tel. 22-125 Deposito:	MESTRE-MARGHERA - Telefono 50-817 Agenzie:	MILANO - Via Vittorio Emanuele n. 37 - Telefono 76-598	GENOVA - Via Roccagliata Ceccardi 3-8 - Telef. 581-748",Calle della Fava 5598,Corrispondenti: in tutte le città d’Italia,LA VELOCE..,"Pensioni e Locande,",151,False
