Name,Address,Location,Role,Profession,page
S. E. prof. N. Jorga,Santa Fosca 2214,CASA RUMENA DI VENEZIA,Direttore,",",82
Managoni gr. uff. ing. Luigi,D. Duro numero 178,SOC. DEGLI AMICI DEI MONUMENTI,Presidente,",",82
Vianello Chiodo avv. Mario,D. Duro numero 178,SOC. DEGLI AMICI DEI MONUMENTI,Segretario,",",82
rag. Guido Battistello,"San Luca, clle. Locande, 4299",ENTE COMUNALE DI ASSISTENZA,Comitato di Amministrazione,Presidente,82
prof. dott. Amedeo Gottardi,"San Luca, clle. Locande, 4299",ENTE COMUNALE DI ASSISTENZA,Membri,",",82
dr. Mario Bataini,"San Luca, clle. Locande, 4299",ENTE COMUNALE DI ASSISTENZA,Membri,",",82
Alessandro Vittadello,"San Luca, clle. Locande, 4299",ENTE COMUNALE DI ASSISTENZA,Membri,",",82
prof Manlio Torquato Dazzi,"San Luca, clle. Locande, 4299",ENTE COMUNALE DI ASSISTENZA,Membri,",",82
rag. Penso Vincenzo,"San Luca, clle. Locande, 4299",ENTE COMUNALE DI ASSISTENZA,Membri,",",82
rag. Clusse Sarpellon,"San Luca, clle. Locande, 4299",ENTE COMUNALE DI ASSISTENZA,Membri,",",82
Anna Maria Cometti Fabris,"San Luca, clle. Locande, 4299",ENTE COMUNALE DI ASSISTENZA,Membri,",",82
Libetta Spina Michiagnioli,"San Luca, clle. Locande, 4299",ENTE COMUNALE DI ASSISTENZA,Membri,",",82
avv. Gastone Rasi,"San Luca, clle. Locande, 4299",ENTE COMUNALE DI ASSISTENZA,Membri,",",82
dr. Aldo Rocchi,"San Luca, clle. Locande, 4299",ENTE COMUNALE DI ASSISTENZA,Membri,",",82
avv. Renzo Sullam,"San Luca, clle. Locande, 4299",ENTE COMUNALE DI ASSISTENZA,Membri,",",82
Bruno De Grandis,"San Luca, clle. Locande, 4299",ENTE COMUNALE DI ASSISTENZA,Membri,",",82
Marchese av. de Gregorio Salvatore,"San Luca, clle. Locande, 4299",ENTE COMUNALE DI ASSISTENZA,Uffici Centrali,Segretario Direttore generale,82
avv. Majoli Mario,"San Luca, clle. Locande, 4299",ENTE COMUNALE DI ASSISTENZA,Uffici Centrali,Vice Segret. Direttore Generale,82
rag. prof. Cappello Ugo,"San Luca, clle. Locande, 4299",ENTE COMUNALE DI ASSISTENZA,Uffici Centrali,Ragioniere Capo,82
rag. Barucco Romeo,"San Luca, clle. Locande, 4299",ENTE COMUNALE DI ASSISTENZA,Uffici Centrali,Vice rag. capo,82
rag. Da Venezia Mario,"San Luca, clle. Locande, 4299",ENTE COMUNALE DI ASSISTENZA,Uffici Centrali,Ragionieri capi sezione,82
Dr. Rubbi Bruno,"San Luca, clle. Locande, 4299",ENTE COMUNALE DI ASSISTENZA,Uffici Centrali,Ragionieri capi sezione,82
arch. comm. Rubini Giovanni,"San Luca, clle. Locande, 4299",ENTE COMUNALE DI ASSISTENZA,Uffici Centrali,Capo uff. Tecnico,82
Perito industriale,"San Luca, clle. Locande, 4299",ENTE COMUNALE DI ASSISTENZA,,"Uffici Centrali, Aiutanti tecnici",82
sig. Gasati Mario,"San Luca, clle. Locande, 4299",ENTE COMUNALE DI ASSISTENZA,Uffici Centrali,Perito industriale,82
Dr. Trovo Olimpio,"San Luca, clle. Locande, 4299",ENTE COMUNALE DI ASSISTENZA,Uffici Centrali,Capo uff. Agrario,82
Allegreto Ermeneqildo,"San Luca, clle. Locande, 4299",ENTE COMUNALE DI ASSISTENZA,Uffici Centrali,Cancellista capo,82
Tura cav. Silvio,"San Luca, clle. Locande, 4299",ENTE COMUNALE DI ASSISTENZA,Uffici Centrali,Tesoriere,82
Savona rag. Riccardo,"San Luca, clle. Locande, 4299",ENTE COMUNALE DI ASSISTENZA,Uffici Centrali,Vice tesoriere,82
Nadin Ruggero,"San Luca, clle. Locande, 4299",ENTE COMUNALE DI ASSISTENZA,Uffici Centrali,Economo,82
rag. Bertotto Bruno,"San Luca, clle. Locande, 4299",ENTE COMUNALE DI ASSISTENZA,Uffici Centrali,Vice Economo,82
Piccardo prof. Luigi,Lista di Spagna numero 168,ORFANOTROFIO MASCHILE E ISTITUTO MANIN MASCHILE,Direttore,",",82
Chiappini Ferdinando,Lista di Spagna numero 168,ORFANOTROFIO MASCHILE E ISTITUTO MANIN MASCHILE,Maestro di musica,",",82
Rinaldo prof. Lorenzo,Lista di Spagna numero 168,ORFANOTROFIO MASCHILE E ISTITUTO MANIN MASCHILE,Maestro di disegno,",",82
Suor Carmelita Trotti,"Giudecca, fdm. Zitelle",ZITELLE ORFANOTROFIO E MANIN MASCHILE,Direttrice,",",82
Suor Carmelita Trotti,Cannaregio 891,ISTITUTO PENITENTI,Direttrice,",",82
dr. Vidlotti,Cannaregio 891,ISTITUTO PENITENTI,Medico,",",82
Vicentini Suor Maria,"Giudecca, Campo Marte 547",ISTIT. PER L’INFANZIA ABBANDONATA,Direttrice,",",82
Carnesechi dr. Cesco,"Giudecca, Campo Marte 547",ISTIT. PER L’INFANZIA ABBANDONATA,Medico,",",82
Bastianini suor Beatrice,Riva dei Schiavoni 2182,ISTITUTO CA’ DI DIO,Superiora,",",82
Saccardo cav. dr. Giuseppe,Riva dei Schiavoni 2182,ISTITUTO CA’ DI DIO,Medico,",",82
Dr. Zozi don Nicola,Riva dei Schiavoni 2182,ISTITUTO CA’ DI DIO,Rettore Spirituale,",",82
Giansuelli Umberto,Riva dei Schiavoni 2182,ASILO PER MINORENNI S. GIROLAMO,Dirigente,",",82
Piercesa cav. Iginio,S.S. Giovanni e Paolo 6691,CASA DI RICOVERO,Direttore,",",82
Vannello dr. Giovanni,S.S. Giovanni e Paolo 6691,CASA DI RICOVERO,Medico dirigente,",",82
,S.S. Giovanni e Paolo 6691,DORMITORI PUBBLICI,"a Saccomani m: fdm, S. Girolamo 3101.","Asilo e Morioni n. S. Francesco della Vigna, numero 2951",82
,S.S. Giovanni e Paolo 6691,DORMITORI PUBBLICI,a Pane Quotidiano m. S. Zaccaria 4224.,"Ispettore Onorario, prof. Amedeo Gottardi",82
,S.S. Giovanni e Paolo 6691,Castello, S. Lorenzo 4978,",",82
,S.S. Giovanni e Paolo 6691,S. Marco e S. Elena,,",",82
,S.S. Giovanni e Paolo 6691,Cannaregio, Rio Terra Farsetti 1848,",",82
,S.S. Giovanni e Paolo 6691,Dorsoduro, Cà Foscari 3253," anche per Giudecca, , ",82
,S.S. Giovanni e Paolo 6691,Santa Croce, Campo Nazario Sauro 980," anche per S. Polo, , ",82
,"S.S. Giovanni e Paolo 6691, Murano: fdm. Culleoni 5",FRAZIONI,,",",82
,"S.S. Giovanni e Paolo 6691, Murano: fdm. Culleoni 5",Burano: Calle Pistoria,,",",82
,"S.S. Giovanni e Paolo 6691, Murano: fdm. Culleoni 5",Pellestrina: Scuole Comunali,,",",82
,"S.S. Giovanni e Paolo 6691, Murano: fdm. Culleoni 5",S. Pietro in Volta: Scuole Comunali,,",",82
,"S.S. Giovanni e Paolo 6691, Murano: fdm. Culleoni 5",Treporti: Cavallino,,",",82
Malamocco,"S.S. Giovanni e Paolo 6691, Murano: fdm. Culleoni 5",FRAZIONI,,",",82
