Name,Role,Address,Location,Profession,Additional Info,page
D’Udine dr. Virgilio,Dirigente,San Luca 4041,,al Porto di Venezia,",",54
Coglitore dr. Luigi,Dirigente,San Luca 4041,,al Porto di Venezia,",",54
Cortelli dr. Mario,Dirigente,San Luca 4041,,al Porto di Venezia,",",54
Andriulli dr. Ennio,Dirigente,San Luca 4041,,al Porto di Venezia,",",54
Marino dr. Vincenzo,Dirigente,San Luca 4041,,al Porto di Venezia,",",54
Mazzoni Cav. Uff. dr. Renato,Dirigente,San Luca 4041,,al Porto di Venezia,",",54
Grossi dr. Tommaso,Addetto,San Luca 4041,,al Porto di Venezia,",",54
Parascandolo Comm. dr. Alberto,Dirigente,San Luca 4041,,al Porto di Venezia,",",54
Papa dr. Elia,Dirigente,San Luca 4041,,al Porto di Venezia,",",54
Antonini dr. Alfredo,Primo presidente,San Luca 4041,,al Porto di Venezia,", ,",54
Pellegrini dr. Gilberto,Presidente di Sezione,San Luca 4041,,al Porto di Venezia,Civile,54
Guzzettata dr. Mario,Consigliere,San Luca 4041,,al Porto di Venezia,Civile,54
Carlini dr. Ovidio,Consigliere,San Luca 4041,,al Porto di Venezia,Civile,54
Tilli dr. Alfredo,Consigliere,San Luca 4041,,al Porto di Venezia,Civile,54
Bellano dr. Giuseppe,Consigliere,San Luca 4041,Incaricato della supplenza del Presidente del Tribunale di Venezia,al Porto di Venezia,Civile,54
Groppa dr. Nicola,Consigliere,San Luca 4041,,al Porto di Venezia,Civile,54
Pisani dr. Guido,Consigliere,San Luca 4041,,al Porto di Venezia,Civile,54
Cabrini dr. Aldo,Consigliere,San Luca 4041,,al Porto di Venezia,Civile,54
Presutti dr. Ferdinando,Presidente di Sezione,San Luca 4041,,al Porto di Venezia,Seconda promiscua,54
Giocoli dr. Lorenzo,Consigliere,San Luca 4041,,al Porto di Venezia,Seconda promiscua,54
De Carli dr. Giulio,Consigliere,San Luca 4041,,al Porto di Venezia,Seconda promiscua,54
Guerrazzi dr. Guerrazzo,Consigliere,San Luca 4041,,al Porto di Venezia,Seconda promiscua,54
Di Mascio dr. Orazio,Consigliere,San Luca 4041,,al Porto di Venezia,Seconda promiscua,54
Sciacatti dr. Orazio,Consigliere,San Luca 4041,Funziona da Presidente del Tribunale per i minorenni,al Porto di Venezia,Seconda promiscua,54
Zink dr. Pietro,Consigliere,San Luca 4041,,al Porto di Venezia,Seconda promiscua,54
Grieb dr. Tommaso,Consigliere,San Luca 4041,,al Porto di Venezia,Seconda promiscua,54
Tissi dr. Guido,Presidente di Sezione,San Luca 4041,,al Porto di Venezia,Terza penale,54
