Name,Address,Location,Category,Additional Info,page
Refrattari Laterizi e Calce,"San Luca 4182, San Marco 1835",Giudecca,Refrattari - laterizi e calce,S. a. r. l.,281
« RIV » Officina di Villar Perosa,Campo Manin 4251,Giudecca,Registratori di cassa,"Refrettari, ,",281
S. A. Registratori di Cassa « National »,Campo Manin 4251,calle dei Fuseri,Registratori di cassa,"Refrettari, ,",281
"« S.A.E. » Società Applicazioni Elettrotecniche, F.lli Siliprandi Chiesa & C.",Campo Manin 4251,Giudecca,"Strumenti per la misura, la regolazione e la registrazione delle temperature",Milano,281
Luigi Jagher,"Castello, S. Lio 5685",Venezia,Regolatori di temperatura,Agente,281
Donaggio G. e F.lli,Castello 2142,Giudecca,Reti e articoli da pesca,"cordami, spaghi, filati. Reti",281
Trevisan Teresa,Cannaregio 149,Giudecca,Reti e articoli da pesca,"Refrettari, ,",281
Orio Emilio,"Cannaregio 149, valle Piata 3695",Giudecca,Reti metalliche,"Stufe, Cucine economiche, Fabbrica Letti, Reti, Brande Turche | Bragara",281
Berti,"S. Marco, calle Goldoni 4487",Giudecca,"Biancheria fine per signora finita e su commissioni, Corredi, Ricami a mano",di fronte Hotel Bonvecchiati,281
Leardini Ignazio,"Fond. S. Lorenzo, 5107",Giudecca,Ricami artistici,"Guanti, Pizzi, Ricami a mano, Esportazione",281
« Aster » Detective,"San Stefano, Corte delle Pizzocchere 3515",Giudecca,Ricerche,"Istituto di Informazioni e di Investigazioni, Ricerche",281
Ricerche e Gestioni Minerarie. Soc. a. r. l.,Campo S. Polo 1957,Giudecca,Ricerche minerarie,"Refrettari, ,",281
« AIMER » Azienda Lavori Navali e Recuperi,Via delle Industrie 9,Marghera,Recuperi autarchici,"Refrettari, ,",281
Ditta Barone Luigi,Piazza Umberto I,Mestre,Recuperi autarchici,"Refrettari, ,",281
Ditta Valenti Mario,Via Rossa 18,Mestre,Recuperi detriti carbone ceneraccio,"Refrettari, ,",281
"Azienda Recuperi Marittimi delle Imprese Associate Ing. E. Contri., A. Pietropoli, A. Ciulatti Ziliiì","Via Torre Belfredo, Via Case Nuove 1",Mestre,Ricuperi marittimi,"Refrettari, ,",281
Bonaldo Ermengildo e Noè Giacomo,Santa Croce 422 E,Giudecca,Ricuperi marittimi,"Refrettari, ,",281
Cableas,Santa Croce 422 E,P. Umberto I,Mestre,Catrami Bitumi Asfalti dell'ing. Umberto Loprete,281
Gabrielli Pietro,S. Marco 2569,Giudecca,Ricuperi marittimi,"Refrettari, ,",281
Recuperi Marittimi,San Marco 775,Giudecca,Ricuperi marittimi,Società a. r. l.,281
Società Cooperativa Lavori e Ricuperi Marittimi e fluviali a. r. l.,Via Gaspure Gozzi 14,Mestre,Ricuperi marittimi,"Refrettari, ,",281
Soc. Marittima ricuperi,"Via Gaspure Gozzi 14, Piazza Umberto I 79",Giudecca,Mestre,Ma Re. Soc. in nome coll.,281
Bassani S. A., S. Marco 2414,Giudecca,Ricuperi navali,gia Pardo e Bassani,281
Cantieri Navali Piccini S. A.,Via 22 Marzo 2382 A,Giudecca,Ricuperi navali,"Refrettari, ,",281
Corisa Compagnia Recuperi e Salvataaggi,S. Marco 181,Giudecca,Ricuperi navali,"Refrettari, ,",281
De Apollonia Ettore,S. Marco 860,Giudecca,Ricuperi navali,"Refrettari, ,",281
Fabrio Livio,Via Vallon 14,Mestre,Ricuperi navali,"Refrettari, ,",281
Foccardi Giovanni,Castello 1455,Giudecca,Ricuperi navali,"Refrettari, ,",281
Gruppo O-meggiatori del Porto,Dorsoduro 1510,Giudecca,Ricuperi navali,"Refrettari, ,",281
La marittima S. A. dispedizione,S. Marco 3941,Giudecca,Ricuperi navali,"Refrettari, ,",281
L'Italia Fluviale S. A. per la Navigazione Interna,San Marco 2554,Giudecca,Ricuperi navali,"Refrettari, ,",281
Luccheese Achille,Corte Grandi,Giudecca,Ricuperi navali,"Refrettari, ,",281
Padovan Giulio,Castello 1708,Giudecca,Ricuperi navali,"Refrettari, ,",281
Pagan Giuseppe Officine Navali Meccaniche Veneziane,Giudecca Sacca Fisola,Giudecca,Ricuperi navali,"Refrettari, ,",281
Perisco Orlando,S. Marco 2474,Giudecca,Ricuperi navali,"Refrettari, ,",281
Quagliato Giuseppe,Castello 2577,Giudecca,Ricuperi navali,"Refrettari, ,",281
Rosada Antonio e Figli,Dorsoduro 202,Giudecca,Ricuperi navali,"Refrettari, ,",281
Salpavani Soc. per az,Dorsoduro 351,Giudecca,Ricuperi navali,"Refrettari, ,",281
Salvagno Anomina di navigazioni S. A. N.,S. Marco 1463,Giudecca,Ricuperi navali,"Refrettari, ,",281
Salvagno Gino e Egidio,S. Marco 1463,Giudecca,Ricuperi navali,"Refrettari, ,",281
« SARINA » Soc. Adriatica ricuperi navali,S. Luca 4590,Giudecca,Ricuperi navali,"Refrettari, ,",281
SITRA,S. Luca 4590,Venezia,Ricuperi navali,Sindacato Impresa Trasporti Ricuperi e Ricostruzioni attività varie | Soc. a. r. l.,281
Soc. An. Fervore,San Marco 2510,Giudecca,Ricuperi navali,"Refrettari, ,",281
Soc. An. Lavori Navali,S. Marco 1497,Giudecca,Ricuperi navali,"Refrettari, ,",281
Palma e Foncielli,S. Marco 1497,Porto Marittimo,Rimorchiatori,Scomenza,281
Panfiòo e C.,S Marco 1382,Giudecca,Rimorchiatori,"Refrettari, ,",281
Radonicich G.,Calle Vallaresso,Giudecca,Rimorchiatori,"Refrettari, ,",281
Rosada Antonio,Castello 3691,Giudecca,Rimorchiatori,"Refrettari, ,",281
« Veneta Rimorchaitori »,S. Marco 3655,Giudecca,Rimorchiatori,"Refrettari, ,",281
duse,"Via XXII Marzo, 2288",VENEZIA,MOBILI PER UFFICIO,SCHIEDARI • MACCHINE CONTABILI • MACCHINE PER SCRIVERE • DUPLICATORI • ACCESSORI • Telefono 25-889,281
