Name,Address,Location,Category,Additional Info,page,location_cleaned
SAN GIORGIO Società Ind. par Az. Gener. Vetstri,"Corso del Popolo, 1",Padova,Agenzie di trasporto,"Agenzia di Padova: Ditta Michele Trappetti,  Tutto il materiale per impianti di riscaldamento",219,False
S.T.I.E.A.,Santa Croce 960,,Agenzie di trasporto,"Impianti di segnalazioni marittime acustiche e luminose, | di U. Fiory e C.",219,True
Ferraboschi Silvio,"Corso del Popolo, 1, Santa Croce 960",Venezia,Agenzie di trasporto,Impianti Costruzioni Elettriche Industriali,219,False
Gimarosti e Fabris,Via Cattapan 37,Mestre,Impianti sanitari e idraulici,(fabbriche),219,False
Crovato Antonio,S. M. Formosa 5853.54,,Agenzie di trasporto,(fabbriche),219,True
Fanelo Adolfo di Fanelo rag. Mario,Ponte della Guerra 5386.70,Murano,Idraullici," Gas,  Piastrelle,  Metalli",219,False
Giacchetti Enrico (ditta) di Patero Carlo,S. Trovaso 1175,,Agenzie di trasporto,(fabbriche),219,True
Isabella I. e P. (Ditta),"Campiello Riccardo Selvatico, 5888",Murano,Agenzie di trasporto,"Uffici,  Negozio,  Officina",219,False
Isabella Alberto (ditta),S. Luca 4606,,Agenzie di trasporto,(fabbriche),219,True
Longega Francesco,S. Polo 1901,Murano,Agenzie di trasporto,(fabbriche),219,False
Oliva e C. s. r. l.,Ponte della Verona 3872,S. Fantin,Impianti Elettrici," I. drraulici,  Sanitari,  Offcina di riparazioni",219,False
Peroni Antonio,Via Piave 68,Mestre,Agenzie di trasporto,(fabbriche),219,False
S. A. Giuseppe De Micheli & C.,S. Luca 4580,,Impianti riscaldamento," Sanitari,  Lavanderie Meccaniche,  Condizionamento d'aria,  Cucine,  Costruzioni meocaniche,  Sede e amminl- strazione: Firenze,  Piazza Stazione",219,True
Officina Elettromeccanica,"S. Luca 4580, Calle Casselleria 5326",,San Lio,"Impianti stagni,  Riparazioni Motori a Scoppio In genere,  Frigoriferi | Garbato e Scarpa",219,True
I.T.A.I. (Bertolotto),S. Polo 2540,,Impianti Telefonici Automatici interni, Autorizzata dall'Azen- da di Stato - Sede in Milano,219,True
O.R.R.T.,Castello 6072,,Officina, Riparazioni radio telefoniche Soc. e. L.,219,True
Roberti L. e Figlio,S. Marina 6072,Murano,Agenzie di trasporto,(fabbriche),219,False
Saladini dott. ing. Francesco,Via Bissuola 1,Mestre,Agenzie di trasporto,(fabbriche),219,False
A. Girioni e di Giorgio Gironi,S. Polo 1429-B,,Agenzie di trasporto,(fabbriche),219,True
Ameritalia Società per il Commercio di importazione ed esportazione,S. Polo 1429-B,,Agenzie di trasporto,S. r. l.,219,True
Azienda Commerciale Italiana Carboni,"S. Polo 1429-B, S. Marco 4023",Murano,Agenzie di trasporto,(Importaz. ghesa),219,False
Bellinato Giorgio,S. Marziale 2497,,Agenzie di trasporto,C. P. 247,219,True
Bettinato Uberaldo,Cannaregio 3582,,Agenzie di trasporto,"specialità veneziane,  vetri",219,True
Bottoni Romolo e C. Succ. Bottoni Aderito,"Cp. SS. Apostoli, 4690",,Agenzie di trasporto,C. P. 334,219,True
Busetto Severino,Cannaregio 4245,,Agenzie di trasporto,(droghe),219,True
Carbone Comm. Achille,Castello 46,Murano,Agenzie di trasporto,(fabbriche),219,False
Collalto Annibale,S. Marco 3629,,Agenzie di trasporto,"specialità veneziane riviste,  giornali",219,True
Commercio Nafta S. A.,S. Marco 4232,,Agenzie di trasporto,nafta e combustibili liquidi ed affini,219,True
Compagnia Adriatica Commerciale dott. Zavaretti S. Caberlotto e C.,S. Marco 4232,,Agenzie di trasporto,"prodotti chimici, lubrificanti, alimentari, carburanti, Riva Litorria",219,True
Damaini e GioGio S. A.,S. Luca 4267-A,,Agenzie di trasporto,prodotti petroliferi,219,True
De Gobbis Guido e Figli,"S. Luca 4267-A, S. Marco 1497",,Agenzie di trasporto,"macchinari,  tessili,  articoli di abbigliamento",219,True
Importazione medicinali e affini soc. s. r. l.,Рамо Сalle S. Antonio 4661,,Agenzie di trasporto,(fabbriche),219,True
„ La Mezzanlcle ” Azienda Veneta Rappresentanze,"S. Luca 4267-A, S. Marco 1497, S. Marco 2887",S. Marco,Agenzie di trasporto,"Commerciali Industriali,  Ramo Calle S. Antonio 4661",219,False
Lempertt Ernesto,Via- XXII Marzo 2405,Murano,Agenzie di trasporto,(alimentari),219,False
Marochetto A. & S.,San Moisè 2155,Murano,Agenzie di trasporto,Telefono 296.2.,219,False
Paolini Villani e C. Soc. c. r. l.,S. Marco 5042,Murano,Agenzie di trasporto,"(droghe,  prodotti chimici)",219,False
Picerno V. A. e C.,"Lido, Riviera, San Nicolo 1.817",Murano,Agenzie di trasporto,"coloniali,  droghe,  medicinali,  prodotti chimici",219,False
„ Piurno ” Soc. a. r. 1.,Cannaregio 2334,,Agenzie di trasporto,"alimentari,  coloniali,  droghe",219,True
Scarpa Agostino,Dorsod. 1369,Murano,Agenzie di trasporto,(legnami),219,False
S.C.I.A.,"Dorsod. 1369, S. Polo 2680",Murano,Agenzie di trasporto,"(carburanti,  olii minerali e lubrificanti)",219,False
Sbusland Lodovico e Figli S. A.,S. Marco 3356,,Agenzie di trasporto,"(caffè,  droghe,  coloniali)",219,True
Zanon Ferruccio,"S. Polo, 1479",,Agenzie di trasporto,"Importazione, Esportazione Frutta e verdura, Forniture Marittime Alberghiere, Telegrammi: Zanron, Albe Apporatori",219,True
ZAGO F. LLI,"S. Polo, 1479",,ZAGO F. LLI,"Ritratti artistici,  Lavori industriali",219,True
