Name,Address,Location,Role,Profession,Additional Info,page
Dall'Asta rag. Aldo,VENEZIA • Via XXII Marzo,VENEZIA,Presidente Provinciale,mobilere-arredatore,",",68
Selva Agostino,VENEZIA • Via XXII Marzo,VENEZIA,Vice Presidente,installatore d'impianti,",",68
Chiesa Ubaldo,VENEZIA • Via XXII Marzo,VENEZIA,Consigliere,calzolaio,Abbigliamento,68
Spaliviero Umberto,VENEZIA • Via XXII Marzo,VENEZIA,Consigliere,zignografo,Arti decorative,68
Lazzari Giacomo,VENEZIA • Via XXII Marzo,VENEZIA,Consigliere,elettromeccanico,Meccanica,68
Pialon Giovanni,VENEZIA • Via XXII Marzo,VENEZIA,Consigliere,capo mastro,Edilizia,68
Pellarin Giulio,VENEZIA • Via XXII Marzo,VENEZIA,Consigliere,falegname,Arredamento,68
Fracasso Antonio,VENEZIA • Via XXII Marzo,Dolo,Consigliere Mandamento,fabbro meccanico,",",68
Massuato Giuseppe,VENEZIA • Via XXII Marzo,Mirano,Consigliere Mandamento,elettricista,",",68
Cadamuro Morgante,VENEZIA • Via XXII Marzo,Portogruaro,Consigliere Mandamento,fotografo,",",68
Contiero Giuseppe,VENEZIA • Via XXII Marzo,Cavarzere,Consigliere Mandamento,fabbro,",",68
Penso Raimondo,VENEZIA • Via XXII Marzo,Chioggia,Presidente Ass.,mobilere,",",68
Dalla Francesca Nicodemo,VENEZIA • Via XXII Marzo,S. Donà di Piave,Presidente Ass.,elettrotecnico,",",68
Gasparini Bruno,VENEZIA • Via XXII Marzo,Mestre,Presidente Ass.,mobilere,",",68
Pivato gr. uff. dott. Marcello,VENEZIA • Via XXII Marzo,,Presidente,",",",",68
avv. Celeste Bastinetto,VENEZIA • Via XXII Marzo,,Presidente,",",",",68
dr. Bruno Giunchi,VENEZIA • Via XXII Marzo,,Direttore,",",",",68
on. Guido Giacometti,VENEZIA • Via XXII Marzo,"Palazzo Bumbo, Riva del Carbon",Presidente,",",",",68
Umberto Nicolazzi,VENEZIA • Via XXII Marzo,"Palazzo Bumbo, Riva del Carbon",Segretario,",",",",68
On. Guido Giacometti,VENEZIA • Via XXII Marzo,Palazzo Bembo - Riva del Carbon,Presidente,",",",",68
Ing. Enrico Baldi,VENEZIA • Via XXII Marzo,Palazzo Bembo - Riva del Carbon,Vice Presidente,",",",",68
Umberto Nicolazzi,VENEZIA • Via XXII Marzo,Palazzo Bembo - Riva del Carbon,Segretario,",",",",68
Gianquinto avv. Gio Batta,VENEZIA • Via XXII Marzo,"S. Marco, Calle degli Avvocati",Presidente,",",",",68
Rinaldo ing. Colombo,VENEZIA • Via XXII Marzo,"S. Marco, Calle degli Avvocati",Consigliere,",",",",68
Filippi Eugenio,VENEZIA • Via XXII Marzo,"S. Marco, Calle degli Avvocati",Segretario,",",",",68
Eugenio Sandhois,VENEZIA • Via XXII Marzo,,Presidente,",",",",68
Ammiraglio Carlo De' Bei,VENEZIA • Via XXII Marzo,,Presidente,",",",",68
Gelli Oscar,VENEZIA • Via XXII Marzo,,Direttore,",",",",68
Galliadi Gino,VENEZIA • Via XXII Marzo,,Ispettore,",",",",68
dr. Gino Galliardi,VENEZIA • Via XXII Marzo,S. Leonardo,Direttore,",",",",68
duse,"VENEZIA • Via XXII Marzo, 2288",S. Leonardo,Gestione Raggruppamento Autocarri,",",Forniture complete MOBILI • ACCESSORI per UFFICIO,68
