Name,Address,Location,Category,Additional Info,page,location_cleaned
Olivetti Ing. C. & C. S. p. A.,"Venezia - Castello - Salizzada dei Greci 3306, 1218",,Macchine contabili,"Macchine per scrivere da ufficio e portatili,  Macchine contabili,  Scheda-rti visibili orizzontali synthesis. | Bacino Orseolo",238,True
Toppo Adriano, Castello 2684,,Addizionatrici," Calcolatrici,  Macchine Contabili,  Agricole,  Utensili,  Enologiche,  da Scrivere,  ecc.: Tel. 23-285",238,True
Caretstein Zenith, S. Marco 711,,Macchine contabili,",",238,True
duse, S. Marco 2288,,Macchine contabili,",",238,True
Olivetti C. e O. Soc. An.,S. Marco 2288,,Macchine contabili,Bacino Orseolo,238,True
Capanna Giovanni, S. Marco 976,,Macchine cinematografiche,",",238,True
Società Anonima Cimeconcaina, Dorsoduro 3909,,Macchine cinematografiche,",",238,True
Veronesi Augusto, Dorsoduro 3593,Marghera,Macchine cinematografiche,",",238,False
Barzaghi Piero, Via Allegri,Mestre,Macchine da cucire e accessori,",",238,False
Brunello Bortolo, Cannaregio 2101,,Macchine da cucire e accessori,",",238,True
Compagnia «Singer»,"""S. Marco 4929, 180""",,Macchine da cucire e accessori,",",238,True
Danesin Carlo, Via Caneva 24,Mestre,Macchine da cucire e accessori,",",238,False
Masetto Giuseppe, S. Croce 2346-B,,Macchine da cucire e accessori,",",238,True
Santini Vittorio, S. Polo 1411,,Macchine da cucire e accessori,",",238,True
"S.I.R.I. concessionaria ""Necchi""", S. Moisè 1477,Marghera,per l'industria," per l'artigianato,  per la famiglia: Tel. 22-877,  Mestre,  Via Piave,  62,  Tel. 31-373,  Chioggia: Corso Vitt. Em. n. 1203",238,False
Tommasina Mario, S. Marco 4606,,Macchine da cucire e accessori,",",238,True
Walter Pacifico, Cannaregio 4317,,Macchine da cucire e accessori,",",238,True
Cercato Giuseppe e Petiziol Ottorino, v. Ospedale 27,Mestre,Macchine elettriche,",",238,False
Officina Galileo,v. Ospedale 27, Porto Marghera, v. Fratelli Bandiera 5,", | S. A.",238,False
Santi Silvio, via D. Manin 41,Mestre,Macchine elettriche,",",238,False
Del Sole Romolo, 8, Nicolò,Lido,",",238,False
Francesconi Carlino, Via Cappuccina 40,Mestre,Macchine elettriche industriali e motori,",",238,False
Toppo Adriano, Castello 2684,,Addizionatrici," Calcolatrici,  Macchine Contabili,  Agricole,  Utensili,  Enologiche,  da Scrivere,  ecc.: Tel. 23-285",238,True
Sidrotecnica Veneta di Giuseppe Sacco,"Via Piave, 63",Marghera,Mestre,"Macchine, Utensili ad Accessori, Attrezzature complete per Garages: Tel. 50-743, Casella Postale 15",238,False
Agenzia Dubied, v. Goldoni 4482,Marghera,Toso Zita e Sara Sorelle,",",238,False
S.I.R.I. concessionaria „Aquila Santacott”,"v. Goldoni 4482, 1475",Marghera,Macchine per maglieria,"Macchine per maglieria rattelline agh ed accessori: Tel. 21-867; Negozi: Venezia S. Moisè,  1477,  Tel. 22-877; Mestre: Via Piave,  62,  Tel. 51-373; Chioggia: Corso Vitt. Em. 1203 | S. Moisè",238,False
Cantieri Celli S. A., Campo S. Elena 1,Marghera,Commercio motori a scoppio ed a inieizione,",",238,False
Novello Giuseppe, Cannaregio 5893,Marghera,Macchine e motori,",",238,False
"S.I.R.I. concessionaria ""Protari""","Cannaregio 5893, 1477",Marghera,Macchine per riammagliare calze,"Apparecchi ""Milano"" per riammagliare calze: Tel. 22.877,  Mestre: Via Piave,  62,  Tel. 51-373,  Chioggia: Corso Vitt. Em. 1203 | S. Moisè",238,False
Griffini rag. Rinaldo, S. Marco 2402,,Macchine per scrivere e accessori,",",238,True
