Name,Address,Location,Category,Additional Info,Profession,Role,page
Viterbo Ettore,Gonn. Dorsoduro 923,duse,MACCHINE per scrivere -- Calcolatrici - Duplicatori,"Venezia - Via XXII Marzo, 2288, Telephone: 25-889",Phone: 25.889,"* duse *,",482
Viti cav. Gino,Gonn. Dorsoduro 923,duse,MACCHINE per scrivere -- Calcolatrici - Duplicatori,"Venezia - Via XXII Marzo, 2288, Telephone: 25-889",Geometra principale del Genio Civile,"* duse *,",482
Vivan Murano Venezia S,Gonn. Dorsoduro 923, r. l.,MACCHINE per scrivere -- Calcolatrici - Duplicatori,a,vetro lavorazioni,Murano,482
Vittadello Alessandro,Gonn. Dorsoduro 923,S. Marco,confezioni,manifatture impermeabili,Phone: 25.889,"* duse *,",482
Vittor Guido,San Marco 4173,duse,bottiglieria,"Venezia - Via XXII Marzo, 2288, Telephone: 25-889",Phone: 25.889,"* duse *,",482
Vittori Aldo,Castello numero 6428,duse,pittore decoratore,"Venezia - Via XXII Marzo, 2288, Telephone: 25-889",Phone: 25.889,"* duse *,",482
Vittoria, Ponte Foscarì,duse,albergo e ristorante,"Venezia - Via XXII Marzo, 2288, Telephone: 25-889",Phone: 25.889,"* duse *,",482
Vittori Luigi,Castello 1941,duse,MACCHINE per scrivere -- Calcolatrici - Duplicatori,decoratore e pittore,Phone: 25.889,"* duse *,",482
Vittoria,Lido Via Loredan 61,duse,pensione,"Venezia - Via XXII Marzo, 2288, Telephone: 25-889",Phone: 25.889,"* duse *,",482
Vitturi Ernesto,Via Pizzo,Burano,MACCHINE per scrivere -- Calcolatrici - Duplicatori,"Venezia - Via XXII Marzo, 2288, Telephone: 25-889",cost.,"* duse *,",482
Vitturi Giuseppe,Via Pizzo,Burano,spedizioni e trasporti,"Venezia - Via XXII Marzo, 2288, Telephone: 25-889",Phone: 25.889,"* duse *,",482
Viva Ines,S. Marco numero 3055,duse,MACCHINE per scrivere -- Calcolatrici - Duplicatori,merletti e ricami,Phone: 25.889,"* duse *,",482
Vivian Antonio,Cannaregio 2352,duse,trattoria,"Venezia - Via XXII Marzo, 2288, Telephone: 25-889",Phone: 25.889,"* duse *,",482
Viviani Anna,Cannaregio 97,duse,MACCHINE per scrivere -- Calcolatrici - Duplicatori,ostetrica,Phone: 25.889,"* duse *,",482
Viviani Emma,Castello 4590,duse,MACCHINE per scrivere -- Calcolatrici - Duplicatori,bottiglieria,Phone: 25.889,"* duse *,",482
Viviani Giorgio,San Marco numero 4400,duse,MACCHINE per scrivere -- Calcolatrici - Duplicatori,rappresentante articoli elettricità,Phone: 25.889,"* duse *,",482
Viviani cav. Giovanni,Querini A Fe E Nuove numero 6575-6,duse,Segretario Società Cantorie,"Venezia - Via XXII Marzo, 2288, Telephone: 25-889",Phone: 25.889,"* duse *,",482
Viviani Luigi,Castello 1826,duse,MACCHINE per scrivere -- Calcolatrici - Duplicatori,falegname,Phone: 25.889,"* duse *,",482
Vividò s.a. r. l.,San Polo 1121,duse,MACCHINE per scrivere -- Calcolatrici - Duplicatori,rappresentanze varie,Phone: 25.889,"* duse *,",482
Vivio,San Polo 1121,duse,Mestre Piazza Umberto Primo,pensione,Phone: 25.889,"* duse *,",482
Vivenzi Giovanni,S. Polo 1571,duse,MACCHINE per scrivere -- Calcolatrici - Duplicatori,pasticceria,Phone: 25.889,"* duse *,",482
Vognini Inizi.,S. Marco 1291-1301,duse,MACCHINE per scrivere -- Calcolatrici - Duplicatori,oggetti artistici, specialità veneziane articoli sportivi," pelletterie, , ",482
Volo Candido,Lido Gran Viale 29,duse,bar,"Venezia - Via XXII Marzo, 2288, Telephone: 25-889",Phone: 25.889,"* duse *,",482
