Name,Address,Location,Role,Profession,page
Martens cav. uff. rag. Carlo,Via XXII Marzo n. 2834,Palazzo Camera di Commercio,Appalto: Società 'Trezza di Verona,Deputazione Borsa valori,53
schiavoni Tullio,Via XXII Marzo n. 2834,Palazzo Camera di Commercio,Membro effettivo,"CAMERA DI COMMERCIO,  INDUSTRIA ED AGRICOLTURA",53
Gianquinto dr. Antonio,Via XXII Marzo n. 2834,Palazzo Camera di Commercio,Membro effettivo,"CAMERA DI COMMERCIO,  INDUSTRIA ED AGRICOLTURA",53
Boschi dr. Giovanni,Via XXII Marzo n. 2834,Palazzo Camera di Commercio,Membro effettivo,"CAMERA DI COMMERCIO,  INDUSTRIA ED AGRICOLTURA",53
MarcheUo rag. Virgilio,Via XXII Marzo n. 2834,Palazzo Camera di Commercio,Membro effettivo,"CAMERA DI COMMERCIO,  INDUSTRIA ED AGRICOLTURA",53
Zattera dr. Giovanni,Via XXII Marzo n. 2834,Palazzo Camera di Commercio,Appalto: Società 'Trezza di Verona,Supplente,53
Gianna rag. Giovanni,Via XXII Marzo n. 2834,Palazzo Camera di Commercio,Appalto: Società 'Trezza di Verona,Supplente,53
Dal Pahl dr. Giuseppe,Via XXII Marzo n. 2834,Palazzo Camera di Commercio,Appalto: Società 'Trezza di Verona,Supplente,53
Pellegrinotti cav. dr. Pietro,Via XXII Marzo n. 2834,Palazzo Camera di Commercio,Presidente,Commissione del Listino,53
Bellanca cav. Giovanni,Via XXII Marzo n. 2834,Palazzo Camera di Commercio,Appalto: Società 'Trezza di Verona,Commissione del Listino,53
Ghislieri rag. Giorgio,Via XXII Marzo n. 2834,Palazzo Camera di Commercio,Appalto: Società 'Trezza di Verona,Commissione del Listino,53
Squarzig cav. Alessandro,Via XXII Marzo n. 2834,Palazzo Camera di Commercio,Appalto: Società 'Trezza di Verona,Commissione del Listino,53
Tamburlini Giuseppe,Via XXII Marzo n. 2834,Palazzo Camera di Commercio,Appalto: Società 'Trezza di Verona,Commissione del Listino,53
Pr. Ettore Da Molin,Via XXII Marzo n. 2834,Palazzo Camera di Commercio,Presidente,Padova,53
Avv. Gastone Polacco,Via XXII Marzo n. 2834,Ruga de Pozzi,Segretario,UNIONE REGIONALE CAMERE DI COMMERCIO DELLE VENEZIE,53
Lardera rag. Ettore,Via XXII Marzo n. 2834,Palazzo Camera di Commercio,Capo Ufficio,ISTITUTO NAZIONALE PER IL COMMERCIO ESTERO,53
Gambarin prof. Giovanni,Via XXII Marzo n. 2032,Palazzo Camera di Commercio,Appalto: Società 'Trezza di Verona,Commissario Straordinario,53
Mezza dr. uff. dr. Oreste,Fondamenta S. Lorenzo n. 1355,Palazzo Camera di Commercio,Questore,Questura,53
Palmisano Comm. dr. Luigi,Fondamenta S. Lorenzo n. 1355,Palazzo Camera di Commercio,Vice Questore,Questura,53
Comm. Agg. Serta dr. Angelo,Fondamenta S. Lorenzo n. 1355,Palazzo Camera di Commercio,Capo Gabinetto,Divisione I.a,53
V. Comm. Turr dr. Davide,Fondamenta S. Lorenzo n. 1355,Palazzo Camera di Commercio,Addetto Gabinetto,Divisione I.a,53
V. Comm. Urbano dr. Vincenzo,Fondamenta S. Lorenzo n. 1355,Palazzo Camera di Commercio,Dirigente,Ufficio Politico,53
V. Comm. Agg. Martorana dr. Celestino,Fondamenta S. Lorenzo n. 1355,Palazzo Camera di Commercio,Addetto,Ufficio Politico,53
V. Comm. Agg. Zaurno dr. Giovanni,Fondamenta S. Lorenzo n. 1355,Palazzo Camera di Commercio,Addetto,Ufficio Politico,53
Grazzi dr. Giovanni,Fondamenta S. Lorenzo n. 1355,Palazzo Camera di Commercio,Ufficio Stranieri,Comm. Agg.,53
Comm. Vianelli dr. Umberto,Fondamenta S. Lorenzo n. 1355,Palazzo Camera di Commercio,Dirigente,Divisione II.a,53
Comm. Dattilo dr. Gustavo,Fondamenta S. Lorenzo n. 1355,Palazzo Camera di Commercio,Dirigente,Squadra Mobile,53
V. Comm. Musumeci dr. Angelo,Fondamenta S. Lorenzo n. 1355,Palazzo Camera di Commercio,Addetto,Seconda Divisione,53
V. Comm. Agg. Gebillia dr. Dante,Fondamenta S. Lorenzo n. 1355,Palazzo Camera di Commercio,Addetto,Squadra Mobile,53
V. Comm. Agg. Giorgio dr. Bernardino,Fondamenta S. Lorenzo n. 1355,Palazzo Camera di Commercio,Addetto,Squadra Mobile,53
Comm. Agg. Di Rienzo dr. Pasquale,Fondamenta S. Lorenzo n. 1355,Palazzo Camera di Commercio,Dirigente,Divisione III.a,53
Licari Cav. Giovanni,Fondamenta S. Lorenzo n. 1355,Palazzo Camera di Commercio,Comandante,Maggiore di P.S. in S.P.E.,53
Maffei Sig. Giuseppe,Fondamenta S. Lorenzo n. 1355,Palazzo Camera di Commercio,V. Comandante,Capitano di P.S. in S.P.E.,53
Del Donno Cav. Gaetano,Fondamenta S. Lorenzo n. 1355,Palazzo Camera di Commercio,Comandante,Capitano di P.S. in S.P.E.,53
Comm. Piozzi Giancane dr. Federico,Fondamenta S. Lorenzo n. 1355,Palazzo Camera di Commercio,Dirigente,Commissariato di S. Marco,53
Comm. Ianellini dr. Donenno,Fondamenta S. Lorenzo n. 1355,Palazzo Camera di Commercio,Dirigente,Commissariato di Cannaregio,53
Comm. Capo Venuto Cav. Uff. Domenico,Fondamenta S. Lorenzo n. 1355,Palazzo Camera di Commercio,Dirigente,Commissariato di S. Polo e S. Croce,53
V. Comm. Cavvari dr. Tommaso,Fondamenta S. Lorenzo n. 1355,Palazzo Camera di Commercio,Dirigente,Commissariato di Castello,53
Comm. Morsolin dr. Vittorio,Fondamenta S. Lorenzo n. 1355,Palazzo Camera di Commercio,Dirigente,Commissariato di Dorsoduro,53
Comm. Agg. Bruno dr. Oscar,Fondamenta S. Lorenzo n. 1355,Palazzo Camera di Commercio,Dirigente,Commissariato di S. Elena,53
Marchignoli ing. Luigi,Calle degli Avvocati n. 207,Palazzo Camera di Commercio,Provveditore al Porto (Reggente),Commissariato di S. Elena,53
Flamini dr. Renato,Calle degli Avvocati n. 207,Palazzo Camera di Commercio,Capo della Segreteria Centrale,Commissariato di S. Elena,53
Cerato dr. Giovanni,Calle degli Avvocati n. 207,Palazzo Camera di Commercio,Capo del Servizio Esercizio e Lavoro,Commissariato di S. Elena,53
Adami ing. Mario,Calle degli Avvocati n. 207,Palazzo Camera di Commercio,Capo dei Servizio Tecnico,Commissariato di S. Elena,53
Sartorari dr. Francesco,Calle degli Avvocati n. 207,Palazzo Camera di Commercio,Capo del Servizio Sanitario,Commissariato di S. Elena,53
Miotto Angelo,Calle degli Avvocati n. 207,Palazzo Camera di Commercio,Capo della Ragioneria,Commissariato di S. Elena,53
