Name,Address,Location,Category,Additional Info,Profession,Role,page
Piazza Giuseppe,S. Marco 4156,,AGENCY,agenzia d'affari,informazoni comm.,",",437
Piazza Giorgio,S. Croce 1207,,AGENCY,materiale per costruzioni e diliziz,Telephone: 25-889,",",437
Piazza Giovanni fu Antonio,S. Croce 2283,,AGENCY,impresa edile,Telephone: 25-889,",",437
Piazza Giovanni,"Venezia, S. Croce 1702, P. Marghera, Via Elettridità 18",,AGENCY,"Materiali per l'Edilizia, Eternit, Saloni!, Faesite, Eraclit, Pavimentazioni e Rivestimenti, Cementi o Calci",Telephone: 25-889,",",437
Piazza Giov.mi,Ognisanrti num. 1439,,AGENCY,impresa edile,Telephone: 25-889,",",437
Piazza Maddalena,D. Duro 2861,,AGENCY,ferramenta e colori,Telephone: 25-889,",",437
Piazza Marco,San Marco 4979,,AGENCY,rappresentante pellami,Telephone: 25-889,",",437
Piazza Dr. Romualdo,D. Duro 3462,,AGENCY,medicina generale,Telephone: 25-889,",",437
Piazza Vanda in Bordin,"Mestre, Piazza 27 Ottobre 60",,AGENCY,macelleria,Telephone: 25-889,",",437
Picchini dr. Giovanni,S. Fosa 2252,,AGENCY,medicina generale,Telephone: 25-889,",",437
Picchini dr. Girolamo,S. M. Formosa 527,,AGENCY,medicina generale,Telephone: 25-889,",",437
Piccini Aristide,S. Croce 2262,,friggitora e commestibili cisi,S. A.,Telephone: 25-889,",",437
Piccini Giovanni,S. Croce 2262,,AGENCY,Capo uff. Amministr.,Esposizione Biennale Internaz. d'Arte,",",437
Piccini Mario,"Mestre, Via Alardi",,AGENCY,farmacista,Telephone: 25-889,",",437
Piccini Pietro Costante,D. Duro 3737,,friggitoria e commestibili cotti,S. A.,Telephone: 25-889,",",437
Piccini Giacomo,V. G. Pepe 5,Marghera,AGENCY,sartoria donna,Telephone: 25-889,",",437
Piccini Giuseppe fu Domenico,Castello 4474,,AGENCY,elettricità idraulica e gas,Telephone: 25-889,",",437
Piccinini Maria,S. Polo 1339,,AGENCY,bottiglieria,Telephone: 25-889,",",437
Piccola Galleria,"Calle Larga XXII, Marzo 2423",,galleria d'arte,S. A.,Telephone: 25-889,",",437
Picolci Angelo,"Carpenendo, Via Cà Rossa",,AGENCY,rappresentanze varie,Telephone: 25-889,",",437
Picolomani Giuseppina,S. Polo 860,,AGENCY,dolciumi (ingrosso),Telephone: 25-889,",",437
Pieroni V. A. e C.,Lido Riviera S. Nicolo 1-D,,importazioni ed esportazioni varie,S. A.,Telephone: 25-889,",",437
Picotti Paolo,Campo S. Marinn numm. 5887,,AGENCY,drotur.,Telephone: 25-889,",",437
Piarezza Pietro,Castello 3237,,AGENCY,mediatore,Telephone: 25-889,",",437
Piciretti Emilia,D. Duro 1169,,AGENCY,polleria,Telephone: 25-889,",",437
Pieri Carlo,Cannaregio 5345-A,,AGENCY,droghe (lavorazione),Telephone: 25-889,",",437
Pieruz Vittorio,Castello 3593,,carbone e legna (dettaglio),S. A.,Telephone: 25-889,",",437
Pietrobon F.lli,Campo Manin,,Tipografia,cartoleria e oggetti di cancelleria,Telephone: 25-889,",",437
Pietroboni Ernesto,S. Benedetto 3999,,AGENCY,avvocato,Telephone: 25-889,",",437
Pietrobon Lina,S. Vio 380,,AGENCY,pittrice,Telephone: 25-889,",",437
Pietropopuli Charnet Giorgio,Cannaregio 1415,,AGENCY,medicina generale,Telephone: 25-889,",",437
Pignatti dr. Gino,Cannaregio 1415,,Ufficio Istruzione,S. A.,Telephone: 25-889,",",437
Pignatto V.,"Mestre, Piazza Umberto I",,Foto Modernissima,S. A.,Telephone: 25-889,",",437
Pignatto Giovanni,"Mestre, Circonvallazione 2",,AGENCY,falegname,Telephone: 25-889,",",437
Pignatto Luigi,S. Marco 80,,mercerie, filati e affani,Telephone: 25-889,",",437
Pigrati Pietro,Cannaregio 5110,,combustibili solidi,S. A.,Telephone: 25-889,",",437
Piliego Federico,Cannaregio 1594,,AGENCY,trattoria,Telephone: 25-889,",",437
Pilla Domenica Maria,S. Polo numero 387,,AGENCY,bottiglieria,Telephone: 25-889,",",437
Pilla,"Lido, Gran Viale",,rosticceria,S. A.,Telephone: 25-889,",",437
Pilli Giuseppe,Santa Marina numero 5944,,AGENCY,fabbro ferraio e meccanico,Telephone: 25-889,",",437
Pilon Giovanni,S. Marco 4821,,AGENCY,calzature,Telephone: 25-889,",",437
Pilonato Antonio,"Mestre, Via Marghera 109",,AGENCY,trasporti con cisterna,Telephone: 25-889,",",437
Pilloni Giuseppe,"Mestre, Via Mestrina 35",,AGENCY,impresa edile,Telephone: 25-889,",",437
Piloti Maria in Castellet,Santa Croce numero 2119,,AGENCY,caffe (eserziaci),Telephone: 25-889,",",437
Pilot Roma,Riva dei Sete Martini,,caffe (eserziei),trattoria,Telephone: 25-889,",",437
Pilotti Pierino,Ise Apostoli numero 5512,,AGENCY,droghe (lavorazione),Telephone: 25-889,",",437
Pin Eugenio,"S. Maurizio, Calle del Dose",,AGENCY,sarto da uomo,Telephone: 25-889,",",437
Pini Gmelmo,S. Croce 1252,,AGENCY,trattorio,Telephone: 25-889,",",437
Pini Senatore,Castello numero 4711,,fotografie (gabinetti di posa),S. A.,Telephone: 25-889,",",437
Pinosio Fernan.,"Mestre, Pescheria Vecchia 1",,AGENCY,sarto da uomo,Telephone: 25-889,",",437
Pinto Francesco & Lorenzo,Cannaregio numero 2808,,AGENCY,vini (grossi e sti),Telephone: 25-889,",",437
Pinto Lorenzo,Cannaregio 2808,,AGENCY,trattoria,Telephone: 25-889,",",437
Pinzan Emilia,Cannaregio numero 1768,,carbone e legna (dettaglio),S. A.,Telephone: 25-889,",",437
Pinzan Gino,Cannaregio 2845,,AGENCY,calzature,Telephone: 25-889,",",437
Pinzan Gustavo,"Murano, Calle Michieli 1",,radio (riparazioni),S. A.,Telephone: 25-889,",",437
Pinzoni Achill.,S. Lio 5776,,Segretario Opera Pia,Asili di Carità per l'Infanzia,Telephone: 25-889,",",437
Pinzoni Giuseppe,D. Duro numero 2759,,AGENCY,cartoleria, literizia,",",437
Pinzoni Giuseppe,Castello numero 6818,,AGENCY,vetri decorati,Telephone: 25-889,",",437
Piombin Giovanni,S. Croce 1055,,AGENCY,tessuti,Telephone: 25-889,",",437
Piotto Antonio,"Castello, numero 5726",,terrazje porcellane, detersivi, saponi," affini (vendita), , ",437
Piovan dr. Marcell,S. Croce numero 2088,,AGENCY,architetto,Telephone: 25-889,",",437
Piovan cap. Olino,S. Croce numero 2088,,Polizian,ge oo : : r i- Compartimentale, Direzione S. Lucia,",",437
Piovesan Amelio,S. Marco 8965,,AGENCY,trattoria,Telephone: 25-889,",",437
Piovesan dr. Paolino,S. Marco 8965,,AGENCY,medicina generale | Mestre,Telephone: 25-889,",",437
Piovesan Tompo,D. Duro 3842,,AGENCY,pittore,Telephone: 25-889,",",437
Piovesan Ego,S. Polo 2450,,AGENCY,panificio,Telephone: 25-889,",",437
