Name,Address,Location,Category,Additional Info,page
Cotta Giuseppe,Castello 2435,FABBRICA ACQUE GASSATE,Fabbrica Acque Gassate - “Chabeso”,"forniture di,",134
Soc. Italiana Acquedotti e Fognature,Castello 2435,FABBRICA ACQUE GASSATE,FABBRICA ACQUE GASSATE,Porto Marghera,134
Brugnolo Ernesto,"Castello, 2713",Acque minerali,Acque minerali,"Fabbricazione bibite CHABESO,  Limonate ed Affini",134
Cavicchiolo Cav. Francesco,S. Antonin 3471,Acque minerali,Acque minerali,"Fabbricazione bibite CHABESO,  Limonate ed Affini",134
Pagnacco Giuseppe,Via Dante 117,Mestre,Acque minerali,"Fabbricazione bibite CHABESO,  Limonate ed Affini",134
S. A. Birra Pedavena Dreher,Via Dante 117,Acque minerali,Acque minerali,Venezia,134
Soc. Adriatica Medicinali S.A.M. di Caron e Perdibon,Cannaregio 6125,Acque minerali,Acque minerali,"Fabbricazione bibite CHABESO,  Limonate ed Affini",134
Tocchetto Mario,"Via Torre Belfredo, 90",Mestre,Acque minerali,"Fabbricazione bibite CHABESO,  Limonate ed Affini",134
Soc. Veneta Acquedotti Anonima,San Marco 4823-A,Acquedotti,Acquedotti,"Fabbricazione bibite CHABESO,  Limonate ed Affini",134
Immobiliare Agricola Industriale Veneta,S. Marco 2566,Acquisto e conduzione,Acquisto e conduzione,"Fabbricazione bibite CHABESO,  Limonate ed Affini",134
Miana Serraglio S. A.,S. Marco 4232,Acquisto e conduzione,compravendita beni agricoli,"Fabbricazione bibite CHABESO,  Limonate ed Affini",134
Padania,Cannaregio 3929,Acquisto e conduzione,Acquisto e conduzione,"Fabbricazione bibite CHABESO,  Limonate ed Affini",134
S.I.A.L.V.V. Soc. An. Lombardo Veneta Immobiliare,Dorsoduro 719,Acquisto e conduzione,Acquisto e conduzione,"Fabbricazione bibite CHABESO,  Limonate ed Affini",134
Società Agricola Accomandita semplice,"S. Marco 181, A.",Acquisto e conduzione,Acquisto e conduzione,"Fabbricazione bibite CHABESO,  Limonate ed Affini",134
Soc. Anonima Bonifati,S. Marco 1165B,Acquisto e conduzione,Acquisto e conduzione,"Fabbricazione bibite CHABESO,  Limonate ed Affini",134
Società Anonima Miglioramenti Agricoli,San Marco 3232,Acquisto e conduzione,Acquisto e conduzione,"Fabbricazione bibite CHABESO,  Limonate ed Affini",134
Taddei F. e S. S.,S. Marco 1325,Acquisto e conduzione,Acquisto e conduzione,"Fabbricazione bibite CHABESO,  Limonate ed Affini",134
S. Giorgio Nova — Soc. an. I. I.,S. Marco 3870,"Acquisto, costruzione",Acquisto,costruzione,134
Società Acquisto Gestion: Miglioramento Edilizia,"S. Marco 3870, Cannaregio 6131","Acquisto, costruzione",Acquisto,S. A. G. M. E.,134
Società Anonima Gestione Alberghi,San Marco 2283,"Acquisto, costruzione",Acquisto Alberghi,costruzione,134
Soc. An. Veneziana Edilizia,San Marco 2283, A. V. E,San Marco 3870,", | S. O",134
Duse dr. Bruno,Via XXII Marzo 2288,Addizionatrici calcolatrici,Addizionatrici calcolatrici,"Mobili e Accessori per Ufficio, Macchine per scrivere o Contabili, Schedari, Tel. 25.889",134
Meccanuficio,Via XXII Marzo 2402 (interno),Addizionatrici calcolatrici,Addizionatrici calcolatrici,"Addizionatrici, Macchine per scrivere, Apparecchi fotografici ed affini, accessori e riparazioni, Tel. 22.507",134
