Name,Address,Location,Category,Additional Info,page
Martin Otello,"Bottega d'Arte - S. Maria del Giglio, 2459",,Abat jours,,132
Carnielli Milena,"S. Polo, 513",,Abbigliamento,,132
Cerato e C. Soc. per az.,"S. Marco, 5074",,Abbigliamento,,132
C. I. M. Consorzio Italiano Manufatti,Calle Goldoni,S. Luca,Abbigliamento,,132
Coop. di Consumo,"Castello, 641-17",,Abbigliamento,,132
Dina Giacomo,"Cannaregio, Ponte delle Guglie, 1318",,Abbigliamento,"Confezioni e Drapperie, Reparto specializzato per bambini",132
Fusello Luigi,"S. Marco, 703-38",,Abbigliamento,,132
Jacchin A. P.,"San Polo, 68",,Abbigliamento,,132
« La Maga » - s. a. r. l.,"San Marco, 2378",,Abbigliamento,,132
Lazzarin Giulio,"S. Polo, 8",,Abbigliamento,,132
Malevolti,"Campo dei Frari, 3006",,Abbigliamento,Tessuti storici. Ricami e Merletti,132
Pettinelli Orazio,S. Marco 5028,,Abbigliamento,Abbigliamenti e articoli sportivi,132
Piombin Giovanni,S. Croce 1055,,Abbigliamento,,132
Reberschak Oreste,Castello 3623,,Abbigliamento,,132
Rizzardi A.,"Calle Vallaresso, 1316",,Abbigliamento,Abbigliamento per uomo e signora,132
Schiavon A. & C.,"S. Polo, 3015",,Abbigliamento,Castello 1779,132
« S. A. Case dell'Abbigliamento »,"S. Marco, 5048",,Abbigliamento,,132
S. A. Magazzini « Standa »,San Felice,S. Luca,Abbigliamento,,132
S.A.M.I.A. Manifattura Italiana Abbigliamento,S. Marco 257,,Abbigliamento,,132
Soc. Coop. Consumo Postale,S. Marco 257,S. Bartolomeo,Abbigliamento,Fontego Tedeschi,132
Steffanutti Stefano,S. Leonardo 1374-75,,Abbigliamento,Grandi Magazzini «Al Canton »,132
Suce. Granziotto di Menegazzi cav. Amilcare,S. Polo 1321,,Abbigliamento,Dorsoduro 2348,132
« V.R.A.P.A. » di Pitteri Bruno,S Polo 1428,,Abbigliamento,,132
Schiavon A. e C.,"Gran Viale, 27",LIDO,Abbigliamento,,132
Coop. Consumo Lavoratori in Marghera,"Gran Viale, 27",MARGHERA,Soc. Coop. a. r. l.,,132
Coop. di Consumo Barche,"Gran Viale, 27",MESTRE,"s. a. r. l. - Via Colombo, 144.",,132
Coop. di Consumo F.lli Bandiera,"Gran Viale, 27",MESTRE,s. a. r. l. Piazza Ferretto 13.,,132
Coop. di Consumo fra Ferrovieri di Mestre,"Gran Viale, 27",MESTRE,s. a. r. l. - Via Dante 104.,,132
Rossi Guido,"Gran Viale, 27",MESTRE,Piazza S. Francesco,,132
duse,"Gran Viale, 27",VENEZIA,Officina Riparazioni Macchine per Scrivere,"Via XII Marzo N. 2338, Telefono 25-555",132
