Name,Role,Address,Location,Profession,Additional Info,page
,Linee esercite,S. Marco. Ascensione 1300 - tel. 22-373,"P. II""",CIMITERI COMUNALI,"Canal Grande,  Ferrovia.",51
,Linee esercite,S. Marco. Ascensione 1300 - tel. 22-373,"P. II""",CIMITERI COMUNALI,"Ferrovia,  Piazzale Roma,  S. Zaccaria,  Lido, ",51
,Linee esercite,S. Marco. Ascensione 1300 - tel. 22-373,"P. II""",CIMITERI COMUNALI,"P. Roma Casino Municipale,  S. Zaccaria.",51
,Linee esercite,S. Marco. Ascensione 1300 - tel. 22-373,"P. II""",CIMITERI COMUNALI,"Giudecca,  Riva Schiavoni.",51
,Linee esercite,S. Marco. Ascensione 1300 - tel. 22-373,"P. II""",CIMITERI COMUNALI,"Riva Schiavoni,  S. Maria Elisabetta di Lido diretta.",51
,Linee esercite,S. Marco. Ascensione 1300 - tel. 22-373,"P. II""",CIMITERI COMUNALI,"Riva Schiavoni,  Manicomi,  Sacra Sessola.",51
,Linee esercite,S. Marco. Ascensione 1300 - tel. 22-373,"P. II""",CIMITERI COMUNALI,"Traghetto Zattere,  Giudecca.",51
,Linee esercite,S. Marco. Ascensione 1300 - tel. 22-373,"P. II""",CIMITERI COMUNALI,"Fondamenta Nuove,  Cimitero,  Murano.",51
,Linee esercite,S. Marco. Ascensione 1300 - tel. 22-373,"P. II""",CIMITERI COMUNALI,"Fondamenta Nuove,  Burano,  Torcello,  Treporti.",51
,Linee esercite,S. Marco. Ascensione 1300 - tel. 22-373,"P. II""",CIMITERI COMUNALI,"Fondamenta Nuove,  S. Erasmo.",51
,Linee esercite,S. Marco. Ascensione 1300 - tel. 22-373,"P. II""",CIMITERI COMUNALI,"Riva Schiavoni,  Alberoni Bagni,  Pellestrina,  Chioggia.",51
,Linee esercite,S. Marco. Ascensione 1300 - tel. 22-373,"P. II""",CIMITERI COMUNALI,"Riva Schiavoni,  Punta Sabbioni.",51
,Servizi Filoviari,S. Marco. Ascensione 1300 - tel. 22-373,"P. II""",CIMITERI COMUNALI,"Linea S. M. Elisabetta,  S. Nicolò di Lido.",51
,Servizi Filoviari,S. Marco. Ascensione 1300 - tel. 22-373,"P. II""",CIMITERI COMUNALI,"Linea S. M. Elisabetta,  Malamocco.",51
,Servizi Filoviari,S. Marco. Ascensione 1300 - tel. 22-373,"P. II""",CIMITERI COMUNALI,Linea S. M. Elisabetta Quattro Fontane. Città Giardino.,51
,Servizi Filoviari,S. Marco. Ascensione 1300 - tel. 22-373,"P. II""",CIMITERI COMUNALI,"Linea S. M. Elisabetta,  Ospedale al Mare.",51
,Ufficio Deposito,"S. Marco. Ascensione 1300 - tel. 22-373, ""Riva Schiavoni 4129","P. II"""," 4130""",Uff. Informazioni,51
,Cantiere Navale,"S. Marco. Ascensione 1300 - tel. 22-373, ""Riva Schiavoni 4129",S. Elena,CIMITERI COMUNALI,",",51
,SERVIZIO COMUNALE DELLE PUBBLICHE AFFISSIONI,San Marco 4102,"P. II""",CIMITERI COMUNALI,Gestito dalla Ditta A. Lu. P. I.,51
Ambrosi dr. ing. Augusto,Presidente,"San Marco, calle Bembo 4785","P. II""",CIMITERI COMUNALI,",",51
Ronga dr. ing. Vincenzo,Consigliere,"San Marco, calle Bembo 4785","P. II""",CIMITERI COMUNALI,",",51
Boato Sig. Angelo,Consigliere,"San Marco, calle Bembo 4785","P. II""",CIMITERI COMUNALI,",",51
Dazzi dr. prof. Manlio,Consigliere,"San Marco, calle Bembo 4785","P. II""",CIMITERI COMUNALI,",",51
Drudi dr. prof. Carlo,Consigliere,"San Marco, calle Bembo 4785","P. II""",CIMITERI COMUNALI,",",51
Levis dr. ing. Renzo,Consigliere,"San Marco, calle Bembo 4785","P. II""",CIMITERI COMUNALI,",",51
Gamba avv. dr. Aldo,Consigliere,"San Marco, calle Bembo 4785","P. II""",CIMITERI COMUNALI,",",51
Baldissera avv. dr. Giacomo,Consigliere,"San Marco, calle Bembo 4785","P. II""",CIMITERI COMUNALI,",",51
Vasquez dr. rag. Paolo,Sindaco,"San Marco, calle Bembo 4785","P. II""",CIMITERI COMUNALI,",",51
Foffano cav. uff. Angelo,Sindaco,"San Marco, calle Bembo 4785","P. II""",CIMITERI COMUNALI,",",51
De Rose rag. Gennaro,Sindaco,"San Marco, calle Bembo 4785","P. II""",CIMITERI COMUNALI,",",51
Vallot dr. arch. Virgilio,Sindaco supplente,"San Marco, calle Bembo 4785","P. II""",CIMITERI COMUNALI,",",51
De Majo rag. Guido,Sindaco supplente,"San Marco, calle Bembo 4785","P. II""",CIMITERI COMUNALI,",",51
Garbini dr. ing. Giulio,Direttore Generale,"San Marco, calle Bembo 4785","P. II""",CIMITERI COMUNALI,",",51
Bertanza dr. ing. Paolo,Ispettore,"San Marco, calle Bembo 4785","P. II""",CIMITERI COMUNALI,",",51
