Name,Address,Location,Category,Additional Info,page,location_cleaned
Caberlotto R. A.,Piazza Umberto I,Mestre,Caffè,Category: Caffè,164,False
C.I.C. Casa Importazione caffè di Linda Montecchio,Castello 4283,,Caffè,Category: Caffè,164,True
Geretti Vincenzo,S. Marco 5399-5401,Murano,Caffè,Category: Caffè,164,False
Maestro Marcella e Ma~gherita,Castello 5764,,Caffè,Category: Caffè,164,True
Moka F. G. di Fracchini Gino,Via Allegri 9,Mestre,Caffè,Category: Caffè,164,False
Montecchio Luigi,S. Marco 3825,,Caffè,Category: Caffè,164,True
Pellegrinetti G. e C.,S. Polo 1518,,Caffè,Category: Caffè,164,True
Poggi Ferruccio,Dorsoduro 3525,Murano,Caffè,Category: Caffè,164,False
Segala Francesco,S. Polo 2846,,Caffè,Category: Caffè,164,True
Vianello Giovanni Antonio,S. Marco 500,,Caffè,Category: Caffè,164,True
"A. Veneziana Industria surrogati Montagna Lodovico, Beppino Aurelia",S. Marco 4933,,Caffè,Category: Caffè,164,True
Pellegrinotti Mario (ditta) Soc. a. r. l.,Cannaregio 6025,,Caffè,Category: Caffè,164,True
Poggi Ferruccio,Dorsoduro 3525,Murano,Caffè,Category: Caffè,164,False
"S. A. Ferdinando Rizzardo, Industria surrogati caffè",S. Polo 1518 A,,Caffè,Category: Caffè,164,True
S. A. Industria surrogati caffè,Rialto 473,,Caffè,Category: Caffè,164,True
S. A. De Vitto importazione caffè,Via Ospedale 8,Mestre,Caffè,Category: Caffè,164,False
Carosio Ing. Cleto,Via Ospedale 8,Porto Marghera,Calce,Category: Calce,164,False
Narduzzi Vittorio (Eredi di) Fornaci da Calce e Materiale da Construzione,Giudecca 296 c,,Tel. 23.980,Category: Calce,164,True
Facin Giuseppe,Corso del Popolo 1,Mestre,Calce,Category: Calce,164,False
Refrattari Laterizi e Calce s. a. r. I.,S. Marco 1835,,Calce,Category: Calce,164,True
Masetto Giuseppe,S. Croce. Calle della Regina 2348 R,Murano,Oggetti usati rilevati dal Monte di Pietà,Category: Calcolatrici,164,False
Meccanufficio,Via XXII Marzo 2402 (interno),Murano,Macchine calcolatrici," Macchine contabili,  Macchine da scrivere ed accessori,  Telefono. 22-507",164,False
Toppo Adriano,Castello 2684,,Addizionatricei," Calcolatrici,  Macchine Contabili,  Agricole,  Utensili,  Enologiche,  da Scrivere,  ecc.,  Tel. 23-285",164,True
Dal Soldà Giuseppe,Castello 2684,,Calderai,Barbaria delle Tole,164,True
Dorigo Gioacchino,S. Marco 1018,,Calderai,Category: Calderai,164,True
Ratti Antonio,S. Marco 1018,,Calderai,Rio Terrà S. Leonardo,164,True
Serena F.lii,S. Marco 3801,Murano,Calderai,Category: Calderai,164,False
Bernardini Amalia,Cannaregio 4391,,Calzinerci,Category: Calzinerci,164,True
Busetto Elisa,Cannaregio 4391,,Calzinerci,Category: Calzinerci,164,True
Chinotto Veronica,Via S. Donà,Favaro Veneto,Calzinerci,Category: Calzinerci,164,False
Herion G. B.,Giudecca 625,,Calzinerci,Category: Calzinerci,164,True
Trabacchin Giovanni,Via Gatta Colonnetta 978,Zelarino,Calzinerci,Category: Calzinerci,164,False
Agnolletto Olivo,Piazza Umberto I 35,Mestre,Calzature,Category: Calzature,164,False
Agnolletto Vitto~io,S. Marco 4280,,Calzature,Category: Calzature,164,True
Alioni Alfonso,Cannaregio 2360,,Calzature,Category: Calzature,164,True
Bacci Luigi,Giudecca 842,,Calzature,Category: Calzature,164,True
"Baldani, Calzavara, Calzoleria di Strà",Via Garibaldi 1762,Murano,con fabbrica propria in Strà," Negozi di vendita: Rialto Calle dei Boteri 1578,  S. Margherita 2285.,  Tel. 22-504",164,False
Balarin Irma,Castello 5608,,Calzature,Category: Calzature,164,True
Barison Primo,Via 27 Ottobre 50,Mestre,Calzature,Category: Calzature,164,False
Bernardo,Via Piave,Mestre,Calzature,Category: Calzature,164,False
Beninv Orlando,Cannaregio 1744,,Calzature,Category: Calzature,164,True
Bettio Elia,Via Felice Cavallotti,Mestre,Calzature,Category: Calzature,164,False
Biancato Vittorio,Piazza E. Matte,Mestre,Calzature,Category: Calzature,164,False
Boschin Gioachino,Piazza E. Matte,Marghera,Calzature,Category: Calzature,164,False
Branchei Rosa,Castello 4319,,Calzature,Category: Calzature,164,True
Brunello Alberto,Cannaregio 1364,Murano,Calzature,Category: Calzature,164,False
Calzaturificio Poli,"Cannaregio 1364, S. Marco 5541",,Calzature,Soc. per az.,164,True
Calzaturificio di Tradate,S. Marco 4600,,Calzature,Category: Calzature,164,True
Calzaturificio di Vesare~ S. A.,Via 2 Aprile e Bacino Orseolo,Murano,Calzature,Category: Calzature,164,False
Calzoleria di Strà di Baldan e Calzavara,S. Polo 1576,Murano,Calzature,Category: Calzature,164,False
Calzoleria di Strà,"S. Polo 1576, S. Marco 4357",,Calzature,F.lli Agnoletto,164,True
Campesan Massimo,Piazza Umberto I 62,Mestre,Calzature,Category: Calzature,164,False
Canova Lgin9,S. Polo 696,,Calzature,Category: Calzature,164,True
Caretto Marianna,Castello 4818,Murano,Calzature,Category: Calzature,164,False
dUSE.,Via XXII Marzo 2288,Venezia,"Macchine per scrivere, Calcolatrici, Duplicatori, OCCASIONI, CAMBI, RICOSTRUZIONI, NOLEGGI",Telefono n. 25.889,164,False
