Name,Address,Location,Role,Profession,page
Dott. Gregorio Notarianni,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,Prefetto,,42
Dott. Lorenzo Salazar,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,Vice Prefetto vicario,,42
Dott. Domenico Dal Cortivo,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,Vice Prefetto ispettore,,42
Dott. Gaetano Marfisa,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,Capo di Gabinetto,Vice Prefetto ispett.,42
Dott. Celestino De Bonis,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,Addetto,Consigliere di l. classe,42
Rag. Paolo Vasquez,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,Addetto,I. Ragioniere,42
Dott. Filipponi Vincenzo,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,Ufficio Stampa,,42
Dott. Serrao Francesco Antonio,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,Ufficio Stampa,,42
Dott. Gian Luigi Gualandi,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,Servizi elettorali,V. Prefetto Ispett.,42
Germanico Ravenna,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,Economato,,42
Dott. Gregorio Beltrame,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,Capo divisione,,42
Rag. Paolo Vasquez,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,Dirigente,I. Ragioniere,42
Dott. Domenico Dal Cortivo,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,Capo Divisione,Vice Prefetto Ispett.,42
Dott. Ciro Siragusa,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,Capo Divisione,Consigliere di I. cl.,42
